Sex,Age,Smoking habits,Year,percent
Males,50-59,Stopped smoking,1989,0.411
Males,50-59,Smoke less than daily,1989,0.038
Males,50-59,Smoke daily,1989,0.292
Males,60-69,Have never smoked,1989,0.244
Males,60-69,Stopped smoking,1989,0.386
Males,60-69,Smoke less than daily,1989,0.045
Males,60-69,Smoke daily,1989,0.324
Males,70-89,Have never smoked,1989,0.263
Males,70-89,Stopped smoking,1989,0.585
Males,70-89,Smoke less than daily,1989,0.008
Males,70-89,Smoke daily,1989,0.144
Males,18-69,Have never smoked,1989,0.34
Males,18-69,Stopped smoking,1989,0.283
Males,18-69,Smoke less than daily,1989,0.043
Males,18-69,Smoke daily,1989,0.335
Males,18-79,Have never smoked,1989,0.335
Males,18-79,Stopped smoking,1989,0.306
Males,18-79,Smoke less than daily,1989,0.039
Males,18-79,Smoke daily,1989,0.32
Males,18-89,Have never smoked,1989,0.334
Males,18-89,Stopped smoking,1989,0.306
Males,18-89,Smoke less than daily,1989,0.04
Males,18-89,Smoke daily,1989,0.32
Females,18-29,Have never smoked,1989,0.448
Females,18-29,Stopped smoking,1989,0.173
Females,18-29,Smoke less than daily,1989,0.047
Females,18-29,Smoke daily,1989,0.332
Females,30-39,Have never smoked,1989,0.261
Females,30-39,Stopped smoking,1989,0.334
Females,30-39,Smoke less than daily,1989,0.052
Females,30-39,Smoke daily,1989,0.353
Females,40-49,Have never smoked,1989,0.355
Females,40-49,Stopped smoking,1989,0.207
Females,40-49,Smoke less than daily,1989,0.027
Females,40-49,Smoke daily,1989,0.41
Females,50-59,Have never smoked,1989,0.388
Females,50-59,Stopped smoking,1989,0.252
Females,50-59,Smoke less than daily,1989,0.014
Females,50-59,Smoke daily,1989,0.346
Females,60-69,Have never smoked,1989,0.471
Females,60-69,Stopped smoking,1989,0.212
Females,60-69,Smoke less than daily,1989,0.018
Females,60-69,Smoke daily,1989,0.3
Females,70-89,Have never smoked,1989,0.511
Females,70-89,Stopped smoking,1989,0.259
Females,70-89,Smoke less than daily,1989,0.022
Females,70-89,Smoke daily,1989,0.209
Females,18-69,Have never smoked,1989,0.378
Females,18-69,Stopped smoking,1989,0.236
Females,18-69,Smoke less than daily,1989,0.036
Females,18-69,Smoke daily,1989,0.349
Females,18-79,Have never smoked,1989,0.389
Females,18-79,Stopped smoking,1989,0.238
Females,18-79,Smoke less than daily,1989,0.035
Females,18-79,Smoke daily,1989,0.338
Females,18-89,Have never smoked,1989,0.39
Females,18-89,Stopped smoking,1989,0.238
Females,18-89,Smoke less than daily,1989,0.035
Females,18-89,Smoke daily,1989,0.337
Total,18-29,Have never smoked,1990,0.505
Total,18-29,Stopped smoking,1990,0.139
Total,18-29,Smoke less than daily,1990,0.044
Total,18-29,Smoke daily,1990,0.312
Total,30-39,Have never smoked,1990,0.334
Total,30-39,Stopped smoking,1990,0.245
Total,30-39,Smoke less than daily,1990,0.043
Total,30-39,Smoke daily,1990,0.377
Total,40-49,Have never smoked,1990,0.333
Total,40-49,Stopped smoking,1990,0.288
Total,40-49,Smoke less than daily,1990,0.04
Total,40-49,Smoke daily,1990,0.339
Total,50-59,Have never smoked,1990,0.325
Total,50-59,Stopped smoking,1990,0.317
Total,50-59,Smoke less than daily,1990,0.036
Total,50-59,Smoke daily,1990,0.322
Total,60-69,Have never smoked,1990,0.392
Total,60-69,Stopped smoking,1990,0.344
Total,60-69,Smoke less than daily,1990,0.027
Total,60-69,Smoke daily,1990,0.237
Total,70-89,Have never smoked,1990,0.354
Total,70-89,Stopped smoking,1990,0.441
Total,70-89,Smoke less than daily,1990,0.031
Total,70-89,Smoke daily,1990,0.173
Total,18-69,Have never smoked,1990,0.392
Total,18-69,Stopped smoking,1990,0.243
Total,18-69,Smoke less than daily,1990,0.04
Total,18-69,Smoke daily,1990,0.325
Total,18-79,Have never smoked,1990,0.389
Total,18-79,Stopped smoking,1990,0.258
Total,18-79,Smoke less than daily,1990,0.039
Total,18-79,Smoke daily,1990,0.314
Total,18-89,Have never smoked,1990,0.389
Total,18-89,Stopped smoking,1990,0.259
Total,18-89,Smoke less than daily,1990,0.039
Total,18-89,Smoke daily,1990,0.313
Males,18-29,Have never smoked,1990,0.544
Males,18-29,Stopped smoking,1990,0.108
Males,18-29,Smoke less than daily,1990,0.049
Males,18-29,Smoke daily,1990,0.299
Males,30-39,Have never smoked,1990,0.261
Males,30-39,Stopped smoking,1990,0.258
Males,30-39,Smoke less than daily,1990,0.044
Males,30-39,Smoke daily,1990,0.437
Males,40-49,Have never smoked,1990,0.253
Males,40-49,Stopped smoking,1990,0.352
Males,40-49,Smoke less than daily,1990,0.051
Males,40-49,Smoke daily,1990,0.344
Males,50-59,Have never smoked,1990,0.256
Males,50-59,Stopped smoking,1990,0.405
Males,50-59,Smoke less than daily,1990,0.054
Males,50-59,Smoke daily,1990,0.286
Males,60-69,Have never smoked,1990,0.257
Males,60-69,Stopped smoking,1990,0.474
Males,60-69,Smoke less than daily,1990,0.034
Males,60-69,Smoke daily,1990,0.234
Males,70-89,Have never smoked,1990,0.23
Males,70-89,Stopped smoking,1990,0.557
Males,70-89,Smoke less than daily,1990,0.033
Males,70-89,Smoke daily,1990,0.18
Males,18-69,Have never smoked,1990,0.345
Males,18-69,Stopped smoking,1990,0.274
Males,18-69,Smoke less than daily,1990,0.047
Males,18-69,Smoke daily,1990,0.334
Males,18-79,Have never smoked,1990,0.336
Males,18-79,Stopped smoking,1990,0.297
Males,18-79,Smoke less than daily,1990,0.046
Males,18-79,Smoke daily,1990,0.322
Males,18-89,Have never smoked,1990,0.336
Males,18-89,Stopped smoking,1990,0.297
Males,18-89,Smoke less than daily,1990,0.046
Males,18-89,Smoke daily,1990,0.321
Females,18-29,Have never smoked,1990,0.467
Females,18-29,Stopped smoking,1990,0.169
Females,18-29,Smoke less than daily,1990,0.038
Females,18-29,Smoke daily,1990,0.325
Females,30-39,Have never smoked,1990,0.409
Females,30-39,Stopped smoking,1990,0.232
Females,30-39,Smoke less than daily,1990,0.042
Females,30-39,Smoke daily,1990,0.317
Females,40-49,Have never smoked,1990,0.406
Females,40-49,Stopped smoking,1990,0.23
Females,40-49,Smoke less than daily,1990,0.029
Females,40-49,Smoke daily,1990,0.335
Females,50-59,Have never smoked,1990,0.385
Females,50-59,Stopped smoking,1990,0.241
Females,50-59,Smoke less than daily,1990,0.021
Females,50-59,Smoke daily,1990,0.354
Females,60-69,Have never smoked,1990,0.513
Females,60-69,Stopped smoking,1990,0.228
Females,60-69,Smoke less than daily,1990,0.02
Females,60-69,Smoke daily,1990,0.239
Females,70-89,Have never smoked,1990,0.47
Females,70-89,Stopped smoking,1990,0.333
Females,70-89,Smoke less than daily,1990,0.03
Females,70-89,Smoke daily,1990,0.167
Females,18-69,Have never smoked,1990,0.437
Females,18-69,Stopped smoking,1990,0.214
Females,18-69,Smoke less than daily,1990,0.033
Females,18-69,Smoke daily,1990,0.317
Females,18-79,Have never smoked,1990,0.439
Females,18-79,Stopped smoking,1990,0.222
Females,18-79,Smoke less than daily,1990,0.033
Females,18-79,Smoke daily,1990,0.306
Females,18-89,Have never smoked,1990,0.439
Females,18-89,Stopped smoking,1990,0.223
Females,18-89,Smoke less than daily,1990,0.032
Females,18-89,Smoke daily,1990,0.305
Total,18-29,Have never smoked,1991,0.531
Total,18-29,Stopped smoking,1991,0.121
Total,18-29,Smoke less than daily,1991,0.036
Total,18-29,Smoke daily,1991,0.312
Total,30-39,Have never smoked,1991,0.318
Total,30-39,Stopped smoking,1991,0.239
Total,30-39,Smoke less than daily,1991,0.036
Total,30-39,Smoke daily,1991,0.406
Total,40-49,Have never smoked,1991,0.334
Total,40-49,Stopped smoking,1991,0.305
Total,40-49,Smoke less than daily,1991,0.032
Total,40-49,Smoke daily,1991,0.329
Total,50-59,Have never smoked,1991,0.332
Total,50-59,Stopped smoking,1991,0.33
Total,50-59,Smoke less than daily,1991,0.011
Total,50-59,Smoke daily,1991,0.327
Total,60-69,Have never smoked,1991,0.385
Total,60-69,Stopped smoking,1991,0.375
Total,60-69,Smoke less than daily,1991,0.019
Total,60-69,Smoke daily,1991,0.22
Total,70-89,Have never smoked,1991,0.422
Total,70-89,Stopped smoking,1991,0.406
Total,70-89,Smoke less than daily,1991,0.013
Total,70-89,Smoke daily,1991,0.159
Total,18-69,Have never smoked,1991,0.393
Total,18-69,Stopped smoking,1991,0.247
Total,18-69,Smoke less than daily,1991,0.03
Total,18-69,Smoke daily,1991,0.33
Total,18-79,Have never smoked,1991,0.392
Total,18-79,Stopped smoking,1991,0.26
Total,18-79,Smoke less than daily,1991,0.028
Total,18-79,Smoke daily,1991,0.32
Total,18-89,Have never smoked,1991,0.396
Total,18-89,Stopped smoking,1991,0.264
Total,18-89,Smoke less than daily,1991,0.028
Total,18-89,Smoke daily,1991,0.312
Males,18-29,Have never smoked,1991,0.563
Males,18-29,Stopped smoking,1991,0.103
Males,18-29,Smoke less than daily,1991,0.034
Males,18-29,Smoke daily,1991,0.3
Males,30-39,Have never smoked,1991,0.288
Males,30-39,Stopped smoking,1991,0.241
Males,30-39,Smoke less than daily,1991,0.038
Males,30-39,Smoke daily,1991,0.433
Males,40-49,Have never smoked,1991,0.295
Males,40-49,Stopped smoking,1991,0.338
Males,40-49,Smoke less than daily,1991,0.036
Males,40-49,Smoke daily,1991,0.331
Males,50-59,Have never smoked,1991,0.246
Males,50-59,Stopped smoking,1991,0.398
Males,50-59,Smoke less than daily,1991,0.006
Males,50-59,Smoke daily,1991,0.351
Males,60-69,Have never smoked,1991,0.194
Males,60-69,Stopped smoking,1991,0.516
Males,60-69,Smoke less than daily,1991,0.026
Males,60-69,Smoke daily,1991,0.265
Males,70-89,Have never smoked,1991,0.293
Males,70-89,Stopped smoking,1991,0.541
Males,70-89,Smoke less than daily,1991,0.0
Males,70-89,Smoke daily,1991,0.165
Males,18-69,Have never smoked,1991,0.354
Males,18-69,Stopped smoking,1991,0.274
Males,18-69,Smoke less than daily,1991,0.031
Males,18-69,Smoke daily,1991,0.341
Males,18-79,Have never smoked,1991,0.345
Males,18-79,Stopped smoking,1991,0.296
Males,18-79,Smoke less than daily,1991,0.028
Males,18-79,Smoke daily,1991,0.331
Males,18-89,Have never smoked,1991,0.349
Males,18-89,Stopped smoking,1991,0.299
Males,18-89,Smoke less than daily,1991,0.028
Males,18-89,Smoke daily,1991,0.325
Females,18-29,Have never smoked,1991,0.499
Females,18-29,Stopped smoking,1991,0.138
Females,18-29,Smoke less than daily,1991,0.038
Females,18-29,Smoke daily,1991,0.325
Females,30-39,Have never smoked,1991,0.346
Females,30-39,Stopped smoking,1991,0.238
Females,30-39,Smoke less than daily,1991,0.035
Females,30-39,Smoke daily,1991,0.381
Females,40-49,Have never smoked,1991,0.372
Females,40-49,Stopped smoking,1991,0.273
Females,40-49,Smoke less than daily,1991,0.028
Females,40-49,Smoke daily,1991,0.326
Females,50-59,Have never smoked,1991,0.407
Females,50-59,Stopped smoking,1991,0.271
Females,50-59,Smoke less than daily,1991,0.015
Females,50-59,Smoke daily,1991,0.307
Females,60-69,Have never smoked,1991,0.578
Females,60-69,Stopped smoking,1991,0.234
Females,60-69,Smoke less than daily,1991,0.013
Females,60-69,Smoke daily,1991,0.175
Females,70-89,Have never smoked,1991,0.516
Females,70-89,Stopped smoking,1991,0.308
Females,70-89,Smoke less than daily,1991,0.022
Females,70-89,Smoke daily,1991,0.154
Females,18-69,Have never smoked,1991,0.43
Females,18-69,Stopped smoking,1991,0.221
Females,18-69,Smoke less than daily,1991,0.029
Females,18-69,Smoke daily,1991,0.32
Females,18-79,Have never smoked,1991,0.436
Females,18-79,Stopped smoking,1991,0.227
Females,18-79,Smoke less than daily,1991,0.028
Females,18-79,Smoke daily,1991,0.309
Females,18-89,Have never smoked,1991,0.44
Females,18-89,Stopped smoking,1991,0.231
Females,18-89,Smoke less than daily,1991,0.028
Females,18-89,Smoke daily,1991,0.3
Total,18-29,Have never smoked,1992,0.541
Total,18-29,Stopped smoking,1992,0.123
Total,18-29,Smoke less than daily,1992,0.049
Total,18-29,Smoke daily,1992,0.288
Total,30-39,Have never smoked,1992,0.313
Total,30-39,Stopped smoking,1992,0.269
Total,30-39,Smoke less than daily,1992,0.044
Total,30-39,Smoke daily,1992,0.374
Total,40-49,Have never smoked,1992,0.315
Total,40-49,Stopped smoking,1992,0.313
Total,40-49,Smoke less than daily,1992,0.052
Total,40-49,Smoke daily,1992,0.32
Total,50-59,Have never smoked,1992,0.292
Total,50-59,Stopped smoking,1992,0.338
Total,50-59,Smoke less than daily,1992,0.038
Total,50-59,Smoke daily,1992,0.332
Total,60-69,Have never smoked,1992,0.389
Total,60-69,Stopped smoking,1992,0.369
Total,60-69,Smoke less than daily,1992,0.038
Total,60-69,Smoke daily,1992,0.205
Total,70-89,Have never smoked,1992,0.418
Total,70-89,Stopped smoking,1992,0.405
Total,70-89,Smoke less than daily,1992,0.01
Total,70-89,Smoke daily,1992,0.167
Total,18-69,Have never smoked,1992,0.385
Total,18-69,Stopped smoking,1992,0.256
Total,18-69,Smoke less than daily,1992,0.046
Total,18-69,Smoke daily,1992,0.314
Total,18-79,Have never smoked,1992,0.385
Total,18-79,Stopped smoking,1992,0.266
Total,18-79,Smoke less than daily,1992,0.043
Total,18-79,Smoke daily,1992,0.306
Total,18-89,Have never smoked,1992,0.388
Total,18-89,Stopped smoking,1992,0.27
Total,18-89,Smoke less than daily,1992,0.042
Total,18-89,Smoke daily,1992,0.299
Males,18-29,Have never smoked,1992,0.553
Males,18-29,Stopped smoking,1992,0.113
Males,18-29,Smoke less than daily,1992,0.05
Males,18-29,Smoke daily,1992,0.284
Males,30-39,Have never smoked,1992,0.289
Males,30-39,Stopped smoking,1992,0.278
Males,30-39,Smoke less than daily,1992,0.062
Males,30-39,Smoke daily,1992,0.371
Males,40-49,Have never smoked,1992,0.291
Males,40-49,Stopped smoking,1992,0.355
Males,40-49,Smoke less than daily,1992,0.057
Males,40-49,Smoke daily,1992,0.298
Males,50-59,Have never smoked,1992,0.212
Males,50-59,Stopped smoking,1992,0.418
Males,50-59,Smoke less than daily,1992,0.053
Males,50-59,Smoke daily,1992,0.318
Males,60-69,Have never smoked,1992,0.291
Males,60-69,Stopped smoking,1992,0.468
Males,60-69,Smoke less than daily,1992,0.043
Males,60-69,Smoke daily,1992,0.199
Males,70-89,Have never smoked,1992,0.275
Males,70-89,Stopped smoking,1992,0.55
Males,70-89,Smoke less than daily,1992,0.008
Males,70-89,Smoke daily,1992,0.168
Males,18-69,Have never smoked,1992,0.359
Males,18-69,Stopped smoking,1992,0.282
Males,18-69,Smoke less than daily,1992,0.054
Males,18-69,Smoke daily,1992,0.305
Males,18-79,Have never smoked,1992,0.354
Males,18-79,Stopped smoking,1992,0.298
Males,18-79,Smoke less than daily,1992,0.051
Males,18-79,Smoke daily,1992,0.297
Males,18-89,Have never smoked,1992,0.351
Males,18-89,Stopped smoking,1992,0.306
Males,18-89,Smoke less than daily,1992,0.05
Males,18-89,Smoke daily,1992,0.293
Females,18-29,Have never smoked,1992,0.528
Females,18-29,Stopped smoking,1992,0.133
Females,18-29,Smoke less than daily,1992,0.048
Females,18-29,Smoke daily,1992,0.292
Females,30-39,Have never smoked,1992,0.337
Females,30-39,Stopped smoking,1992,0.26
Females,30-39,Smoke less than daily,1992,0.026
Females,30-39,Smoke daily,1992,0.377
Females,40-49,Have never smoked,1992,0.338
Females,40-49,Stopped smoking,1992,0.271
Females,40-49,Smoke less than daily,1992,0.048
Females,40-49,Smoke daily,1992,0.342
Females,50-59,Have never smoked,1992,0.36
Females,50-59,Stopped smoking,1992,0.269
Females,50-59,Smoke less than daily,1992,0.025
Females,50-59,Smoke daily,1992,0.345
Females,60-69,Have never smoked,1992,0.48
Females,60-69,Stopped smoking,1992,0.276
Females,60-69,Smoke less than daily,1992,0.033
Females,60-69,Smoke daily,1992,0.211
Females,70-89,Have never smoked,1992,0.534
Females,70-89,Stopped smoking,1992,0.288
Females,70-89,Smoke less than daily,1992,0.012
Females,70-89,Smoke daily,1992,0.166
Females,18-69,Have never smoked,1992,0.41
Females,18-69,Stopped smoking,1992,0.23
Females,18-69,Smoke less than daily,1992,0.037
Females,18-69,Smoke daily,1992,0.323
Females,18-79,Have never smoked,1992,0.415
Females,18-79,Stopped smoking,1992,0.235
Females,18-79,Smoke less than daily,1992,0.036
Females,18-79,Smoke daily,1992,0.315
Females,18-89,Have never smoked,1992,0.424
Females,18-89,Stopped smoking,1992,0.236
Females,18-89,Smoke less than daily,1992,0.034
Females,18-89,Smoke daily,1992,0.306
Total,18-29,Have never smoked,1993,0.589
Total,18-29,Stopped smoking,1993,0.121
Total,18-29,Smoke less than daily,1993,0.03
Total,18-29,Smoke daily,1993,0.26
Total,30-39,Have never smoked,1993,0.37
Total,30-39,Stopped smoking,1993,0.265
Total,30-39,Smoke less than daily,1993,0.031
Total,30-39,Smoke daily,1993,0.334
Total,40-49,Have never smoked,1993,0.33
Total,40-49,Stopped smoking,1993,0.314
Total,40-49,Smoke less than daily,1993,0.031
Total,40-49,Smoke daily,1993,0.325
Total,50-59,Have never smoked,1993,0.322
Total,50-59,Stopped smoking,1993,0.395
Total,50-59,Smoke less than daily,1993,0.009
Total,50-59,Smoke daily,1993,0.274
Total,60-69,Have never smoked,1993,0.389
Total,60-69,Stopped smoking,1993,0.367
Total,60-69,Smoke less than daily,1993,0.025
Total,60-69,Smoke daily,1993,0.219
Total,70-89,Have never smoked,1993,0.456
Total,70-89,Stopped smoking,1993,0.388
Total,70-89,Smoke less than daily,1993,0.019
Total,70-89,Smoke daily,1993,0.136
Total,18-69,Have never smoked,1993,0.423
Total,18-69,Stopped smoking,1993,0.261
Total,18-69,Smoke less than daily,1993,0.027
Total,18-69,Smoke daily,1993,0.289
Total,18-79,Have never smoked,1993,0.422
Total,18-79,Stopped smoking,1993,0.274
Total,18-79,Smoke less than daily,1993,0.027
Total,18-79,Smoke daily,1993,0.277
Total,18-89,Have never smoked,1993,0.427
Total,18-89,Stopped smoking,1993,0.274
Total,18-89,Smoke less than daily,1993,0.026
Total,18-89,Smoke daily,1993,0.273
Males,18-29,Have never smoked,1993,0.599
Males,18-29,Stopped smoking,1993,0.112
Males,18-29,Smoke less than daily,1993,0.025
Males,18-29,Smoke daily,1993,0.264
Males,30-39,Have never smoked,1993,0.398
Males,30-39,Stopped smoking,1993,0.254
Males,30-39,Smoke less than daily,1993,0.023
Males,30-39,Smoke daily,1993,0.326
Males,40-49,Have never smoked,1993,0.299
Males,40-49,Stopped smoking,1993,0.345
Males,40-49,Smoke less than daily,1993,0.032
Males,40-49,Smoke daily,1993,0.324
Males,50-59,Have never smoked,1993,0.253
Males,50-59,Stopped smoking,1993,0.494
Males,50-59,Smoke less than daily,1993,0.013
Males,50-59,Smoke daily,1993,0.24
Males,60-69,Have never smoked,1993,0.339
Males,60-69,Stopped smoking,1993,0.45
Males,60-69,Smoke less than daily,1993,0.023
Males,60-69,Smoke daily,1993,0.187
Males,70-89,Have never smoked,1993,0.293
Males,70-89,Stopped smoking,1993,0.526
Males,70-89,Smoke less than daily,1993,0.023
Males,70-89,Smoke daily,1993,0.158
Males,18-69,Have never smoked,1993,0.412
Males,18-69,Stopped smoking,1993,0.284
Males,18-69,Smoke less than daily,1993,0.024
Males,18-69,Smoke daily,1993,0.28
Males,18-79,Have never smoked,1993,0.4
Males,18-79,Stopped smoking,1993,0.305
Males,18-79,Smoke less than daily,1993,0.024
Males,18-79,Smoke daily,1993,0.271
Males,18-89,Have never smoked,1993,0.401
Males,18-89,Stopped smoking,1993,0.305
Males,18-89,Smoke less than daily,1993,0.024
Males,18-89,Smoke daily,1993,0.269
Females,18-29,Have never smoked,1993,0.579
Females,18-29,Stopped smoking,1993,0.13
Females,18-29,Smoke less than daily,1993,0.035
Females,18-29,Smoke daily,1993,0.257
Females,30-39,Have never smoked,1993,0.34
Females,30-39,Stopped smoking,1993,0.278
Females,30-39,Smoke less than daily,1993,0.039
Females,30-39,Smoke daily,1993,0.343
Females,40-49,Have never smoked,1993,0.364
Females,40-49,Stopped smoking,1993,0.28
Females,40-49,Smoke less than daily,1993,0.031
Females,40-49,Smoke daily,1993,0.326
Females,50-59,Have never smoked,1993,0.383
Females,50-59,Stopped smoking,1993,0.309
Females,50-59,Smoke less than daily,1993,0.006
Females,50-59,Smoke daily,1993,0.303
Females,60-69,Have never smoked,1993,0.444
Females,60-69,Stopped smoking,1993,0.275
Females,60-69,Smoke less than daily,1993,0.026
Females,60-69,Smoke daily,1993,0.255
Females,70-89,Have never smoked,1993,0.58
Females,70-89,Stopped smoking,1993,0.284
Females,70-89,Smoke less than daily,1993,0.017
Females,70-89,Smoke daily,1993,0.119
Females,18-69,Have never smoked,1993,0.435
Females,18-69,Stopped smoking,1993,0.237
Females,18-69,Smoke less than daily,1993,0.03
Females,18-69,Smoke daily,1993,0.298
Females,18-79,Have never smoked,1993,0.444
Females,18-79,Stopped smoking,1993,0.244
Females,18-79,Smoke less than daily,1993,0.029
Females,18-79,Smoke daily,1993,0.284
Females,18-89,Have never smoked,1993,0.452
Females,18-89,Stopped smoking,1993,0.243
Females,18-89,Smoke less than daily,1993,0.029
Females,18-89,Smoke daily,1993,0.277
Total,18-29,Have never smoked,1994,0.523
Total,18-29,Stopped smoking,1994,0.139
Total,18-29,Smoke less than daily,1994,0.048
Total,18-29,Smoke daily,1994,0.29
Total,30-39,Have never smoked,1994,0.351
Total,30-39,Stopped smoking,1994,0.276
Total,30-39,Smoke less than daily,1994,0.039
Total,30-39,Smoke daily,1994,0.333
Total,40-49,Have never smoked,1994,0.326
Total,40-49,Stopped smoking,1994,0.32
Total,40-49,Smoke less than daily,1994,0.035
Total,40-49,Smoke daily,1994,0.318
Total,50-59,Have never smoked,1994,0.348
Total,50-59,Stopped smoking,1994,0.339
Total,50-59,Smoke less than daily,1994,0.015
Total,50-59,Smoke daily,1994,0.298
Total,60-69,Have never smoked,1994,0.397
Total,60-69,Stopped smoking,1994,0.39
Total,60-69,Smoke less than daily,1994,0.03
Total,60-69,Smoke daily,1994,0.184
Total,70-89,Have never smoked,1994,0.406
Total,70-89,Stopped smoking,1994,0.422
Total,70-89,Smoke less than daily,1994,0.006
Total,70-89,Smoke daily,1994,0.166
Total,18-69,Have never smoked,1994,0.402
Total,18-69,Stopped smoking,1994,0.267
Total,18-69,Smoke less than daily,1994,0.036
Total,18-69,Smoke daily,1994,0.295
Total,18-79,Have never smoked,1994,0.4
Total,18-79,Stopped smoking,1994,0.281
Total,18-79,Smoke less than daily,1994,0.034
Total,18-79,Smoke daily,1994,0.285
Total,18-89,Have never smoked,1994,0.402
Total,18-89,Stopped smoking,1994,0.284
Total,18-89,Smoke less than daily,1994,0.033
Total,18-89,Smoke daily,1994,0.28
Males,18-29,Have never smoked,1994,0.528
Males,18-29,Stopped smoking,1994,0.119
Males,18-29,Smoke less than daily,1994,0.036
Males,18-29,Smoke daily,1994,0.316
Males,30-39,Have never smoked,1994,0.343
Males,30-39,Stopped smoking,1994,0.248
Males,30-39,Smoke less than daily,1994,0.051
Males,30-39,Smoke daily,1994,0.358
Males,40-49,Have never smoked,1994,0.3
Males,40-49,Stopped smoking,1994,0.354
Males,40-49,Smoke less than daily,1994,0.032
Males,40-49,Smoke daily,1994,0.314
Males,50-59,Have never smoked,1994,0.274
Males,50-59,Stopped smoking,1994,0.411
Males,50-59,Smoke less than daily,1994,0.012
Males,50-59,Smoke daily,1994,0.304
Males,60-69,Have never smoked,1994,0.278
Males,60-69,Stopped smoking,1994,0.479
Males,60-69,Smoke less than daily,1994,0.014
Males,60-69,Smoke daily,1994,0.229
Males,70-89,Have never smoked,1994,0.272
Males,70-89,Stopped smoking,1994,0.589
Males,70-89,Smoke less than daily,1994,0.007
Males,70-89,Smoke daily,1994,0.132
Males,18-69,Have never smoked,1994,0.374
Males,18-69,Stopped smoking,1994,0.28
Males,18-69,Smoke less than daily,1994,0.033
Males,18-69,Smoke daily,1994,0.313
Males,18-79,Have never smoked,1994,0.362
Males,18-79,Stopped smoking,1994,0.307
Males,18-79,Smoke less than daily,1994,0.031
Males,18-79,Smoke daily,1994,0.3
Males,18-89,Have never smoked,1994,0.363
Males,18-89,Stopped smoking,1994,0.314
Males,18-89,Smoke less than daily,1994,0.03
Males,18-89,Smoke daily,1994,0.294
Females,18-29,Have never smoked,1994,0.518
Females,18-29,Stopped smoking,1994,0.16
Females,18-29,Smoke less than daily,1994,0.06
Females,18-29,Smoke daily,1994,0.263
Females,30-39,Have never smoked,1994,0.358
Females,30-39,Stopped smoking,1994,0.299
Females,30-39,Smoke less than daily,1994,0.029
Females,30-39,Smoke daily,1994,0.314
Females,40-49,Have never smoked,1994,0.354
Females,40-49,Stopped smoking,1994,0.285
Females,40-49,Smoke less than daily,1994,0.038
Females,40-49,Smoke daily,1994,0.323
Females,50-59,Have never smoked,1994,0.423
Females,50-59,Stopped smoking,1994,0.268
Females,50-59,Smoke less than daily,1994,0.018
Females,50-59,Smoke daily,1994,0.292
Females,60-69,Have never smoked,1994,0.503
Females,60-69,Stopped smoking,1994,0.311
Females,60-69,Smoke less than daily,1994,0.043
Females,60-69,Smoke daily,1994,0.143
Females,70-89,Have never smoked,1994,0.527
Females,70-89,Stopped smoking,1994,0.272
Females,70-89,Smoke less than daily,1994,0.006
Females,70-89,Smoke daily,1994,0.195
Females,18-69,Have never smoked,1994,0.429
Females,18-69,Stopped smoking,1994,0.254
Females,18-69,Smoke less than daily,1994,0.04
Females,18-69,Smoke daily,1994,0.277
Females,18-79,Have never smoked,1994,0.436
