"Quarter","Region","Sex","Age","Employed, % (of population)","Underemployed, % (of employed)","Unemployment rate, % (of labour force)"
"2003Q3","Capital region","Males and females","55-74",60.4,3.1,1.6
"2003Q3","Capital region","Males and females","16-64",86.3,3.8,2.9
"2003Q3","Capital region","Males and females","25-64",89.0,2.6,2.6
"2003Q3","Capital region","Males","16-74",84.7,2.7,3.4
"2003Q3","Capital region","Males","16-24",76.0,9.6,6.4
"2003Q3","Capital region","Males","25-54",93.1,1.6,2.8
"2003Q3","Capital region","Males","55-74",65.6,0.0,2.3
"2003Q3","Capital region","Males","16-64",89.0,2.8,3.5
"2003Q3","Capital region","Males","25-64",92.3,1.3,2.8
"2003Q3","Capital region","Females","16-74",78.2,5.0,2.3
"2003Q3","Capital region","Females","16-24",76.5,8.9,2.5
"2003Q3","Capital region","Females","25-54",86.9,3.6,2.5
"2003Q3","Capital region","Females","55-74",56.0,6.2,0.9
"2003Q3","Capital region","Females","16-64",83.8,4.9,2.3
"2003Q3","Capital region","Females","25-64",85.7,3.9,2.3
"2003Q3","Outside Capital region","Males and females","16-74",83.7,3.7,2.2
"2003Q3","Outside Capital region","Males and females","16-24",83.6,6.0,4.3
"2003Q3","Outside Capital region","Males and females","25-54",90.5,3.2,1.5
"2003Q3","Outside Capital region","Males and females","55-74",67.8,3.1,2.6
"2003Q3","Outside Capital region","Males and females","16-64",88.0,3.8,2.4
"2003Q3","Outside Capital region","Males and females","25-64",89.1,3.3,1.9
"2003Q3","Outside Capital region","Males","16-74",85.7,1.5,2.0
"2003Q3","Outside Capital region","Males","16-24",81.3,5.9,3.9
"2003Q3","Outside Capital region","Males","25-54",94.0,0.7,1.0
"2003Q3","Outside Capital region","Males","55-74",71.1,0.0,3.5
"2003Q3","Outside Capital region","Males","16-64",90.1,1.5,2.1
"2003Q3","Outside Capital region","Males","25-64",92.4,0.5,1.7
"2003Q3","Outside Capital region","Females","16-74",81.4,6.2,2.5
"2003Q3","Outside Capital region","Females","16-24",86.4,6.1,4.7
"2003Q3","Outside Capital region","Females","25-54",86.8,6.0,2.2
"2003Q3","Outside Capital region","Females","55-74",63.8,7.2,1.4
"2003Q3","Outside Capital region","Females","16-64",85.7,6.5,2.6
"2003Q3","Outside Capital region","Females","25-64",85.6,6.6,2.1
"2003Q4","Total","Males and females","16-74",77.7,4.1,2.9
"2003Q4","Total","Males and females","16-24",61.3,11.0,8.0
"2003Q4","Total","Males and females","25-54",88.5,2.9,2.3
"2003Q4","Total","Males and females","55-74",62.2,3.0,0.7
"2003Q4","Total","Males and females","16-64",82.3,4.1,2.9
"2003Q4","Total","Males and females","25-64",87.6,2.9,2.0
"2003Q4","Total","Males","16-74",81.1,3.1,3.0
"2003Q4","Total","Males","16-24",63.2,11.6,8.8
"2003Q4","Total","Males","25-54",91.1,1.5,2.3
"2003Q4","Total","Males","55-74",69.6,2.1,0.8
"2003Q4","Total","Males","16-64",85.1,3.1,3.1
"2003Q4","Total","Males","25-64",90.9,1.5,2.0
"2003Q4","Total","Females","16-74",74.2,5.2,2.7
"2003Q4","Total","Females","16-24",59.4,10.4,7.1
"2003Q4","Total","Females","25-54",86.0,4.3,2.2
"2003Q4","Total","Females","55-74",54.9,4.2,0.5
"2003Q4","Total","Females","16-64",79.4,5.2,2.8
"2003Q4","Total","Females","25-64",84.3,4.3,2.0
"2003Q4","Capital region","Males and females","16-74",76.8,4.1,3.3
"2003Q4","Capital region","Males and females","16-24",60.9,9.9,8.0
"2003Q4","Capital region","Males and females","25-54",88.5,2.5,2.8
"2003Q4","Capital region","Males and females","55-74",59.5,5.1,0.3
"2003Q4","Capital region","Males and females","16-64",81.6,4.1,3.3
"2003Q4","Capital region","Males and females","25-64",87.5,2.9,2.4
"2003Q4","Capital region","Males","16-74",79.9,3.2,3.4
"2003Q4","Capital region","Males","16-24",63.7,10.8,7.7
"2003Q4","Capital region","Males","25-54",89.7,1.3,3.1
"2003Q4","Capital region","Males","55-74",66.9,3.7,0.6
"2003Q4","Capital region","Males","16-64",84.0,3.1,3.5
"2003Q4","Capital region","Males","25-64",89.5,1.6,2.6
"2003Q4","Capital region","Females","16-74",73.7,5.1,3.1
"2003Q4","Capital region","Females","16-24",58.3,9.1,8.3
"2003Q4","Capital region","Females","25-54",87.2,3.8,2.5
"2003Q4","Capital region","Females","55-74",52.7,6.8,0.0
"2003Q4","Capital region","Females","16-64",79.3,5.1,3.2
"2003Q4","Capital region","Females","25-64",85.4,4.3,2.1
"2003Q4","Outside Capital region","Males and females","16-74",79.4,4.0,2.2
"2003Q4","Outside Capital region","Males and females","16-24",62.4,13.3,8.0
"2003Q4","Outside Capital region","Males and females","25-54",88.6,3.4,1.3
"2003Q4","Outside Capital region","Males and females","55-74",66.6,0.0,1.2
"2003Q4","Outside Capital region","Males and females","16-64",83.5,4.2,2.2
"2003Q4","Outside Capital region","Males and females","25-64",87.9,2.8,1.3
"2003Q4","Outside Capital region","Males","16-74",83.2,3.0,2.3
"2003Q4","Outside Capital region","Males","16-24",62.3,13.0,10.7
"2003Q4","Outside Capital region","Males","25-54",93.4,1.8,0.9
"2003Q4","Outside Capital region","Males","55-74",73.7,0.0,1.0
"2003Q4","Outside Capital region","Males","16-64",87.0,3.1,2.4
"2003Q4","Outside Capital region","Males","25-64",93.1,1.5,0.9
"2003Q4","Outside Capital region","Females","16-74",75.2,5.3,1.9
"2003Q4","Outside Capital region","Females","16-24",62.6,13.8,3.9
"2003Q4","Outside Capital region","Females","25-54",83.8,5.2,1.7
"2003Q4","Outside Capital region","Females","55-74",58.8,0.0,1.4
"2003Q4","Outside Capital region","Females","16-64",79.6,5.5,2.0
"2003Q4","Outside Capital region","Females","25-64",82.5,4.4,1.7
"2004Q1","Total","Males and females","16-74",76.6,4.8,3.1
"2004Q1","Total","Males and females","16-24",58.1,12.3,8.4
"2004Q1","Total","Males and females","25-54",87.7,3.5,2.0
"2004Q1","Total","Males and females","55-74",62.0,3.7,2.7
"2004Q1","Total","Males and females","16-64",80.9,4.8,3.1
"2004Q1","Total","Males and females","25-64",86.7,3.6,2.1
"2004Q1","Total","Males","16-74",79.6,3.3,3.4
"2004Q1","Total","Males","16-24",57.2,12.2,9.8
"2004Q1","Total","Males","25-54",90.8,1.5,2.0
"2004Q1","Total","Males","55-74",67.7,3.3,3.7
"2004Q1","Total","Males","16-64",83.2,3.1,3.4
"2004Q1","Total","Males","25-64",89.8,1.7,2.3
"2004Q1","Total","Females","16-74",73.6,6.4,2.7
"2004Q1","Total","Females","16-24",59.1,12.5,7.0
"2004Q1","Total","Females","25-54",84.5,5.7,2.0
"2004Q1","Total","Females","55-74",56.3,4.2,1.6
"2004Q1","Total","Females","16-64",78.6,6.6,2.7
"2004Q1","Total","Females","25-64",83.5,5.6,2.0
"2004Q1","Capital region","Males and females","16-74",75.9,4.9,3.1
"2004Q1","Capital region","Males and females","16-24",59.1,11.2,8.2
"2004Q1","Capital region","Males and females","25-54",86.7,3.7,2.0
"2004Q1","Capital region","Males and females","55-74",60.8,3.6,2.5
"2004Q1","Capital region","Males and females","16-64",80.2,4.9,3.1
"2004Q1","Capital region","Males and females","25-64",86.0,3.7,2.0
"2004Q1","Capital region","Males","16-74",78.3,2.9,3.9
"2004Q1","Capital region","Males","16-24",56.9,9.3,11.3
"2004Q1","Capital region","Males","25-54",89.9,1.7,2.4
"2004Q1","Capital region","Males","55-74",64.2,2.3,3.4
"2004Q1","Capital region","Males","16-64",81.9,2.7,3.8
"2004Q1","Capital region","Males","25-64",88.7,1.6,2.4
"2004Q1","Capital region","Females","16-74",73.6,7.0,2.2
"2004Q1","Capital region","Females","16-24",61.2,12.9,5.4
"2004Q1","Capital region","Females","25-54",83.6,6.0,1.5
"2004Q1","Capital region","Females","55-74",57.6,5.0,1.6
"2004Q1","Capital region","Females","16-64",78.4,7.2,2.3
"2004Q1","Capital region","Females","25-64",83.4,6.0,1.6
"2004Q1","Outside Capital region","Males and females","16-74",77.9,4.6,3.0
"2004Q1","Outside Capital region","Males and females","16-24",55.9,15.2,8.7
"2004Q1","Outside Capital region","Males and females","25-54",89.5,3.1,2.0
"2004Q1","Outside Capital region","Males and females","55-74",63.7,3.9,3.0
"2004Q1","Outside Capital region","Males and females","16-64",82.4,4.7,3.1
"2004Q1","Outside Capital region","Males and females","25-64",87.9,3.3,2.3
"2004Q1","Outside Capital region","Males","16-74",81.9,3.9,2.6
"2004Q1","Outside Capital region","Males","16-24",57.9,18.1,6.5
"2004Q1","Outside Capital region","Males","25-54",92.5,1.2,1.3
"2004Q1","Outside Capital region","Males","55-74",72.8,4.5,4.1
"2004Q1","Outside Capital region","Males","16-64",85.6,3.9,2.7
"2004Q1","Outside Capital region","Males","25-64",91.8,1.9,2.2
"2004Q1","Outside Capital region","Females","16-74",73.6,5.4,3.5
"2004Q1","Outside Capital region","Females","16-24",53.3,11.2,11.6
"2004Q1","Outside Capital region","Females","25-54",86.3,5.2,2.7
"2004Q1","Outside Capital region","Females","55-74",54.3,2.9,1.5
"2004Q1","Outside Capital region","Females","16-64",79.0,5.6,3.6
"2004Q1","Outside Capital region","Females","25-64",83.9,4.9,2.5
"2004Q2","Total","Males and females","16-74",79.5,4.1,4.0
"2004Q2","Total","Males and females","16-24",71.1,10.7,11.9
"2004Q2","Total","Males and females","25-54",89.3,2.9,2.0
"2004Q2","Total","Males and females","55-74",60.0,2.6,3.7
"2004Q2","Total","Males and females","16-64",84.3,4.2,4.1
"2004Q2","Total","Males and females","25-64",87.6,2.9,2.4
"2004Q2","Total","Males","16-74",83.1,2.0,5.2
"2004Q2","Total","Males","16-24",69.7,7.2,16.2
"2004Q2","Total","Males","25-54",93.2,1.1,2.3
"2004Q2","Total","Males","55-74",66.4,1.0,4.8
"2004Q2","Total","Males","16-64",87.2,2.0,5.4
"2004Q2","Total","Males","25-64",91.6,1.0,3.0
"2004Q2","Total","Females","16-74",75.8,6.5,2.7
"2004Q2","Total","Females","16-24",72.5,14.3,7.1
"2004Q2","Total","Females","25-54",85.3,4.9,1.6
"2004Q2","Total","Females","55-74",53.6,4.5,2.5
"2004Q2","Total","Females","16-64",81.2,6.7,2.7
"2004Q2","Total","Females","25-64",83.4,5.1,1.7
"2004Q2","Capital region","Males and females","16-74",80.2,4.3,3.9
"2004Q2","Capital region","Males and females","16-24",72.0,10.7,10.7
"2004Q2","Capital region","Males and females","25-54",89.2,3.1,1.9
"2004Q2","Capital region","Males and females","55-74",61.7,2.5,4.2
"2004Q2","Capital region","Males and females","16-64",84.5,4.5,4.0
"2004Q2","Capital region","Males and females","25-64",87.9,3.1,2.4
"2004Q2","Capital region","Males","16-74",83.6,2.3,5.0
"2004Q2","Capital region","Males","16-24",69.8,7.9,15.8
"2004Q2","Capital region","Males","25-54",93.3,1.3,2.0
"2004Q2","Capital region","Males","55-74",66.6,0.8,4.8
"2004Q2","Capital region","Males","16-64",87.3,2.4,5.2
"2004Q2","Capital region","Males","25-64",92.0,1.3,2.6
"2004Q2","Capital region","Females","16-74",77.0,6.4,2.8
"2004Q2","Capital region","Females","16-24",74.1,13.4,5.3
"2004Q2","Capital region","Females","25-54",85.2,5.1,1.8
"2004Q2","Capital region","Females","55-74",57.6,4.2,3.5
"2004Q2","Capital region","Females","16-64",81.8,6.7,2.8
"2004Q2","Capital region","Females","25-64",83.8,5.1,2.2
"2004Q2","Outside Capital region","Males and females","16-74",78.2,3.7,4.2
"2004Q2","Outside Capital region","Males and females","16-24",69.1,10.7,14.5
"2004Q2","Outside Capital region","Males and females","25-54",89.4,2.5,2.1
"2004Q2","Outside Capital region","Males and females","55-74",57.5,2.7,3.1
"2004Q2","Outside Capital region","Males and females","16-64",83.9,3.7,4.4
"2004Q2","Outside Capital region","Males and females","25-64",87.0,2.5,2.4
"2004Q2","Outside Capital region","Males","16-74",82.3,1.5,5.5
"2004Q2","Outside Capital region","Males","16-24",69.5,5.8,16.9
"2004Q2","Outside Capital region","Males","25-54",93.0,0.7,2.9
"2004Q2","Outside Capital region","Males","55-74",66.3,1.2,4.8
"2004Q2","Outside Capital region","Males","16-64",87.2,1.3,5.7
"2004Q2","Outside Capital region","Males","25-64",91.0,0.5,3.5
"2004Q2","Outside Capital region","Females","16-74",73.5,6.6,2.6
"2004Q2","Outside Capital region","Females","16-24",68.5,16.6,11.5
"2004Q2","Outside Capital region","Females","25-54",85.5,4.7,1.1
"2004Q2","Outside Capital region","Females","55-74",46.7,5.3,0.0
"2004Q2","Outside Capital region","Females","16-64",80.1,6.7,2.6
"2004Q2","Outside Capital region","Females","25-64",82.5,5.0,0.9
"2004Q3","Total","Males and females","16-74",79.5,3.2,2.5
"2004Q3","Total","Males and females","16-24",74.2,5.8,4.9
"2004Q3","Total","Males and females","25-54",88.3,2.6,2.1
"2004Q3","Total","Males and females","55-74",60.5,2.8,1.8
"2004Q3","Total","Males and females","16-64",84.4,3.2,2.6
"2004Q3","Total","Males and females","25-64",86.9,2.7,2.1
"2004Q3","Total","Males","16-74",84.4,1.4,1.9
"2004Q3","Total","Males","16-24",73.8,3.2,4.0
"2004Q3","Total","Males","25-54",93.4,1.2,1.6
"2004Q3","Total","Males","55-74",69.1,0.8,0.8
"2004Q3","Total","Males","16-64",88.5,1.4,1.9
"2004Q3","Total","Males","25-64",92.1,1.1,1.5
"2004Q3","Total","Females","16-74",74.6,5.1,3.3
"2004Q3","Total","Females","16-24",74.6,8.3,5.9
"2004Q3","Total","Females","25-54",83.3,4.2,2.7
"2004Q3","Total","Females","55-74",51.9,5.4,2.9
"2004Q3","Total","Females","16-64",80.2,5.2,3.3
"2004Q3","Total","Females","25-64",81.7,4.5,2.7
"2004Q3","Capital region","Males and females","16-74",79.4,3.5,2.8
"2004Q3","Capital region","Males and females","16-24",73.3,7.1,4.4
"2004Q3","Capital region","Males and females","25-54",87.7,2.9,2.5
"2004Q3","Capital region","Males and females","55-74",61.5,2.1,2.1
"2004Q3","Capital region","Males and females","16-64",83.6,3.7,2.9
"2004Q3","Capital region","Males and females","25-64",86.4,2.9,2.5
"2004Q3","Capital region","Males","16-74",83.8,1.9,1.9
"2004Q3","Capital region","Males","16-24",71.1,4.2,3.2
"2004Q3","Capital region","Males","25-54",92.8,1.7,1.8
"2004Q3","Capital region","Males","55-74",68.8,0.0,0.7
"2004Q3","Capital region","Males","16-64",87.3,1.9,1.9
"2004Q3","Capital region","Males","25-64",91.7,1.5,1.7
"2004Q3","Capital region","Females","16-74",75.2,5.4,3.8
"2004Q3","Capital region","Females","16-24",75.3,9.5,5.4
"2004Q3","Capital region","Females","25-54",82.6,4.2,3.3
"2004Q3","Capital region","Females","55-74",55.0,4.6,3.7
"2004Q3","Capital region","Females","16-64",80.0,5.5,3.9
"2004Q3","Capital region","Females","25-64",81.3,4.4,3.4
"2004Q3","Outside Capital region","Males and females","16-74",79.8,2.5,2.1
"2004Q3","Outside Capital region","Males and females","16-24",76.3,2.7,6.1
"2004Q3","Outside Capital region","Males and females","25-54",89.5,2.0,1.4
"2004Q3","Outside Capital region","Males and females","55-74",58.9,3.8,1.1
"2004Q3","Outside Capital region","Males and females","16-64",85.8,2.4,2.1
"2004Q3","Outside Capital region","Males and females","25-64",87.8,2.4,1.3
"2004Q3","Outside Capital region","Males","16-74",85.6,0.8,1.9
"2004Q3","Outside Capital region","Males","16-24",79.4,1.3,5.3
"2004Q3","Outside Capital region","Males","25-54",94.3,0.3,1.3
"2004Q3","Outside Capital region","Males","55-74",69.6,1.9,1.0
"2004Q3","Outside Capital region","Males","16-64",90.4,0.6,2.0
"2004Q3","Outside Capital region","Males","25-64",92.8,0.5,1.3
"2004Q3","Outside Capital region","Females","16-74",73.4,4.6,2.4
"2004Q3","Outside Capital region","Females","16-24",72.6,4.8,7.2
"2004Q3","Outside Capital region","Females","25-54",84.5,4.0,1.6
"2004Q3","Outside Capital region","Females","55-74",46.8,7.0,1.5
"2004Q3","Outside Capital region","Females","16-64",80.7,4.8,2.2
"2004Q3","Outside Capital region","Females","25-64",82.3,4.8,1.3
"2004Q4","Total","Males and females","16-74",77.9,4.8,2.4
"2004Q4","Total","Males and females","16-24",62.3,11.7,6.9
"2004Q4","Total","Males and females","25-54",87.7,3.8,1.6
"2004Q4","Total","Males and females","55-74",64.3,2.7,1.8
"2004Q4","Total","Males and females","16-64",82.3,4.8,2.4
"2004Q4","Total","Males and females","25-64",87.3,3.6,1.6
"2004Q4","Total","Males","16-74",82.6,2.8,2.0
"2004Q4","Total","Males","16-24",59.7,10.0,6.4
"2004Q4","Total","Males","25-54",92.9,2.0,1.4
"2004Q4","Total","Males","55-74",74.1,1.0,1.1
"2004Q4","Total","Males","16-64",86.1,2.9,2.1
"2004Q4","Total","Males","25-64",92.8,1.8,1.3
"2004Q4","Total","Females","16-74",73.1,7.0,2.9
"2004Q4","Total","Females","16-24",65.0,13.4,7.4
"2004Q4","Total","Females","25-54",82.5,6.0,1.8
"2004Q4","Total","Females","55-74",54.5,4.9,2.8
"2004Q4","Total","Females","16-64",78.5,7.0,2.9
"2004Q4","Total","Females","25-64",81.8,5.7,1.9
"2004Q4","Capital region","Males and females","16-74",77.3,4.8,2.6
"2004Q4","Capital region","Males and females","16-24",62.4,11.3,6.2
"2004Q4","Capital region","Males and females","25-54",87.3,3.7,1.8
"2004Q4","Capital region","Males and females","55-74",62.9,2.7,2.3
"2004Q4","Capital region","Males and females","16-64",81.6,4.8,2.7
"2004Q4","Capital region","Males and females","25-64",87.0,3.4,1.9
"2004Q4","Capital region","Males","16-74",81.2,3.0,2.2
"2004Q4","Capital region","Males","16-24",58.8,7.7,6.4
"2004Q4","Capital region","Males","25-54",93.0,2.4,1.4
"2004Q4","Capital region","Males","55-74",69.2,1.2,1.3
"2004Q4","Capital region","Males","16-64",85.1,3.0,2.2
"2004Q4","Capital region","Males","25-64",92.6,2.2,1.4
"2004Q4","Capital region","Females","16-74",73.5,6.7,3.1
"2004Q4","Capital region","Females","16-24",66.0,14.5,6.0
"2004Q4","Capital region","Females","25-54",81.8,5.2,2.2
"2004Q4","Capital region","Females","55-74",56.8,4.3,3.5
"2004Q4","Capital region","Females","16-64",78.2,6.6,3.2
"2004Q4","Capital region","Females","25-64",81.5,4.8,2.5
"2004Q4","Outside Capital region","Males and females","16-74",79.0,4.7,2.1
"2004Q4","Outside Capital region","Males and females","16-24",62.0,12.9,8.6
"2004Q4","Outside Capital region","Males and females","25-54",88.4,4.0,1.2
"2004Q4","Outside Capital region","Males and females","55-74",66.3,2.7,1.1
"2004Q4","Outside Capital region","Males and females","16-64",83.8,5.0,2.1
"2004Q4","Outside Capital region","Males and females","25-64",88.0,3.9,1.1
"2004Q4","Outside Capital region","Males","16-74",85.1,2.6,1.7
"2004Q4","Outside Capital region","Males","16-24",61.7,15.1,6.3
"2004Q4","Outside Capital region","Males","25-54",92.8,1.2,1.3
"2004Q4","Outside Capital region","Males","55-74",80.9,0.8,0.7
"2004Q4","Outside Capital region","Males","16-64",87.8,2.8,1.8
"2004Q4","Outside Capital region","Males","25-64",93.0,1.1,1.2
"2004Q4","Outside Capital region","Females","16-74",72.3,7.5,2.5
"2004Q4","Outside Capital region","Females","16-24",62.4,10.4,11.0
"2004Q4","Outside Capital region","Females","25-54",83.6,7.4,1.1
"2004Q4","Outside Capital region","Females","55-74",51.0,6.0,1.6
"2004Q4","Outside Capital region","Females","16-64",79.3,7.7,2.3
"2004Q4","Outside Capital region","Females","25-64",82.5,7.3,0.9
"2005Q1","Total","Males and females","16-74",77.8,5.4,3.0
"2005Q1","Total","Males and females","16-24",62.6,15.1,9.2
