"Year","Reason","Health services","Sex","Income quintiles","Proportion of individuals (%)","Proportion lower bounds (%)","Proportion upper bounds (%)"
"2007","Other reasons","Dentist","Females","Top quintile 81-100%",6.5,4.1,10.1
"2007","Other reasons","Dentist","Males","Total",6.4,5.3,7.8
"2007","Other reasons","Dentist","Males","Bottom quintile 1-20%",9.7,6.5,14.1
"2007","Other reasons","Dentist","Males","Second quintile 21-40%",5.8,3.5,9.4
"2007","Other reasons","Dentist","Males","Third quintile 41-60%",5.3,3.2,8.5
"2007","Other reasons","Dentist","Males","Fourth quintile 61-80%",7.5,5.0,11.1
"2007","Other reasons","Dentist","Males","Top quintile 81-100%",4.6,2.7,7.5
"2007","Other reasons","Doctor or medical specialist","Total","Total",4.7,4.0,5.5
"2007","Other reasons","Doctor or medical specialist","Total","Bottom quintile 1-20%",5.9,4.2,8.2
"2007","Other reasons","Doctor or medical specialist","Total","Second quintile 21-40%",4.1,2.7,6.2
"2007","Other reasons","Doctor or medical specialist","Total","Third quintile 41-60%",5.4,3.8,7.6
"2007","Other reasons","Doctor or medical specialist","Total","Fourth quintile 61-80%",4.0,2.6,5.9
"2007","Other reasons","Doctor or medical specialist","Total","Top quintile 81-100%",4.2,2.8,6.2
"2007","Other reasons","Doctor or medical specialist","Females","Total",3.4,2.6,4.5
"2007","Other reasons","Doctor or medical specialist","Females","Bottom quintile 1-20%",4.8,2.9,7.9
"2007","Other reasons","Doctor or medical specialist","Females","Second quintile 21-40%",3.1,1.6,5.8
"2007","Other reasons","Doctor or medical specialist","Females","Third quintile 41-60%",4.2,2.4,7.3
"2007","Other reasons","Doctor or medical specialist","Females","Fourth quintile 61-80%",2.1,0.9,4.6
"2007","Other reasons","Doctor or medical specialist","Females","Top quintile 81-100%",2.9,1.4,5.7
"2007","Other reasons","Doctor or medical specialist","Males","Total",5.9,4.8,7.3
"2007","Other reasons","Doctor or medical specialist","Males","Bottom quintile 1-20%",7.2,4.6,11.2
"2007","Other reasons","Doctor or medical specialist","Males","Second quintile 21-40%",5.3,3.2,8.8
"2007","Other reasons","Doctor or medical specialist","Males","Third quintile 41-60%",6.4,4.1,10.0
"2007","Other reasons","Doctor or medical specialist","Males","Fourth quintile 61-80%",5.6,3.5,8.9
"2007","Other reasons","Doctor or medical specialist","Males","Top quintile 81-100%",5.3,3.2,8.4
"2008","Total","Dentist","Total","Total",5.8,5.0,6.8
"2008","Total","Dentist","Total","Bottom quintile 1-20%",9.5,7.2,12.4
"2008","Total","Dentist","Total","Second quintile 21-40%",6.2,4.4,8.6
"2008","Total","Dentist","Total","Third quintile 41-60%",5.6,3.9,7.9
"2008","Total","Dentist","Total","Fourth quintile 61-80%",4.6,3.1,6.7
"2008","Total","Dentist","Total","Top quintile 81-100%",3.3,2.1,5.1
"2008","Total","Dentist","Females","Total",5.7,4.6,7.1
"2008","Total","Dentist","Females","Bottom quintile 1-20%",10.1,7.0,14.3
"2008","Total","Dentist","Females","Second quintile 21-40%",7.0,4.5,10.7
"2008","Total","Dentist","Females","Third quintile 41-60%",3.9,2.0,7.2
"2008","Total","Dentist","Females","Fourth quintile 61-80%",3.2,1.7,6.1
"2008","Total","Dentist","Females","Top quintile 81-100%",4.2,2.4,7.4
"2008","Total","Dentist","Males","Total",5.9,4.7,7.2
"2008","Total","Dentist","Males","Bottom quintile 1-20%",8.7,5.7,13.1
"2008","Total","Dentist","Males","Second quintile 21-40%",5.4,3.2,9.0
"2008","Total","Dentist","Males","Third quintile 41-60%",7.2,4.7,10.9
"2008","Total","Dentist","Males","Fourth quintile 61-80%",6.0,3.7,9.5
"2008","Total","Dentist","Males","Top quintile 81-100%",2.6,1.3,5.1
"2008","Total","Doctor or medical specialist","Total","Total",10.0,8.9,11.2
"2008","Total","Doctor or medical specialist","Total","Bottom quintile 1-20%",16.1,13.3,19.5
"2008","Total","Doctor or medical specialist","Total","Second quintile 21-40%",13.4,10.7,16.6
"2008","Total","Doctor or medical specialist","Total","Third quintile 41-60%",9.7,7.5,12.5
"2008","Total","Doctor or medical specialist","Total","Fourth quintile 61-80%",6.7,4.9,9.1
"2008","Total","Doctor or medical specialist","Total","Top quintile 81-100%",4.8,3.3,6.8
"2008","Total","Doctor or medical specialist","Females","Total",10.4,8.9,12.2
"2008","Total","Doctor or medical specialist","Females","Bottom quintile 1-20%",16.9,13.1,21.5
"2008","Total","Doctor or medical specialist","Females","Second quintile 21-40%",14.5,10.8,19.2
"2008","Total","Doctor or medical specialist","Females","Third quintile 41-60%",8.2,5.4,12.1
"2008","Total","Doctor or medical specialist","Females","Fourth quintile 61-80%",6.3,3.9,10.1
"2008","Total","Doctor or medical specialist","Females","Top quintile 81-100%",5.5,3.3,9.0
"2008","Total","Doctor or medical specialist","Males","Total",9.5,8.1,11.2
"2008","Total","Doctor or medical specialist","Males","Bottom quintile 1-20%",15.2,11.2,20.4
"2008","Total","Doctor or medical specialist","Males","Second quintile 21-40%",12.2,8.6,16.8
"2008","Total","Doctor or medical specialist","Males","Third quintile 41-60%",11.2,8.0,15.5
"2008","Total","Doctor or medical specialist","Males","Fourth quintile 61-80%",7.1,4.6,10.6
"2008","Total","Doctor or medical specialist","Males","Top quintile 81-100%",4.2,2.5,6.9
"2008","Too expensive","Dentist","Total","Total",1.2,0.8,1.6
"2008","Too expensive","Dentist","Total","Bottom quintile 1-20%",2.5,1.4,4.3
"2008","Too expensive","Dentist","Total","Second quintile 21-40%",1.6,0.8,3.0
"2008","Too expensive","Dentist","Total","Third quintile 41-60%",0.6,0.2,1.9
"2008","Too expensive","Dentist","Total","Fourth quintile 61-80%",0.7,0.3,2.0
"2008","Too expensive","Dentist","Total","Top quintile 81-100%",0.5,0.2,1.5
"2008","Too expensive","Dentist","Females","Total",1.1,0.6,1.8
"2008","Too expensive","Dentist","Females","Bottom quintile 1-20%",2.7,1.4,5.4
"2008","Too expensive","Dentist","Females","Second quintile 21-40%",1.3,0.5,3.5
"2008","Too expensive","Dentist","Females","Third quintile 41-60%",0.0,0.0,0.0
"2008","Too expensive","Dentist","Females","Fourth quintile 61-80%",0.8,0.2,3.0
"2008","Too expensive","Dentist","Females","Top quintile 81-100%",0.4,0.1,2.6
"2008","Too expensive","Dentist","Males","Total",1.2,0.8,2.0
"2008","Too expensive","Dentist","Males","Bottom quintile 1-20%",2.2,0.9,5.3
"2008","Too expensive","Dentist","Males","Second quintile 21-40%",1.9,0.8,4.4
"2008","Too expensive","Dentist","Males","Third quintile 41-60%",1.2,0.4,3.6
"2008","Too expensive","Dentist","Males","Fourth quintile 61-80%",0.7,0.2,2.9
"2008","Too expensive","Dentist","Males","Top quintile 81-100%",0.6,0.1,2.3
"2008","Too expensive","Doctor or medical specialist","Total","Total",5.6,4.8,6.5
"2008","Too expensive","Doctor or medical specialist","Total","Bottom quintile 1-20%",9.9,7.6,12.7
"2008","Too expensive","Doctor or medical specialist","Total","Second quintile 21-40%",9.4,7.2,12.2
"2008","Too expensive","Doctor or medical specialist","Total","Third quintile 41-60%",4.5,3.0,6.6
"2008","Too expensive","Doctor or medical specialist","Total","Fourth quintile 61-80%",3.4,2.1,5.4
"2008","Too expensive","Doctor or medical specialist","Total","Top quintile 81-100%",1.5,0.8,2.8
"2008","Too expensive","Doctor or medical specialist","Females","Total",6.6,5.4,8.1
"2008","Too expensive","Doctor or medical specialist","Females","Bottom quintile 1-20%",11.8,8.6,16.0
"2008","Too expensive","Doctor or medical specialist","Females","Second quintile 21-40%",9.9,6.9,14.1
"2008","Too expensive","Doctor or medical specialist","Females","Third quintile 41-60%",4.5,2.6,7.7
"2008","Too expensive","Doctor or medical specialist","Females","Fourth quintile 61-80%",3.6,1.8,7.0
"2008","Too expensive","Doctor or medical specialist","Females","Top quintile 81-100%",2.6,1.2,5.4
"2008","Too expensive","Doctor or medical specialist","Males","Total",4.6,3.6,5.8
"2008","Too expensive","Doctor or medical specialist","Males","Bottom quintile 1-20%",7.5,4.8,11.6
"2008","Too expensive","Doctor or medical specialist","Males","Second quintile 21-40%",8.8,5.9,13.1
"2008","Too expensive","Doctor or medical specialist","Males","Third quintile 41-60%",4.4,2.5,7.6
"2008","Too expensive","Doctor or medical specialist","Males","Fourth quintile 61-80%",3.2,1.6,6.1
"2008","Too expensive","Doctor or medical specialist","Males","Top quintile 81-100%",0.6,0.1,2.3
"2008","Other reasons","Dentist","Total","Total",4.6,3.9,5.5
"2008","Other reasons","Dentist","Total","Bottom quintile 1-20%",7.0,5.0,9.6
"2008","Other reasons","Dentist","Total","Second quintile 21-40%",4.6,3.1,6.8
"2008","Other reasons","Dentist","Total","Third quintile 41-60%",5.0,3.4,7.2
"2008","Other reasons","Dentist","Total","Fourth quintile 61-80%",3.9,2.5,5.8
"2008","Other reasons","Dentist","Total","Top quintile 81-100%",2.8,1.7,4.5
"2008","Other reasons","Dentist","Females","Total",4.7,3.7,6.0
"2008","Other reasons","Dentist","Females","Bottom quintile 1-20%",7.4,4.7,11.3
"2008","Other reasons","Dentist","Females","Second quintile 21-40%",5.6,3.4,9.1
"2008","Other reasons","Dentist","Females","Third quintile 41-60%",3.9,2.0,7.2
"2008","Other reasons","Dentist","Females","Fourth quintile 61-80%",2.4,1.2,5.1
"2008","Other reasons","Dentist","Females","Top quintile 81-100%",3.9,2.1,6.9
"2008","Other reasons","Dentist","Males","Total",4.6,3.6,5.9
"2008","Other reasons","Dentist","Males","Bottom quintile 1-20%",6.5,4.0,10.5
"2008","Other reasons","Dentist","Males","Second quintile 21-40%",3.5,1.8,6.7
"2008","Other reasons","Dentist","Males","Third quintile 41-60%",6.0,3.7,9.5
"2008","Other reasons","Dentist","Males","Fourth quintile 61-80%",5.3,3.2,8.6
"2008","Other reasons","Dentist","Males","Top quintile 81-100%",2.0,0.9,4.4
"2008","Other reasons","Doctor or medical specialist","Total","Total",4.4,3.7,5.2
"2008","Other reasons","Doctor or medical specialist","Total","Bottom quintile 1-20%",6.3,4.5,8.7
"2008","Other reasons","Doctor or medical specialist","Total","Second quintile 21-40%",4.0,2.6,6.0
"2008","Other reasons","Doctor or medical specialist","Total","Third quintile 41-60%",5.3,3.7,7.5
"2008","Other reasons","Doctor or medical specialist","Total","Fourth quintile 61-80%",3.3,2.1,5.1
"2008","Other reasons","Doctor or medical specialist","Total","Top quintile 81-100%",3.3,2.2,5.1
"2008","Other reasons","Doctor or medical specialist","Females","Total",3.8,2.9,5.0
"2008","Other reasons","Doctor or medical specialist","Females","Bottom quintile 1-20%",5.1,3.1,8.2
"2008","Other reasons","Doctor or medical specialist","Females","Second quintile 21-40%",4.6,2.6,7.8
"2008","Other reasons","Doctor or medical specialist","Females","Third quintile 41-60%",3.6,1.9,6.8
"2008","Other reasons","Doctor or medical specialist","Females","Fourth quintile 61-80%",2.7,1.3,5.4
"2008","Other reasons","Doctor or medical specialist","Females","Top quintile 81-100%",2.9,1.5,5.8
"2008","Other reasons","Doctor or medical specialist","Males","Total",5.0,3.9,6.2
"2008","Other reasons","Doctor or medical specialist","Males","Bottom quintile 1-20%",7.7,4.9,11.9
"2008","Other reasons","Doctor or medical specialist","Males","Second quintile 21-40%",3.3,1.7,6.3
"2008","Other reasons","Doctor or medical specialist","Males","Third quintile 41-60%",6.8,4.4,10.4
"2008","Other reasons","Doctor or medical specialist","Males","Fourth quintile 61-80%",3.9,2.2,6.7
"2008","Other reasons","Doctor or medical specialist","Males","Top quintile 81-100%",3.6,2.1,6.2
"2009","Total","Dentist","Total","Total",6.7,5.9,7.7
"2009","Total","Dentist","Total","Bottom quintile 1-20%",10.5,8.2,13.4
"2009","Total","Dentist","Total","Second quintile 21-40%",7.9,6.0,10.5
"2009","Total","Dentist","Total","Third quintile 41-60%",6.4,4.6,8.8
"2009","Total","Dentist","Total","Fourth quintile 61-80%",4.9,3.4,7.0
"2009","Total","Dentist","Total","Top quintile 81-100%",4.1,2.8,6.0
"2009","Total","Dentist","Females","Total",7.1,5.8,8.5
"2009","Total","Dentist","Females","Bottom quintile 1-20%",12.1,8.8,16.4
"2009","Total","Dentist","Females","Second quintile 21-40%",7.5,5.1,11.0
"2009","Total","Dentist","Females","Third quintile 41-60%",6.8,4.2,10.7
"2009","Total","Dentist","Females","Fourth quintile 61-80%",2.9,1.5,5.5
"2009","Total","Dentist","Females","Top quintile 81-100%",5.3,3.2,8.7
"2009","Total","Dentist","Males","Total",6.4,5.2,7.8
"2009","Total","Dentist","Males","Bottom quintile 1-20%",8.7,5.8,13.0
"2009","Total","Dentist","Males","Second quintile 21-40%",8.5,5.5,12.7
"2009","Total","Dentist","Males","Third quintile 41-60%",6.0,3.7,9.6
"2009","Total","Dentist","Males","Fourth quintile 61-80%",6.9,4.4,10.6
"2009","Total","Dentist","Males","Top quintile 81-100%",3.2,1.8,5.6
"2009","Total","Doctor or medical specialist","Total","Total",10.7,9.6,11.9
"2009","Total","Doctor or medical specialist","Total","Bottom quintile 1-20%",17.3,14.3,20.8
"2009","Total","Doctor or medical specialist","Total","Second quintile 21-40%",12.4,9.8,15.4
"2009","Total","Doctor or medical specialist","Total","Third quintile 41-60%",10.0,7.7,12.9
"2009","Total","Doctor or medical specialist","Total","Fourth quintile 61-80%",9.0,6.9,11.7
"2009","Total","Doctor or medical specialist","Total","Top quintile 81-100%",5.0,3.5,7.1
"2009","Total","Doctor or medical specialist","Females","Total",10.3,8.8,12.1
"2009","Total","Doctor or medical specialist","Females","Bottom quintile 1-20%",17.5,13.5,22.5
"2009","Total","Doctor or medical specialist","Females","Second quintile 21-40%",14.1,10.6,18.6
"2009","Total","Doctor or medical specialist","Females","Third quintile 41-60%",8.6,5.6,12.9
"2009","Total","Doctor or medical specialist","Females","Fourth quintile 61-80%",7.1,4.6,10.8
"2009","Total","Doctor or medical specialist","Females","Top quintile 81-100%",2.7,1.3,5.5
"2009","Total","Doctor or medical specialist","Males","Total",11.0,9.5,12.8
"2009","Total","Doctor or medical specialist","Males","Bottom quintile 1-20%",17.0,12.8,22.3
"2009","Total","Doctor or medical specialist","Males","Second quintile 21-40%",10.1,6.8,14.8
"2009","Total","Doctor or medical specialist","Males","Third quintile 41-60%",11.3,8.1,15.5
"2009","Total","Doctor or medical specialist","Males","Fourth quintile 61-80%",10.8,7.7,15.1
"2009","Total","Doctor or medical specialist","Males","Top quintile 81-100%",6.8,4.5,10.1
"2009","Too expensive","Dentist","Total","Total",1.7,1.3,2.3
"2009","Too expensive","Dentist","Total","Bottom quintile 1-20%",3.6,2.3,5.7
"2009","Too expensive","Dentist","Total","Second quintile 21-40%",2.6,1.5,4.3
"2009","Too expensive","Dentist","Total","Third quintile 41-60%",1.2,0.5,2.6
"2009","Too expensive","Dentist","Total","Fourth quintile 61-80%",0.7,0.3,1.8
"2009","Too expensive","Dentist","Total","Top quintile 81-100%",0.5,0.2,1.5
"2009","Too expensive","Dentist","Females","Total",1.8,1.2,2.7
"2009","Too expensive","Dentist","Females","Bottom quintile 1-20%",3.8,2.0,6.9
"2009","Too expensive","Dentist","Females","Second quintile 21-40%",2.6,1.3,5.1
"2009","Too expensive","Dentist","Females","Third quintile 41-60%",1.2,0.4,3.7
"2009","Too expensive","Dentist","Females","Fourth quintile 61-80%",0.3,0.0,2.3
"2009","Too expensive","Dentist","Females","Top quintile 81-100%",0.8,0.2,3.0
"2009","Too expensive","Dentist","Males","Total",1.6,1.0,2.4
"2009","Too expensive","Dentist","Males","Bottom quintile 1-20%",3.5,1.8,6.6
"2009","Too expensive","Dentist","Males","Second quintile 21-40%",2.5,1.1,5.6
"2009","Too expensive","Dentist","Males","Third quintile 41-60%",1.2,0.4,3.6
"2009","Too expensive","Dentist","Males","Fourth quintile 61-80%",1.0,0.3,3.2
"2009","Too expensive","Dentist","Males","Top quintile 81-100%",0.3,0.0,1.8
"2009","Too expensive","Doctor or medical specialist","Total","Total",7.1,6.2,8.1
"2009","Too expensive","Doctor or medical specialist","Total","Bottom quintile 1-20%",12.5,9.9,15.6
"2009","Too expensive","Doctor or medical specialist","Total","Second quintile 21-40%",10.3,8.0,13.2
"2009","Too expensive","Doctor or medical specialist","Total","Third quintile 41-60%",5.7,4.1,8.1
"2009","Too expensive","Doctor or medical specialist","Total","Fourth quintile 61-80%",5.2,3.6,7.4
"2009","Too expensive","Doctor or medical specialist","Total","Top quintile 81-100%",2.4,1.4,4.0
"2009","Too expensive","Doctor or medical specialist","Females","Total",7.5,6.3,9.1
"2009","Too expensive","Doctor or medical specialist","Females","Bottom quintile 1-20%",13.1,9.6,17.6
"2009","Too expensive","Doctor or medical specialist","Females","Second quintile 21-40%",12.4,9.1,16.7
"2009","Too expensive","Doctor or medical specialist","Females","Third quintile 41-60%",5.3,3.1,8.8
"2009","Too expensive","Doctor or medical specialist","Females","Fourth quintile 61-80%",4.1,2.3,7.3
"2009","Too expensive","Doctor or medical specialist","Females","Top quintile 81-100%",1.2,0.4,3.8
"2009","Too expensive","Doctor or medical specialist","Males","Total",6.7,5.5,8.2
"2009","Too expensive","Doctor or medical specialist","Males","Bottom quintile 1-20%",11.7,8.2,16.4
"2009","Too expensive","Doctor or medical specialist","Males","Second quintile 21-40%",7.6,4.8,11.9
"2009","Too expensive","Doctor or medical specialist","Males","Third quintile 41-60%",6.1,3.9,9.6
"2009","Too expensive","Doctor or medical specialist","Males","Fourth quintile 61-80%",6.2,3.9,9.7
"2009","Too expensive","Doctor or medical specialist","Males","Top quintile 81-100%",3.3,1.8,5.8
"2009","Other reasons","Dentist","Total","Total",5.0,4.3,5.9
"2009","Other reasons","Dentist","Total","Bottom quintile 1-20%",6.9,5.1,9.4
"2009","Other reasons","Dentist","Total","Second quintile 21-40%",5.4,3.8,7.6
"2009","Other reasons","Dentist","Total","Third quintile 41-60%",5.2,3.6,7.4
"2009","Other reasons","Dentist","Total","Fourth quintile 61-80%",4.2,2.8,6.2
"2009","Other reasons","Dentist","Total","Top quintile 81-100%",3.7,2.4,5.4
"2009","Other reasons","Dentist","Females","Total",5.2,4.2,6.5
"2009","Other reasons","Dentist","Females","Bottom quintile 1-20%",8.4,5.7,12.1
"2009","Other reasons","Dentist","Females","Second quintile 21-40%",4.9,3.0,8.0
"2009","Other reasons","Dentist","Females","Third quintile 41-60%",5.6,3.3,9.2
"2009","Other reasons","Dentist","Females","Fourth quintile 61-80%",2.5,1.3,5.0
"2009","Other reasons","Dentist","Females","Top quintile 81-100%",4.6,2.7,7.8
"2009","Other reasons","Dentist","Males","Total",4.8,3.8,6.1
"2009","Other reasons","Dentist","Males","Bottom quintile 1-20%",5.2,3.0,8.9
"2009","Other reasons","Dentist","Males","Second quintile 21-40%",6.0,3.6,9.7
"2009","Other reasons","Dentist","Males","Third quintile 41-60%",4.9,2.9,8.1
"2009","Other reasons","Dentist","Males","Fourth quintile 61-80%",5.8,3.6,9.4
"2009","Other reasons","Dentist","Males","Top quintile 81-100%",2.9,1.6,5.3
"2009","Other reasons","Doctor or medical specialist","Total","Total",3.5,2.9,4.3
"2009","Other reasons","Doctor or medical specialist","Total","Bottom quintile 1-20%",4.8,3.3,7.1
"2009","Other reasons","Doctor or medical specialist","Total","Second quintile 21-40%",2.1,1.1,3.7
"2009","Other reasons","Doctor or medical specialist","Total","Third quintile 41-60%",4.3,2.8,6.5
"2009","Other reasons","Doctor or medical specialist","Total","Fourth quintile 61-80%",3.8,2.5,5.7
"2009","Other reasons","Doctor or medical specialist","Total","Top quintile 81-100%",2.7,1.6,4.3
"2009","Other reasons","Doctor or medical specialist","Females","Total",2.8,2.0,3.8
"2009","Other reasons","Doctor or medical specialist","Females","Bottom quintile 1-20%",4.4,2.5,7.7
"2009","Other reasons","Doctor or medical specialist","Females","Second quintile 21-40%",1.7,0.7,4.0
"2009","Other reasons","Doctor or medical specialist","Females","Third quintile 41-60%",3.3,1.6,6.8
"2009","Other reasons","Doctor or medical specialist","Females","Fourth quintile 61-80%",3.0,1.5,5.7
"2009","Other reasons","Doctor or medical specialist","Females","Top quintile 81-100%",1.5,0.5,3.8
"2009","Other reasons","Doctor or medical specialist","Males","Total",4.3,3.3,5.5
"2009","Other reasons","Doctor or medical specialist","Males","Bottom quintile 1-20%",5.3,3.1,9.0
"2009","Other reasons","Doctor or medical specialist","Males","Second quintile 21-40%",2.5,1.1,5.5
"2009","Other reasons","Doctor or medical specialist","Males","Third quintile 41-60%",5.2,3.1,8.5
"2009","Other reasons","Doctor or medical specialist","Males","Fourth quintile 61-80%",4.6,2.7,7.9
"2009","Other reasons","Doctor or medical specialist","Males","Top quintile 81-100%",3.6,2.0,6.2
"2010","Total","Dentist","Total","Total",7.1,6.2,8.1
"2010","Total","Dentist","Total","Bottom quintile 1-20%",10.9,8.5,13.9
"2010","Total","Dentist","Total","Second quintile 21-40%",7.1,5.2,9.5
"2010","Total","Dentist","Total","Third quintile 41-60%",5.2,3.6,7.4
