Degree,Year,field,Total,Males,Females
Total,2005,Physical science,314,178,136
Total,2005,Mathematics and statistics,85,62,23
Total,2005,Computing,485,413,72
Total,2005,"Science, not specified",1,1,0
Total,2005,Engineering and engineering trades,728,548,180
Total,2005,Manufacturing and processing,32,11,21
Total,2005,Architecture and building,390,223,167
Total,2005,"Certified trades, not specified",0,0,0
Total,2005,"Agriculture, forestry and fishery",80,46,34
Total,2005,Veterinary,0,0,0
Total,2005,Health,1653,238,1415
Total,2005,Social services,302,21,281
Total,2005,Personal services,289,58,231
Total,2005,Transport services,6,4,2
Total,2005,Environmental protection,13,5,8
Total,2005,Security services,0,0,0
Total,2005,Unknown,0,0,0
Total,2006,Total,15848,5676,10172
Total,2006,"Basic/broad, general programmes",0,0,0
Total,2006,Literacy and numeracy,0,0,0
Total,2006,Personal skills,0,0,0
Total,2006,Teacher training and educational science,2645,435,2210
Total,2006,Arts,453,153,300
Total,2006,Humanities,1853,635,1218
Total,2006,Social and behavioural science,2069,719,1350
Total,2006,Journalism and information,180,41,139
Total,2006,Business and administration,2643,1157,1486
Total,2006,Law,1197,530,667
Total,2006,Life science,395,140,255
Total,2006,Physical science,323,178,145
Total,2006,Mathematics and statistics,85,69,16
Total,2006,Computing,452,390,62
Total,2006,"Science, not specified",0,0,0
Total,2006,Engineering and engineering trades,803,584,219
Total,2006,Manufacturing and processing,37,11,26
Total,2006,Architecture and building,373,230,143
Total,2006,"Certified trades, not specified",0,0,0
Total,2006,"Agriculture, forestry and fishery",93,50,43
Total,2006,Veterinary,0,0,0
Total,2006,Health,1659,280,1379
Total,2006,Social services,345,20,325
Total,2006,Personal services,230,50,180
Total,2006,Transport services,0,0,0
Total,2006,Environmental protection,13,4,9
Total,2006,Security services,0,0,0
Total,2006,Unknown,0,0,0
Total,2007,Total,16658,5919,10739
Total,2007,"Basic/broad, general programmes",0,0,0
Total,2007,Literacy and numeracy,0,0,0
Total,2007,Personal skills,0,0,0
Total,2007,Teacher training and educational science,2850,478,2372
Total,2007,Arts,482,157,325
Total,2007,Humanities,1893,620,1273
Total,2007,Social and behavioural science,2098,717,1381
Total,2007,Journalism and information,169,30,139
Total,2007,Business and administration,2819,1213,1606
Total,2007,Law,1193,524,669
Total,2007,Life science,410,143,267
Total,2007,Physical science,296,179,117
Total,2007,Mathematics and statistics,87,66,21
Total,2007,Computing,474,396,78
Total,2007,"Science, not specified",0,0,0
Total,2007,Engineering and engineering trades,935,672,263
Total,2007,Manufacturing and processing,41,10,31
Total,2007,Architecture and building,445,271,174
Total,2007,"Certified trades, not specified",0,0,0
Total,2007,"Agriculture, forestry and fishery",115,52,63
Total,2007,Veterinary,0,0,0
Total,2007,Health,1704,296,1408
Total,2007,Social services,394,35,359
Total,2007,Personal services,235,53,182
Total,2007,Transport services,4,3,1
Total,2007,Environmental protection,14,4,10
Total,2007,Security services,0,0,0
Total,2007,Unknown,0,0,0
Total,2008,Total,16944,6053,10891
Total,2008,"Basic/broad, general programmes",0,0,0
Total,2008,Literacy and numeracy,0,0,0
Total,2008,Personal skills,0,0,0
Total,2008,Teacher training and educational science,2753,447,2306
Total,2008,Arts,548,174,374
Total,2008,Humanities,1753,592,1161
Total,2008,Social and behavioural science,2061,726,1335
Total,2008,Journalism and information,164,29,135
Total,2008,Business and administration,3096,1272,1824
Total,2008,Law,1281,560,721
Total,2008,Life science,363,125,238
Total,2008,Physical science,305,186,119
Total,2008,Mathematics and statistics,102,67,35
Total,2008,Computing,491,418,73
Total,2008,"Science, not specified",0,0,0
Total,2008,Engineering and engineering trades,1055,717,338
Total,2008,Manufacturing and processing,26,6,20
Total,2008,Architecture and building,478,310,168
Total,2008,"Certified trades, not specified",0,0,0
Total,2008,"Agriculture, forestry and fishery",91,37,54
Total,2008,Veterinary,0,0,0
Total,2008,Health,1747,288,1459
Total,2008,Social services,391,31,360
Total,2008,Personal services,229,65,164
Total,2008,Transport services,0,0,0
Total,2008,Environmental protection,10,3,7
Total,2008,Security services,0,0,0
Total,2008,Unknown,0,0,0
Total,2009,Total,18067,6602,11465
Total,2009,"Basic/broad, general programmes",0,0,0
Total,2009,Literacy and numeracy,0,0,0
Total,2009,Personal skills,0,0,0
Total,2009,Teacher training and educational science,2819,519,2300
Total,2009,Arts,584,191,393
Total,2009,Humanities,2071,733,1338
Total,2009,Social and behavioural science,2341,839,1502
Total,2009,Journalism and information,173,43,130
Total,2009,Business and administration,2757,1193,1564
Total,2009,Law,1390,615,775
Total,2009,Life science,515,199,316
Total,2009,Physical science,346,207,139
Total,2009,Mathematics and statistics,104,69,35
Total,2009,Computing,497,427,70
Total,2009,"Science, not specified",0,0,0
Total,2009,Engineering and engineering trades,1133,781,352
Total,2009,Manufacturing and processing,21,6,15
Total,2009,Architecture and building,517,323,194
Total,2009,"Certified trades, not specified",0,0,0
Total,2009,"Agriculture, forestry and fishery",112,41,71
Total,2009,Veterinary,0,0,0
Total,2009,Health,1874,281,1593
Total,2009,Social services,500,37,463
Total,2009,Personal services,295,90,205
Total,2009,Transport services,6,5,1
Total,2009,Environmental protection,12,3,9
Total,2009,Security services,0,0,0
Total,2009,Unknown,0,0,0
Total,2010,Total,18846,7119,11727
Total,2010,"Basic/broad, general programmes",0,0,0
Total,2010,Literacy and numeracy,0,0,0
Total,2010,Personal skills,0,0,0
Total,2010,Teacher training and educational science,2773,565,2208
Total,2010,Arts,640,223,417
Total,2010,Humanities,2143,799,1344
Total,2010,Social and behavioural science,2581,879,1702
Total,2010,Journalism and information,174,45,129
Total,2010,Business and administration,2668,1179,1489
Total,2010,Law,1373,637,736
Total,2010,Life science,592,244,348
Total,2010,Physical science,444,275,169
Total,2010,Mathematics and statistics,88,61,27
Total,2010,Computing,552,483,69
Total,2010,"Science, not specified",0,0,0
Total,2010,Engineering and engineering trades,1240,893,347
Total,2010,Manufacturing and processing,25,9,16
Total,2010,Architecture and building,481,310,171
Total,2010,"Certified trades, not specified",0,0,0
Total,2010,"Agriculture, forestry and fishery",155,57,98
Total,2010,Veterinary,0,0,0
Total,2010,Health,1962,297,1665
Total,2010,Social services,548,43,505
Total,2010,Personal services,386,108,278
Total,2010,Transport services,9,9,0
Total,2010,Environmental protection,12,3,9
Total,2010,Security services,0,0,0
Total,2010,Unknown,0,0,0
Total,2011,Total,19156,7188,11968
Total,2011,"Basic/broad, general programmes",0,0,0
Total,2011,Literacy and numeracy,0,0,0
Total,2011,Personal skills,0,0,0
Total,2011,Teacher training and educational science,2272,449,1823
Total,2011,Arts,624,224,400
Total,2011,Humanities,2396,878,1518
Total,2011,Social and behavioural science,2756,901,1855
Total,2011,Journalism and information,184,53,131
Total,2011,Business and administration,2730,1205,1525
Total,2011,Law,1396,620,776
Total,2011,Life science,618,243,375
Total,2011,Physical science,495,293,202
Total,2011,Mathematics and statistics,80,53,27
Total,2011,Computing,671,571,100
Total,2011,"Science, not specified",0,0,0
Total,2011,Engineering and engineering trades,1164,833,331
Total,2011,Manufacturing and processing,19,8,11
Total,2011,Architecture and building,429,262,167
Total,2011,"Certified trades, not specified",0,0,0
Total,2011,"Agriculture, forestry and fishery",196,87,109
Total,2011,Veterinary,0,0,0
Total,2011,Health,2048,313,1735
Total,2011,Social services,606,44,562
Total,2011,Personal services,455,138,317
Total,2011,Transport services,6,6,0
Total,2011,Environmental protection,11,7,4
Total,2011,Security services,0,0,0
Total,2011,Unknown,0,0,0
Total,2012,Total,19127,7230,11897
Total,2012,"Basic/broad, general programmes",0,0,0
Total,2012,Literacy and numeracy,0,0,0
Total,2012,Personal skills,0,0,0
Total,2012,Teacher training and educational science,2283,473,1810
Total,2012,Arts,648,238,410
Total,2012,Humanities,2237,768,1469
Total,2012,Social and behavioural science,2682,862,1820
Total,2012,Journalism and information,198,58,140
Total,2012,Business and administration,2737,1195,1542
Total,2012,Law,1360,620,740
Total,2012,Life science,596,218,378
Total,2012,Physical science,482,280,202
Total,2012,Mathematics and statistics,75,54,21
Total,2012,Computing,845,701,144
Total,2012,"Science, not specified",1,0,1
Total,2012,Engineering and engineering trades,1238,893,345
Total,2012,Manufacturing and processing,46,20,26
Total,2012,Architecture and building,371,228,143
Total,2012,"Certified trades, not specified",0,0,0
Total,2012,"Agriculture, forestry and fishery",207,102,105
Total,2012,Veterinary,0,0,0
Total,2012,Health,2088,327,1761
Total,2012,Social services,555,40,515
Total,2012,Personal services,462,142,320
Total,2012,Transport services,9,7,2
Total,2012,Environmental protection,7,4,3
Total,2012,Security services,0,0,0
Total,2012,Unknown,0,0,0
Total,2013,Total,19893,7478,12415
Total,2013,"Basic/broad, general programmes",0,0,0
Total,2013,Literacy and numeracy,0,0,0
Total,2013,Personal skills,0,0,0
Total,2013,Teacher training and educational science,2302,490,1812
Total,2013,Arts,583,199,384
Total,2013,Humanities,2213,743,1470
Total,2013,Social and behavioural science,2802,855,1947
Total,2013,Journalism and information,178,48,130
Total,2013,Business and administration,2912,1269,1643
Total,2013,Law,1335,596,739
Total,2013,Life science,567,185,382
Total,2013,Physical science,492,288,204
Total,2013,Mathematics and statistics,76,56,20
Total,2013,Computing,1116,901,215
Total,2013,"Science, not specified",0,0,0
Total,2013,Engineering and engineering trades,1383,971,412
Total,2013,Manufacturing and processing,56,17,39
Total,2013,Architecture and building,358,212,146
Total,2013,"Certified trades, not specified",0,0,0
Total,2013,"Agriculture, forestry and fishery",211,108,103
Total,2013,Veterinary,0,0,0
Total,2013,Health,2198,324,1874
Total,2013,Social services,558,44,514
Total,2013,Personal services,533,162,371
Total,2013,Transport services,10,8,2
Total,2013,Environmental protection,10,2,8
Total,2013,Security services,0,0,0
Total,2013,Unknown,0,0,0
Total,2014,Total,18967,7035,11932
Total,2014,"Basic/broad, general programmes",0,0,0
Total,2014,Literacy and numeracy,0,0,0
Total,2014,Personal skills,0,0,0
Total,2014,Teacher training and educational science,2191,458,1733
Total,2014,Arts,576,198,378
Total,2014,Humanities,1963,655,1308
Total,2014,Social and behavioural science,2654,774,1880
Total,2014,Journalism and information,190,46,144
Total,2014,Business and administration,2980,1220,1760
Total,2014,Law,1128,513,615
Total,2014,Life science,485,168,317
Total,2014,Physical science,436,240,196
Total,2014,Mathematics and statistics,74,50,24
Total,2014,Computing,1217,966,251
Total,2014,"Science, not specified",0,0,0
Total,2014,Engineering and engineering trades,1345,904,441
Total,2014,Manufacturing and processing,61,21,40
Total,2014,Architecture and building,336,196,140
Total,2014,"Certified trades, not specified",0,0,0
Total,2014,"Agriculture, forestry and fishery",219,102,117
Total,2014,Veterinary,0,0,0
Total,2014,Health,2098,329,1769
Total,2014,Social services,474,35,439
Total,2014,Personal services,527,150,377
Total,2014,Transport services,8,8,0
Total,2014,Environmental protection,5,2,3
Total,2014,Security services,0,0,0
Total,2014,Unknown,0,0,0
Total,2015,Total,18640,6755,11885
Total,2015,"Basic/broad, general programmes",0,0,0
Total,2015,Literacy and numeracy,0,0,0
Total,2015,Personal skills,0,0,0
Total,2015,Teacher training and educational science,2261,432,1829
Total,2015,Arts,551,187,364
Total,2015,Humanities,1854,648,1206
Total,2015,Social and behavioural science,2598,741,1857
Total,2015,Journalism and information,221,61,160
Total,2015,Business and administration,2955,1206,1749
Total,2015,Law,1050,467,583
Total,2015,Life science,490,168,322
Total,2015,Physical science,365,218,147
Total,2015,Mathematics and statistics,105,71,34
Total,2015,Computing,1215,937,278
Total,2015,"Science, not specified",0,0,0
Total,2015,Engineering and engineering trades,1244,817,427
Total,2015,Manufacturing and processing,53,18,35
Total,2015,Architecture and building,276,155,121
Total,2015,"Certified trades, not specified",0,0,0
Total,2015,"Agriculture, forestry and fishery",233,106,127
Total,2015,Veterinary,0,0,0
Total,2015,Health,2136,356,1780
Total,2015,Social services,508,29,479
Total,2015,Personal services,512,131,381
Total,2015,Transport services,8,5,3
Total,2015,Environmental protection,5,2,3
Total,2015,Security services,0,0,0
Total,2015,Unknown,0,0,0
Total,2016,Total,18051,6563,11488
Total,2016,"Basic/broad, general programmes",0,0,0
Total,2016,Literacy and numeracy,0,0,0
Total,2016,Personal skills,0,0,0
Total,2016,Teacher training and educational science,2177,442,1735
Total,2016,Arts,539,195,344
Total,2016,Humanities,1817,664,1153
Total,2016,Social and behavioural science,2338,643,1695
Total,2016,Journalism and information,234,67,167
Total,2016,Business and administration,2783,1127,1656
Total,2016,Law,929,398,531
Total,2016,Life science,472,166,306
Total,2016,Physical science,356,202,154
Total,2016,Mathematics and statistics,129,88,41
Total,2016,Computing,1184,893,291
Total,2016,"Science, not specified",0,0,0
Total,2016,Engineering and engineering trades,1277,830,447
Total,2016,Manufacturing and processing,46,15,31
Total,2016,Architecture and building,278,148,130
Total,2016,"Certified trades, not specified",0,0,0
Total,2016,"Agriculture, forestry and fishery",221,97,124
Total,2016,Veterinary,0,0,0
Total,2016,Health,2200,365,1835
Total,2016,Social services,445,37,408
Total,2016,Personal services,501,122,379
Total,2016,Transport services,1,1,0
Total,2016,Environmental protection,6,1,5
Total,2016,Security services,118,62,56
Total,2016,Unknown,0,0,0
Total,2017,Total,17914,6536,11378
Total,2017,"Basic/broad, general programmes",0,0,0
Total,2017,Literacy and numeracy,0,0,0
Total,2017,Personal skills,0,0,0
Total,2017,Teacher training and educational science,2222,449,1773
Total,2017,Arts,491,177,314
Total,2017,Humanities,1734,650,1084
Total,2017,Social and behavioural science,2426,675,1751
Total,2017,Journalism and information,209,68,141
Total,2017,Business and administration,2701,1103,1598
Total,2017,Law,876,359,517
Total,2017,Life science,481,181,300
Total,2017,Physical science,339,170,169
Total,2017,Mathematics and statistics,138,89,49
Total,2017,Computing,1122,848,274
Total,2017,"Science, not specified",0,0,0
Total,2017,Engineering and engineering trades,1310,851,459
Total,2017,Manufacturing and processing,53,12,41
Total,2017,Architecture and building,268,156,112
Total,2017,"Certified trades, not specified",0,0,0
Total,2017,"Agriculture, forestry and fishery",216,91,125
Total,2017,Veterinary,0,0,0
Total,2017,Health,2257,375,1882
Total,2017,Social services,400,33,367
Total,2017,Personal services,445,133,312
Total,2017,Transport services,0,0,0
Total,2017,Environmental protection,5,2,3
Total,2017,Security services,221,114,107
Total,2017,Unknown,0,0,0
Total,2018,Total,18346,6472,11874
Total,2018,"Basic/broad, general programmes",0,0,0
Total,2018,Literacy and numeracy,0,0,0
Total,2018,Personal skills,0,0,0
Total,2018,Teacher training and educational science,2427,459,1968
Total,2018,Arts,470,163,307
Total,2018,Humanities,1802,629,1173
Total,2018,Social and behavioural science,2576,742,1834
Total,2018,Journalism and information,219,71,148
Total,2018,Business and administration,2644,1031,1613
Total,2018,Law,895,367,528
Total,2018,Life science,473,161,312
Total,2018,Physical science,348,189,159
Total,2018,Mathematics and statistics,135,86,49
Total,2018,Computing,1086,818,268
Total,2018,"Science, not specified",0,0,0
Total,2018,Engineering and engineering trades,1323,835,488
Total,2018,Manufacturing and processing,57,20,37
Total,2018,Architecture and building,290,153,137
Total,2018,"Certified trades, not specified",0,0,0
Total,2018,"Agriculture, forestry and fishery",213,93,120
Total,2018,Veterinary,0,0,0
Total,2018,Health,2333,385,1948
Total,2018,Social services,384,30,354
Total,2018,Personal services,360,103,257
Total,2018,Transport services,2,1,1
Total,2018,Environmental protection,7,4,3
Total,2018,Security services,302,132,170
Total,2018,Unknown,0,0,0
Total,2019,Total,19238,6707,12531
Total,2019,"Basic/broad, general programmes",0,0,0
Total,2019,Literacy and numeracy,0,0,0
Total,2019,Personal skills,0,0,0
Total,2019,Teacher training and educational science,2829,616,2213
Total,2019,Arts,486,181,305
Total,2019,Humanities,1765,631,1134
Total,2019,Social and behavioural science,2792,827,1965
Total,2019,Journalism and information,207,61,146
Total,2019,Business and administration,2669,1048,1621
Total,2019,Law,886,348,538
Total,2019,Life science,510,170,340
Total,2019,Physical science,324,160,164
Total,2019,Mathematics and statistics,125,82,43
Total,2019,Computing,1042,779,263
Total,2019,"Science, not specified",0,0,0
Total,2019,Engineering and engineering trades,1350,913,437
Total,2019,Manufacturing and processing,53,16,37
Total,2019,Architecture and building,332,159,173
Total,2019,"Certified trades, not specified",0,0,0
Total,2019,"Agriculture, forestry and fishery",210,76,134
Total,2019,Veterinary,0,0,0
Total,2019,Health,2612,379,2233
Total,2019,Social services,414,25,389
Total,2019,Personal services,293,83,210
Total,2019,Transport services,6,4,2
Total,2019,Environmental protection,3,1,2
Total,2019,Security services,330,148,182
Total,2019,Unknown,0,0,0
Associate & diploma degree,1997,Total,0,0,0
Associate & diploma degree,1997,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,1997,Literacy and numeracy,0,0,0
Associate & diploma degree,1997,Personal skills,0,0,0
Associate & diploma degree,1997,Teacher training and educational science,0,0,0
Associate & diploma degree,1997,Arts,0,0,0
Associate & diploma degree,1997,Humanities,0,0,0
Associate & diploma degree,1997,Social and behavioural science,0,0,0
Associate & diploma degree,1997,Journalism and information,0,0,0
Associate & diploma degree,1997,Business and administration,0,0,0
Associate & diploma degree,1997,Law,0,0,0
Associate & diploma degree,1997,Life science,0,0,0
Associate & diploma degree,1997,Physical science,0,0,0
Associate & diploma degree,1997,Mathematics and statistics,0,0,0
Associate & diploma degree,1997,Computing,0,0,0
Associate & diploma degree,1997,"Science, not specified",0,0,0
Associate & diploma degree,1997,Engineering and engineering trades,0,0,0
Associate & diploma degree,1997,Manufacturing and processing,0,0,0
Associate & diploma degree,1997,Architecture and building,0,0,0
Associate & diploma degree,1997,"Certified trades, not specified",0,0,0
Associate & diploma degree,1997,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,1997,Veterinary,0,0,0
Associate & diploma degree,1997,Health,0,0,0
Associate & diploma degree,1997,Social services,0,0,0
Associate & diploma degree,1997,Personal services,0,0,0
Associate & diploma degree,1997,Transport services,0,0,0
Associate & diploma degree,1997,Environmental protection,0,0,0
Associate & diploma degree,1997,Security services,0,0,0
Associate & diploma degree,1997,Unknown,0,0,0
Associate & diploma degree,1998,Total,0,0,0
Associate & diploma degree,1998,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,1998,Literacy and numeracy,0,0,0
Associate & diploma degree,1998,Personal skills,0,0,0
Associate & diploma degree,1998,Teacher training and educational science,0,0,0
Associate & diploma degree,1998,Arts,0,0,0
Associate & diploma degree,1998,Humanities,0,0,0
Associate & diploma degree,1998,Social and behavioural science,0,0,0
Associate & diploma degree,1998,Journalism and information,0,0,0
Associate & diploma degree,1998,Business and administration,0,0,0
