Sex,age_region,Education,Year,Percent
Males,25 to 64 years,Basic education,2003,0.278
Males,25 to 64 years,Upper secondary education,2003,0.461
Males,25 to 64 years,Tertiary education,2003,0.254
Males,25 to 64 years,Education unknown,2003,0.007
Males,20 to 24 years,Basic education,2003,0.459
Males,20 to 24 years,Upper secondary education,2003,0.495
Males,20 to 24 years,Tertiary education,2003,0.042
Males,20 to 24 years,Education unknown,2003,0.004
Males,25 to 29 years,Basic education,2003,0.337
Males,25 to 29 years,Upper secondary education,2003,0.422
Males,25 to 29 years,Tertiary education,2003,0.239
Males,25 to 29 years,Education unknown,2003,0.002
Males,30 to 49 years,Basic education,2003,0.267
Males,30 to 49 years,Upper secondary education,2003,0.451
Males,30 to 49 years,Tertiary education,2003,0.278
Males,30 to 49 years,Education unknown,2003,0.004
Males,50 to 64 years,Basic education,2003,0.273
Males,50 to 64 years,Upper secondary education,2003,0.497
Males,50 to 64 years,Tertiary education,2003,0.215
Males,50 to 64 years,Education unknown,2003,0.015
Males,65 to 74 years,Basic education,2003,0.33
Males,65 to 74 years,Upper secondary education,2003,0.512
Males,65 to 74 years,Tertiary education,2003,0.142
Males,65 to 74 years,Education unknown,2003,0.016
Males,Capital region 16-74 years,Basic education,2003,0.296
Males,Capital region 16-74 years,Upper secondary education,2003,0.439
Males,Capital region 16-74 years,Tertiary education,2003,0.256
Males,Capital region 16-74 years,Education unknown,2003,0.009
Males,Other regions 16-74 years,Basic education,2003,0.456
Males,Other regions 16-74 years,Upper secondary education,2003,0.435
Males,Other regions 16-74 years,Tertiary education,2003,0.107
Males,Other regions 16-74 years,Education unknown,2003,0.003
Males,Capital region 25-64 years,Basic education,2003,0.224
Males,Capital region 25-64 years,Upper secondary education,2003,0.447
Males,Capital region 25-64 years,Tertiary education,2003,0.321
Males,Capital region 25-64 years,Education unknown,2003,0.008
Males,Other regions 25-64 years,Basic education,2003,0.372
Males,Other regions 25-64 years,Upper secondary education,2003,0.485
Males,Other regions 25-64 years,Tertiary education,2003,0.139
Males,Other regions 25-64 years,Education unknown,2003,0.004
Females,25 to 64 years,Basic education,2003,0.404
Females,25 to 64 years,Upper secondary education,2003,0.291
Females,25 to 64 years,Tertiary education,2003,0.3
Females,25 to 64 years,Education unknown,2003,0.005
Females,20 to 24 years,Basic education,2003,0.408
Females,20 to 24 years,Upper secondary education,2003,0.55
Females,20 to 24 years,Tertiary education,2003,0.042
Females,20 to 24 years,Education unknown,2003,0.0
Females,25 to 29 years,Basic education,2003,0.307
Females,25 to 29 years,Upper secondary education,2003,0.439
Females,25 to 29 years,Tertiary education,2003,0.253
Females,25 to 29 years,Education unknown,2003,0.0
Females,30 to 49 years,Basic education,2003,0.353
Females,30 to 49 years,Upper secondary education,2003,0.275
Females,30 to 49 years,Tertiary education,2003,0.368
Females,30 to 49 years,Education unknown,2003,0.005
Females,50 to 64 years,Basic education,2003,0.549
Females,50 to 64 years,Upper secondary education,2003,0.253
Females,50 to 64 years,Tertiary education,2003,0.191
Females,50 to 64 years,Education unknown,2003,0.007
Females,65 to 74 years,Basic education,2003,0.693
Females,65 to 74 years,Upper secondary education,2003,0.18
Females,65 to 74 years,Tertiary education,2003,0.092
Females,65 to 74 years,Education unknown,2003,0.034
Females,Capital region 16-74 years,Basic education,2003,0.4
Females,Capital region 16-74 years,Upper secondary education,2003,0.321
Females,Capital region 16-74 years,Tertiary education,2003,0.272
Females,Capital region 16-74 years,Education unknown,2003,0.007
Females,Other regions 16-74 years,Basic education,2003,0.612
Females,Other regions 16-74 years,Upper secondary education,2003,0.231
Females,Other regions 16-74 years,Tertiary education,2003,0.152
Females,Other regions 16-74 years,Education unknown,2003,0.005
Females,Capital region 25-64 years,Basic education,2003,0.321
Females,Capital region 25-64 years,Upper secondary education,2003,0.314
Females,Capital region 25-64 years,Tertiary education,2003,0.361
Females,Capital region 25-64 years,Education unknown,2003,0.005
Females,Other regions 25-64 years,Basic education,2003,0.555
Females,Other regions 25-64 years,Upper secondary education,2003,0.249
Females,Other regions 25-64 years,Tertiary education,2003,0.191
Females,Other regions 25-64 years,Education unknown,2003,0.004
Total,25 to 64 years,Basic education,2004,0.335
Total,25 to 64 years,Upper secondary education,2004,0.383
Total,25 to 64 years,Tertiary education,2004,0.278
Total,25 to 64 years,Education unknown,2004,0.004
Total,20 to 24 years,Basic education,2004,0.424
Total,20 to 24 years,Upper secondary education,2004,0.541
Total,20 to 24 years,Tertiary education,2004,0.035
Total,20 to 24 years,Education unknown,2004,0.0
Total,25 to 29 years,Basic education,2004,0.298
Total,25 to 29 years,Upper secondary education,2004,0.43
Total,25 to 29 years,Tertiary education,2004,0.267
Total,25 to 29 years,Education unknown,2004,0.006
Total,30 to 49 years,Basic education,2004,0.309
Total,30 to 49 years,Upper secondary education,2004,0.371
Total,30 to 49 years,Tertiary education,2004,0.316
Total,30 to 49 years,Education unknown,2004,0.004
Total,50 to 64 years,Basic education,2004,0.399
Total,50 to 64 years,Upper secondary education,2004,0.384
Total,50 to 64 years,Tertiary education,2004,0.213
Total,50 to 64 years,Education unknown,2004,0.004
Total,65 to 74 years,Basic education,2004,0.549
Total,65 to 74 years,Upper secondary education,2004,0.331
Total,65 to 74 years,Tertiary education,2004,0.1
Total,65 to 74 years,Education unknown,2004,0.02
Total,Capital region 16-74 years,Basic education,2004,0.347
Total,Capital region 16-74 years,Upper secondary education,2004,0.389
Total,Capital region 16-74 years,Tertiary education,2004,0.259
Total,Capital region 16-74 years,Education unknown,2004,0.005
Total,Other regions 16-74 years,Basic education,2004,0.528
Total,Other regions 16-74 years,Upper secondary education,2004,0.331
Total,Other regions 16-74 years,Tertiary education,2004,0.136
Total,Other regions 16-74 years,Education unknown,2004,0.005
Total,Capital region 25-64 years,Basic education,2004,0.267
Total,Capital region 25-64 years,Upper secondary education,2004,0.392
Total,Capital region 25-64 years,Tertiary education,2004,0.337
Total,Capital region 25-64 years,Education unknown,2004,0.003
Total,Other regions 25-64 years,Basic education,2004,0.453
Total,Other regions 25-64 years,Upper secondary education,2004,0.366
Total,Other regions 25-64 years,Tertiary education,2004,0.176
Total,Other regions 25-64 years,Education unknown,2004,0.005
Males,25 to 64 years,Basic education,2004,0.263
Males,25 to 64 years,Upper secondary education,2004,0.472
Males,25 to 64 years,Tertiary education,2004,0.26
Males,25 to 64 years,Education unknown,2004,0.005
Males,20 to 24 years,Basic education,2004,0.467
Males,20 to 24 years,Upper secondary education,2004,0.51
Males,20 to 24 years,Tertiary education,2004,0.023
Males,20 to 24 years,Education unknown,2004,0.0
Males,25 to 29 years,Basic education,2004,0.31
Males,25 to 29 years,Upper secondary education,2004,0.476
Males,25 to 29 years,Tertiary education,2004,0.203
Males,25 to 29 years,Education unknown,2004,0.012
Males,30 to 49 years,Basic education,2004,0.253
Males,30 to 49 years,Upper secondary education,2004,0.459
Males,30 to 49 years,Tertiary education,2004,0.285
Males,30 to 49 years,Education unknown,2004,0.002
Males,50 to 64 years,Basic education,2004,0.262
Males,50 to 64 years,Upper secondary education,2004,0.494
Males,50 to 64 years,Tertiary education,2004,0.238
Males,50 to 64 years,Education unknown,2004,0.007
Males,65 to 74 years,Basic education,2004,0.328
Males,65 to 74 years,Upper secondary education,2004,0.512
Males,65 to 74 years,Tertiary education,2004,0.151
Males,65 to 74 years,Education unknown,2004,0.009
Males,Capital region 16-74 years,Basic education,2004,0.282
Males,Capital region 16-74 years,Upper secondary education,2004,0.46
Males,Capital region 16-74 years,Tertiary education,2004,0.254
Males,Capital region 16-74 years,Education unknown,2004,0.005
Males,Other regions 16-74 years,Basic education,2004,0.449
Males,Other regions 16-74 years,Upper secondary education,2004,0.425
Males,Other regions 16-74 years,Tertiary education,2004,0.122
Males,Other regions 16-74 years,Education unknown,2004,0.004
Males,Capital region 25-64 years,Basic education,2004,0.198
Males,Capital region 25-64 years,Upper secondary education,2004,0.474
Males,Capital region 25-64 years,Tertiary education,2004,0.323
Males,Capital region 25-64 years,Education unknown,2004,0.005
Males,Other regions 25-64 years,Basic education,2004,0.37
Males,Other regions 25-64 years,Upper secondary education,2004,0.468
Males,Other regions 25-64 years,Tertiary education,2004,0.156
Males,Other regions 25-64 years,Education unknown,2004,0.005
Females,25 to 64 years,Basic education,2004,0.408
Females,25 to 64 years,Upper secondary education,2004,0.292
Females,25 to 64 years,Tertiary education,2004,0.296
Females,25 to 64 years,Education unknown,2004,0.003
Females,20 to 24 years,Basic education,2004,0.379
Females,20 to 24 years,Upper secondary education,2004,0.573
Females,20 to 24 years,Tertiary education,2004,0.048
Females,20 to 24 years,Education unknown,2004,0.0
Females,25 to 29 years,Basic education,2004,0.287
Females,25 to 29 years,Upper secondary education,2004,0.384
Females,25 to 29 years,Tertiary education,2004,0.329
Females,25 to 29 years,Education unknown,2004,0.0
Females,30 to 49 years,Basic education,2004,0.366
Females,30 to 49 years,Upper secondary education,2004,0.282
Females,30 to 49 years,Tertiary education,2004,0.347
Females,30 to 49 years,Education unknown,2004,0.005
Females,50 to 64 years,Basic education,2004,0.54
Females,50 to 64 years,Upper secondary education,2004,0.271
Females,50 to 64 years,Tertiary education,2004,0.187
Females,50 to 64 years,Education unknown,2004,0.002
Females,65 to 74 years,Basic education,2004,0.754
Females,65 to 74 years,Upper secondary education,2004,0.163
Females,65 to 74 years,Tertiary education,2004,0.053
Females,65 to 74 years,Education unknown,2004,0.03
Females,Capital region 16-74 years,Basic education,2004,0.41
Females,Capital region 16-74 years,Upper secondary education,2004,0.322
Females,Capital region 16-74 years,Tertiary education,2004,0.263
Females,Capital region 16-74 years,Education unknown,2004,0.005
Females,Other regions 16-74 years,Basic education,2004,0.614
Females,Other regions 16-74 years,Upper secondary education,2004,0.229
Females,Other regions 16-74 years,Tertiary education,2004,0.151
Females,Other regions 16-74 years,Education unknown,2004,0.006
Females,Capital region 25-64 years,Basic education,2004,0.335
Females,Capital region 25-64 years,Upper secondary education,2004,0.312
Females,Capital region 25-64 years,Tertiary education,2004,0.35
Females,Capital region 25-64 years,Education unknown,2004,0.002
Females,Other regions 25-64 years,Basic education,2004,0.543
Females,Other regions 25-64 years,Upper secondary education,2004,0.255
Females,Other regions 25-64 years,Tertiary education,2004,0.197
Females,Other regions 25-64 years,Education unknown,2004,0.005
Total,25 to 64 years,Basic education,2005,0.317
Total,25 to 64 years,Upper secondary education,2005,0.386
Total,25 to 64 years,Tertiary education,2005,0.293
Total,25 to 64 years,Education unknown,2005,0.004
Total,20 to 24 years,Basic education,2005,0.454
Total,20 to 24 years,Upper secondary education,2005,0.508
Total,20 to 24 years,Tertiary education,2005,0.038
Total,20 to 24 years,Education unknown,2005,0.0
Total,25 to 29 years,Basic education,2005,0.307
Total,25 to 29 years,Upper secondary education,2005,0.395
Total,25 to 29 years,Tertiary education,2005,0.296
Total,25 to 29 years,Education unknown,2005,0.003
Total,30 to 49 years,Basic education,2005,0.287
Total,30 to 49 years,Upper secondary education,2005,0.38
Total,30 to 49 years,Tertiary education,2005,0.33
Total,30 to 49 years,Education unknown,2005,0.002
Total,50 to 64 years,Basic education,2005,0.375
Total,50 to 64 years,Upper secondary education,2005,0.392
Total,50 to 64 years,Tertiary education,2005,0.227
Total,50 to 64 years,Education unknown,2005,0.007
Total,65 to 74 years,Basic education,2005,0.54
Total,65 to 74 years,Upper secondary education,2005,0.338
Total,65 to 74 years,Tertiary education,2005,0.103
Total,65 to 74 years,Education unknown,2005,0.019
Total,Capital region 16-74 years,Basic education,2005,0.34
Total,Capital region 16-74 years,Upper secondary education,2005,0.387
Total,Capital region 16-74 years,Tertiary education,2005,0.268
Total,Capital region 16-74 years,Education unknown,2005,0.005
Total,Other regions 16-74 years,Basic education,2005,0.508
Total,Other regions 16-74 years,Upper secondary education,2005,0.335
Total,Other regions 16-74 years,Tertiary education,2005,0.153
Total,Other regions 16-74 years,Education unknown,2005,0.004
Total,Capital region 25-64 years,Basic education,2005,0.252
Total,Capital region 25-64 years,Upper secondary education,2005,0.393
Total,Capital region 25-64 years,Tertiary education,2005,0.352
Total,Capital region 25-64 years,Education unknown,2005,0.004
Total,Other regions 25-64 years,Basic education,2005,0.428
Total,Other regions 25-64 years,Upper secondary education,2005,0.374
Total,Other regions 25-64 years,Tertiary education,2005,0.194
Total,Other regions 25-64 years,Education unknown,2005,0.004
Males,25 to 64 years,Basic education,2005,0.258
Males,25 to 64 years,Upper secondary education,2005,0.47
Males,25 to 64 years,Tertiary education,2005,0.267
Males,25 to 64 years,Education unknown,2005,0.005
Males,20 to 24 years,Basic education,2005,0.511
Males,20 to 24 years,Upper secondary education,2005,0.457
Males,20 to 24 years,Tertiary education,2005,0.033
Males,20 to 24 years,Education unknown,2005,0.0
Males,25 to 29 years,Basic education,2005,0.32
Males,25 to 29 years,Upper secondary education,2005,0.423
Males,25 to 29 years,Tertiary education,2005,0.252
Males,25 to 29 years,Education unknown,2005,0.005
Males,30 to 49 years,Basic education,2005,0.243
Males,30 to 49 years,Upper secondary education,2005,0.461
Males,30 to 49 years,Tertiary education,2005,0.293
Males,30 to 49 years,Education unknown,2005,0.003
Males,50 to 64 years,Basic education,2005,0.259
Males,50 to 64 years,Upper secondary education,2005,0.506
Males,50 to 64 years,Tertiary education,2005,0.227
Males,50 to 64 years,Education unknown,2005,0.008
Males,65 to 74 years,Basic education,2005,0.346
Males,65 to 74 years,Upper secondary education,2005,0.497
Males,65 to 74 years,Tertiary education,2005,0.141
Males,65 to 74 years,Education unknown,2005,0.016
Males,Capital region 16-74 years,Basic education,2005,0.291
Males,Capital region 16-74 years,Upper secondary education,2005,0.447
Males,Capital region 16-74 years,Tertiary education,2005,0.256
Males,Capital region 16-74 years,Education unknown,2005,0.005
Males,Other regions 16-74 years,Basic education,2005,0.443
Males,Other regions 16-74 years,Upper secondary education,2005,0.421
Males,Other regions 16-74 years,Tertiary education,2005,0.13
Males,Other regions 16-74 years,Education unknown,2005,0.005
Males,Capital region 25-64 years,Basic education,2005,0.198
Males,Capital region 25-64 years,Upper secondary education,2005,0.469
Males,Capital region 25-64 years,Tertiary education,2005,0.328
Males,Capital region 25-64 years,Education unknown,2005,0.005
Males,Other regions 25-64 years,Basic education,2005,0.36
Males,Other regions 25-64 years,Upper secondary education,2005,0.471
Males,Other regions 25-64 years,Tertiary education,2005,0.164
Males,Other regions 25-64 years,Education unknown,2005,0.005
Females,25 to 64 years,Basic education,2005,0.377
Females,25 to 64 years,Upper secondary education,2005,0.3
Females,25 to 64 years,Tertiary education,2005,0.321
Females,25 to 64 years,Education unknown,2005,0.002
Females,20 to 24 years,Basic education,2005,0.393
Females,20 to 24 years,Upper secondary education,2005,0.563
Females,20 to 24 years,Tertiary education,2005,0.044
Females,20 to 24 years,Education unknown,2005,0.0
Females,25 to 29 years,Basic education,2005,0.293
Females,25 to 29 years,Upper secondary education,2005,0.367
Females,25 to 29 years,Tertiary education,2005,0.34
Females,25 to 29 years,Education unknown,2005,0.0
Females,30 to 49 years,Basic education,2005,0.332
Females,30 to 49 years,Upper secondary education,2005,0.297
Females,30 to 49 years,Tertiary education,2005,0.369
Females,30 to 49 years,Education unknown,2005,0.002
Females,50 to 64 years,Basic education,2005,0.494
Females,50 to 64 years,Upper secondary education,2005,0.276
Females,50 to 64 years,Tertiary education,2005,0.226
Females,50 to 64 years,Education unknown,2005,0.005
Females,65 to 74 years,Basic education,2005,0.723
Females,65 to 74 years,Upper secondary education,2005,0.188
Females,65 to 74 years,Tertiary education,2005,0.066
Females,65 to 74 years,Education unknown,2005,0.022
Females,Capital region 16-74 years,Basic education,2005,0.389
Females,Capital region 16-74 years,Upper secondary education,2005,0.326
Females,Capital region 16-74 years,Tertiary education,2005,0.28
Females,Capital region 16-74 years,Education unknown,2005,0.004
Females,Other regions 16-74 years,Basic education,2005,0.578
Females,Other regions 16-74 years,Upper secondary education,2005,0.242
Females,Other regions 16-74 years,Tertiary education,2005,0.177
Females,Other regions 16-74 years,Education unknown,2005,0.003
Females,Capital region 25-64 years,Basic education,2005,0.307
Females,Capital region 25-64 years,Upper secondary education,2005,0.315
Females,Capital region 25-64 years,Tertiary education,2005,0.375
Females,Capital region 25-64 years,Education unknown,2005,0.003
Females,Other regions 25-64 years,Basic education,2005,0.499
Females,Other regions 25-64 years,Upper secondary education,2005,0.273
Females,Other regions 25-64 years,Tertiary education,2005,0.225
Females,Other regions 25-64 years,Education unknown,2005,0.002
Total,25 to 64 years,Basic education,2006,0.312
Total,25 to 64 years,Upper secondary education,2006,0.381
Total,25 to 64 years,Tertiary education,2006,0.303
Total,25 to 64 years,Education unknown,2006,0.004
Total,20 to 24 years,Basic education,2006,0.447
Total,20 to 24 years,Upper secondary education,2006,0.508
Total,20 to 24 years,Tertiary education,2006,0.045
Total,20 to 24 years,Education unknown,2006,0.001
Total,25 to 29 years,Basic education,2006,0.325
Total,25 to 29 years,Upper secondary education,2006,0.383
Total,25 to 29 years,Tertiary education,2006,0.292
Total,25 to 29 years,Education unknown,2006,0.0
Total,30 to 49 years,Basic education,2006,0.282
Total,30 to 49 years,Upper secondary education,2006,0.367
Total,30 to 49 years,Tertiary education,2006,0.348
Total,30 to 49 years,Education unknown,2006,0.003
Total,50 to 64 years,Basic education,2006,0.359
Total,50 to 64 years,Upper secondary education,2006,0.404
Total,50 to 64 years,Tertiary education,2006,0.229
Total,50 to 64 years,Education unknown,2006,0.008
Total,65 to 74 years,Basic education,2006,0.526
Total,65 to 74 years,Upper secondary education,2006,0.335
Total,65 to 74 years,Tertiary education,2006,0.126
Total,65 to 74 years,Education unknown,2006,0.012
Total,Capital region 16-74 years,Basic education,2006,0.334
Total,Capital region 16-74 years,Upper secondary education,2006,0.382
Total,Capital region 16-74 years,Tertiary education,2006,0.281
Total,Capital region 16-74 years,Education unknown,2006,0.004
Total,Other regions 16-74 years,Basic education,2006,0.508
Total,Other regions 16-74 years,Upper secondary education,2006,0.33
Total,Other regions 16-74 years,Tertiary education,2006,0.158
Total,Other regions 16-74 years,Education unknown,2006,0.005
Total,Capital region 25-64 years,Basic education,2006,0.239
Total,Capital region 25-64 years,Upper secondary education,2006,0.393
Total,Capital region 25-64 years,Tertiary education,2006,0.364
Total,Capital region 25-64 years,Education unknown,2006,0.004
Total,Other regions 25-64 years,Basic education,2006,0.442
Total,Other regions 25-64 years,Upper secondary education,2006,0.36
Total,Other regions 25-64 years,Tertiary education,2006,0.194
Total,Other regions 25-64 years,Education unknown,2006,0.004
Males,25 to 64 years,Basic education,2006,0.272
Males,25 to 64 years,Upper secondary education,2006,0.457
Males,25 to 64 years,Tertiary education,2006,0.267
Males,25 to 64 years,Education unknown,2006,0.004
Males,20 to 24 years,Basic education,2006,0.524
Males,20 to 24 years,Upper secondary education,2006,0.423
Males,20 to 24 years,Tertiary education,2006,0.052
Males,20 to 24 years,Education unknown,2006,0.0
Males,25 to 29 years,Basic education,2006,0.354
Males,25 to 29 years,Upper secondary education,2006,0.416
Males,25 to 29 years,Tertiary education,2006,0.23
Males,25 to 29 years,Education unknown,2006,0.0
Males,30 to 49 years,Basic education,2006,0.258
Males,30 to 49 years,Upper secondary education,2006,0.435
Males,30 to 49 years,Tertiary education,2006,0.305
Males,30 to 49 years,Education unknown,2006,0.002
Males,50 to 64 years,Basic education,2006,0.262
Males,50 to 64 years,Upper secondary education,2006,0.513
Males,50 to 64 years,Tertiary education,2006,0.216
Males,50 to 64 years,Education unknown,2006,0.01
Males,65 to 74 years,Basic education,2006,0.367
Males,65 to 74 years,Upper secondary education,2006,0.471
Males,65 to 74 years,Tertiary education,2006,0.148
Males,65 to 74 years,Education unknown,2006,0.013
Males,Capital region 16-74 years,Basic education,2006,0.302
Males,Capital region 16-74 years,Upper secondary education,2006,0.432
Males,Capital region 16-74 years,Tertiary education,2006,0.261
Males,Capital region 16-74 years,Education unknown,2006,0.004
Males,Other regions 16-74 years,Basic education,2006,0.463
Males,Other regions 16-74 years,Upper secondary education,2006,0.403
Males,Other regions 16-74 years,Tertiary education,2006,0.129
Males,Other regions 16-74 years,Education unknown,2006,0.005
Males,Capital region 25-64 years,Basic education,2006,0.205
Males,Capital region 25-64 years,Upper secondary education,2006,0.46
Males,Capital region 25-64 years,Tertiary education,2006,0.331
Males,Capital region 25-64 years,Education unknown,2006,0.004
Males,Other regions 25-64 years,Basic education,2006,0.393
Males,Other regions 25-64 years,Upper secondary education,2006,0.45
Males,Other regions 25-64 years,Tertiary education,2006,0.153
Males,Other regions 25-64 years,Education unknown,2006,0.004
Females,25 to 64 years,Basic education,2006,0.355
Females,25 to 64 years,Upper secondary education,2006,0.3
Females,25 to 64 years,Tertiary education,2006,0.342
Females,25 to 64 years,Education unknown,2006,0.004
Females,20 to 24 years,Basic education,2006,0.36
Females,20 to 24 years,Upper secondary education,2006,0.602
Females,20 to 24 years,Tertiary education,2006,0.036
Females,20 to 24 years,Education unknown,2006,0.002
Females,25 to 29 years,Basic education,2006,0.295
Females,25 to 29 years,Upper secondary education,2006,0.346
Females,25 to 29 years,Tertiary education,2006,0.359
Females,25 to 29 years,Education unknown,2006,0.0
Females,30 to 49 years,Basic education,2006,0.307
Females,30 to 49 years,Upper secondary education,2006,0.295
Females,30 to 49 years,Tertiary education,2006,0.394
Females,30 to 49 years,Education unknown,2006,0.003
Females,50 to 64 years,Basic education,2006,0.462
Females,50 to 64 years,Upper secondary education,2006,0.29
Females,50 to 64 years,Tertiary education,2006,0.242
Females,50 to 64 years,Education unknown,2006,0.005
Females,65 to 74 years,Basic education,2006,0.674
Females,65 to 74 years,Upper secondary education,2006,0.21
Females,65 to 74 years,Tertiary education,2006,0.106
Females,65 to 74 years,Education unknown,2006,0.011
Females,Capital region 16-74 years,Basic education,2006,0.366
Females,Capital region 16-74 years,Upper secondary education,2006,0.33
Females,Capital region 16-74 years,Tertiary education,2006,0.301
Females,Capital region 16-74 years,Education unknown,2006,0.003
Females,Other regions 16-74 years,Basic education,2006,0.556
Females,Other regions 16-74 years,Upper secondary education,2006,0.249
Females,Other regions 16-74 years,Tertiary education,2006,0.19
Females,Other regions 16-74 years,Education unknown,2006,0.005
Females,Capital region 25-64 years,Basic education,2006,0.276
Females,Capital region 25-64 years,Upper secondary education,2006,0.321
Females,Capital region 25-64 years,Tertiary education,2006,0.4
Females,Capital region 25-64 years,Education unknown,2006,0.003
Females,Other regions 25-64 years,Basic education,2006,0.495
Females,Other regions 25-64 years,Upper secondary education,2006,0.263
Females,Other regions 25-64 years,Tertiary education,2006,0.238
Females,Other regions 25-64 years,Education unknown,2006,0.004
Total,25 to 64 years,Basic education,2007,0.308
Total,25 to 64 years,Upper secondary education,2007,0.382
Total,25 to 64 years,Tertiary education,2007,0.307
Total,25 to 64 years,Education unknown,2007,0.003
Total,20 to 24 years,Basic education,2007,0.431
Total,20 to 24 years,Upper secondary education,2007,0.539
Total,20 to 24 years,Tertiary education,2007,0.03
Total,20 to 24 years,Education unknown,2007,0.0
Total,25 to 29 years,Basic education,2007,0.312
Total,25 to 29 years,Upper secondary education,2007,0.401
Total,25 to 29 years,Tertiary education,2007,0.286
Total,25 to 29 years,Education unknown,2007,0.001
Total,30 to 49 years,Basic education,2007,0.28
Total,30 to 49 years,Upper secondary education,2007,0.367
Total,30 to 49 years,Tertiary education,2007,0.35
Total,30 to 49 years,Education unknown,2007,0.003
Total,50 to 64 years,Basic education,2007,0.352
Total,50 to 64 years,Upper secondary education,2007,0.4
Total,50 to 64 years,Tertiary education,2007,0.242
Total,50 to 64 years,Education unknown,2007,0.006
Total,65 to 74 years,Basic education,2007,0.494
Total,65 to 74 years,Upper secondary education,2007,0.346
Total,65 to 74 years,Tertiary education,2007,0.144
Total,65 to 74 years,Education unknown,2007,0.015
Total,Capital region 16-74 years,Basic education,2007,0.323
Total,Capital region 16-74 years,Upper secondary education,2007,0.382
Total,Capital region 16-74 years,Tertiary education,2007,0.292
Total,Capital region 16-74 years,Education unknown,2007,0.003
Total,Other regions 16-74 years,Basic education,2007,0.514
Total,Other regions 16-74 years,Upper secondary education,2007,0.337
Total,Other regions 16-74 years,Tertiary education,2007,0.144
Total,Other regions 16-74 years,Education unknown,2007,0.005
Total,Capital region 25-64 years,Basic education,2007,0.232
Total,Capital region 25-64 years,Upper secondary education,2007,0.391
Total,Capital region 25-64 years,Tertiary education,2007,0.375
Total,Capital region 25-64 years,Education unknown,2007,0.003
Total,Other regions 25-64 years,Basic education,2007,0.447
Total,Other regions 25-64 years,Upper secondary education,2007,0.367
Total,Other regions 25-64 years,Tertiary education,2007,0.182
Total,Other regions 25-64 years,Education unknown,2007,0.004
Males,25 to 64 years,Basic education,2007,0.271
Males,25 to 64 years,Upper secondary education,2007,0.446
Males,25 to 64 years,Tertiary education,2007,0.28
Males,25 to 64 years,Education unknown,2007,0.003
Males,20 to 24 years,Basic education,2007,0.488
Males,20 to 24 years,Upper secondary education,2007,0.485
Males,20 to 24 years,Tertiary education,2007,0.027
Males,20 to 24 years,Education unknown,2007,0.0
Males,25 to 29 years,Basic education,2007,0.341
Males,25 to 29 years,Upper secondary education,2007,0.442
Males,25 to 29 years,Tertiary education,2007,0.217
Males,25 to 29 years,Education unknown,2007,0.0
Males,30 to 49 years,Basic education,2007,0.26
Males,30 to 49 years,Upper secondary education,2007,0.421
Males,30 to 49 years,Tertiary education,2007,0.316
Males,30 to 49 years,Education unknown,2007,0.002
Males,50 to 64 years,Basic education,2007,0.257
Males,50 to 64 years,Upper secondary education,2007,0.492
Males,50 to 64 years,Tertiary education,2007,0.245
Males,50 to 64 years,Education unknown,2007,0.006
Males,65 to 74 years,Basic education,2007,0.325
Males,65 to 74 years,Upper secondary education,2007,0.482
Males,65 to 74 years,Tertiary education,2007,0.172
Males,65 to 74 years,Education unknown,2007,0.021
