"Citizenship","2002M01","2002M02","2002M03","2002M04","2002M05","2002M06","2002M07","2002M08","2002M09","2002M10","2002M11","2002M12","2003M01","2003M02","2003M03","2003M04","2003M05","2003M06","2003M07","2003M08","2003M09","2003M10","2003M11","2003M12","2004M01","2004M02","2004M03","2004M04","2004M05","2004M06","2004M07","2004M08","2004M09","2004M10","2004M11","2004M12","2005M01","2005M02","2005M03","2005M04","2005M05","2005M06","2005M07","2005M08","2005M09","2005M10","2005M11","2005M12","2006M01","2006M02","2006M03","2006M04","2006M05","2006M06","2006M07","2006M08","2006M09","2006M10","2006M11","2006M12","2007M01","2007M02","2007M03","2007M04","2007M05","2007M06","2007M07","2007M08","2007M09","2007M10","2007M11","2007M12","2008M01","2008M02","2008M03","2008M04","2008M05","2008M06","2008M07","2008M08","2008M09","2008M10","2008M11","2008M12","2009M01","2009M02","2009M03","2009M04","2009M05","2009M06","2009M07","2009M08","2009M09","2009M10","2009M11","2009M12","2010M01","2010M02","2010M03","2010M04","2010M05","2010M06","2010M07","2010M08","2010M09","2010M10","2010M11","2010M12","2011M01","2011M02","2011M03","2011M04","2011M05","2011M06","2011M07","2011M08","2011M09","2011M10","2011M11","2011M12","2012M01","2012M02","2012M03","2012M04","2012M05","2012M06","2012M07","2012M08","2012M09","2012M10","2012M11","2012M12","2013M01","2013M02","2013M03","2013M04","2013M05","2013M06","2013M07","2013M08","2013M09","2013M10","2013M11","2013M12","2014M01","2014M02","2014M03","2014M04","2014M05","2014M06","2014M07","2014M08","2014M09","2014M10","2014M11","2014M12","2015M01","2015M02","2015M03","2015M04","2015M05","2015M06","2015M07","2015M08","2015M09","2015M10","2015M11","2015M12","2016M01","2016M02","2016M03","2016M04","2016M05","2016M06","2016M07","2016M08","2016M09","2016M10","2016M11","2016M12","2017M01","2017M02","2017M03","2017M04","2017M05","2017M06","2017M07","2017M08","2017M09","2017M10","2017M11","2017M12","2018M01","2018M02","2018M03","2018M04","2018M05","2018M06","2018M07","2018M08","2018M09","2018M10","2018M11","2018M12","2019M01","2019M02","2019M03","2019M04","2019M05","2019M06","2019M07","2019M08","2019M09","2019M10","2019M11","2019M12","2020M01","2020M02","2020M03","2020M04","2020M05","2020M06","2020M07"
"Finland",..,..,414,643,523,842,724,882,676,465,296,212,194,290,545,702,736,644,845,925,715,951,270,153,295,285,452,512,704,1139,1195,918,813,550,383,214,153,233,326,536,811,1038,1556,1256,848,1203,221,192,221,250,309,535,960,1132,1423,1181,1117,923,293,191,332,305,286,534,1077,1498,1700,1287,1085,1028,456,287,288,586,711,804,1142,1528,1506,1230,1204,995,468,335,316,322,421,644,1376,1617,2159,1824,1077,1163,399,248,275,268,530,926,842,1459,1769,1762,1004,1053,618,506,443,228,339,937,1248,1467,2318,2026,1395,779,383,468,416,238,725,1093,1381,1969,2198,1542,1792,935,758,637,347,387,756,1416,1481,1898,1786,1731,1577,1198,578,644,351,347,783,1382,1922,2086,2433,1728,1692,1357,736,598,482,624,803,1342,1933,2102,1937,1947,1831,1658,781,581,498,551,1125,1300,2595,2576,2578,1933,2150,2897,905,787,666,652,1123,2537,3097,3602,3326,2518,2417,2306,913,911,793,991,1175,2324,2796,2641,2691,1927,1892,1827,1030,880,866,894,1181,2203,2489,2681,2645,2127,1897,1553,1108,1025,826,1076,303,..,..,107,397
"France",..,..,660,687,871,2184,4800,5197,1653,408,530,358,412,631,1072,880,967,2803,4870,5908,1487,532,288,495,772,675,814,956,935,2138,5492,6429,1403,749,575,544,577,672,807,961,1217,2358,5272,5672,1282,663,467,568,650,786,883,992,1152,2420,5186,5907,1384,613,519,581,546,686,919,1248,1471,2189,5917,6487,1173,776,696,563,1040,1074,1093,1204,1468,2780,6129,7232,1708,850,804,779,914,818,1070,1382,1775,3086,6327,8824,2249,889,746,738,796,884,1604,1141,1457,3365,6400,9103,1728,1127,844,806,1451,1268,1582,1836,1737,3946,7945,10376,2403,1598,993,822,1387,1336,1747,2213,2314,4412,8454,12258,3646,1196,1514,1093,1371,1671,2427,1911,3012,6268,10183,12927,3855,1698,1656,1334,1981,2498,2999,2345,3656,7131,10771,15083,4687,2814,2294,2034,3206,3695,3951,2938,4607,7254,12074,16193,5081,2926,2261,1636,2518,3596,4483,4170,5629,9234,14508,20844,7213,5318,3884,3824,4457,6638,5938,6739,7574,11082,15137,20440,8380,5609,4635,3745,5446,6699,8241,6073,8192,9907,12605,17774,7349,6034,4765,4139,5414,6787,7604,4919,5814,8546,12117,18831,6612,9046,6484,5330,5562,9517,4109,..,..,275,2970
"Netherlands",..,..,611,680,856,1020,1773,1871,940,563,385,286,294,458,1146,480,929,1083,1965,2161,844,640,391,335,313,522,932,569,880,1115,2185,2235,1085,530,377,271,376,500,674,470,822,1201,2083,2374,1159,785,400,314,392,544,636,608,863,1211,1996,2158,1225,996,534,351,441,454,720,654,1256,1727,3103,2929,1443,822,457,399,573,655,1075,956,1739,2066,3448,3841,1629,1191,895,688,559,680,1158,1020,1621,3034,2825,3523,1837,1312,943,750,669,839,1188,821,1467,1857,2866,3265,1440,1365,891,613,698,969,1191,1216,1939,2178,3398,3619,2026,1475,751,537,722,1021,1279,1158,2119,2319,3841,4006,2045,1414,835,546,733,1272,1552,1248,1725,2514,4237,4443,1993,1201,1034,868,953,1651,1857,1308,1891,2904,4734,4919,2241,1675,1179,910,1150,1906,1819,1105,2504,2929,5086,5592,2725,2105,1539,1086,1346,2012,2212,1680,3437,3971,5900,6596,3737,3468,2471,2268,2953,3056,3835,3686,4271,4564,6138,7952,4326,3806,2464,2113,2609,2652,3516,2749,4868,4084,5357,6336,4025,3603,2464,2116,2413,2529,3429,2324,3958,4048,4911,6566,3758,3824,3013,2554,1828,2619,1281,..,..,192,2095
"Hong Kong",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1346,1359,1569,1486,1635,1136,1370,1128,1542,1709,1007,563,1184,1291,1290,1444,1712,1192,1483,957,1578,1463,828,659,1227,1289,1207,1484,1532,1089,1515,..,..,..,..,..,..,..
"India",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1787,1664,1494,1717,1979,1065,1238,867,949,1245,1470,1849,2246,2050,1661,2140,2310,1447,1349,1051,1065,1667,977,1472,2554,2240,1902,2167,2277,1245,1233,551,778,637,..,..,..,5
"Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1430,1431,1830,1193,3069,3440,1771,2670,3109,2934,2342,1035,1350,1221,1358,1122,2972,3167,2042,2495,3502,2793,1228,664,808,800,938,861,1177,3123,2138,2365,3280,1570,..,..,..,75
"Israel",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,450,1697,1875,1155,1367,218,183,128,200,214,297,458,829,2041,2825,2093,755,92,84,81,100,203,156,163,604,2262,2309,960,425,82,140,120,78,79,..,..,..,10
"Italy",..,..,102,96,238,709,1725,3674,393,109,129,104,222,108,159,196,222,748,1939,4255,546,166,166,264,231,157,188,312,381,751,2292,4001,525,209,165,258,229,150,218,187,291,867,1915,3908,621,227,185,174,160,141,175,248,459,916,1824,3558,680,266,214,199,264,144,488,238,429,1111,2079,4339,743,276,199,165,291,160,242,279,404,1110,1857,4212,874,312,183,192,266,116,228,290,371,1284,2709,5895,817,275,197,197,252,206,237,211,299,925,2112,4149,542,259,260,240,301,216,247,327,404,1251,2260,5714,796,302,323,205,249,208,354,329,421,1385,3176,5653,950,338,532,246,335,299,436,502,777,1790,3380,6312,1024,400,656,302,350,310,604,776,941,2036,3825,7783,1245,643,819,538,505,502,880,809,1328,2234,4504,9063,1977,933,710,372,556,630,1110,1023,1196,3158,5439,11424,2868,1467,1560,1142,1611,1698,3002,2266,1695,3332,6014,12745,3190,1618,1998,1696,2073,2315,4163,2323,2473,3641,5645,12515,3927,2300,3150,1876,2651,3272,5226,2596,2264,3111,5289,13287,3510,2206,2363,1341,2626,2418,1383,..,..,..,925
"Japan",..,..,282,178,145,312,504,698,337,162,93,169,385,238,259,146,190,262,526,723,388,875,213,253,487,374,401,270,329,426,1224,1405,665,237,227,480,592,466,456,130,238,482,621,703,732,912,280,507,794,449,423,291,249,507,542,714,877,829,328,458,714,528,475,308,315,463,707,758,467,371,402,588,768,668,702,172,286,545,560,844,538,455,468,726,971,588,673,282,306,558,779,801,591,491,457,551,767,751,695,258,184,335,340,557,419,361,393,520,835,712,589,228,260,590,543,741,645,535,526,698,1076,1078,884,415,356,557,589,828,1812,671,1020,1057,1566,1148,1417,497,306,533,654,1034,1752,1018,1137,1301,1778,1290,1556,486,586,575,696,1008,2117,897,1053,1298,2129,1793,1632,659,570,700,715,1098,2527,1420,1552,1752,1800,2688,2597,555,737,835,1028,1869,3059,2377,2406,2420,3246,2698,2848,836,767,805,1007,2018,2547,1978,1783,1864,2495,2396,1864,691,703,878,962,1971,2019,1882,1587,1689,2267,1917,1815,479,851,692,907,1923,2041,1433,2491,1696,2922,1614,860,..,..,..,15
"Canada",..,..,181,111,161,455,265,227,271,157,118,96,125,93,134,185,156,339,281,496,310,221,101,118,138,95,155,130,245,378,774,515,341,183,305,222,130,128,166,152,272,398,516,744,368,195,239,138,130,128,199,214,323,442,643,785,470,470,408,212,184,114,189,205,500,993,1173,1358,614,351,321,294,316,225,210,350,995,1598,1827,2388,1276,967,225,191,191,151,195,640,948,1606,2347,2528,1484,558,223,192,241,237,260,234,887,2111,2496,2795,1981,1505,339,361,352,343,485,977,1443,2513,3332,3232,2594,1999,349,310,361,284,455,1294,1746,2698,3048,3652,2488,1702,676,356,404,374,1044,1584,2278,3333,3573,3632,2944,1978,1730,1096,1020,1139,2304,2835,4020,5347,5328,5534,4423,2779,2630,1431,1527,1663,2211,2427,4475,6355,7069,6946,6770,3559,2254,1398,1569,1611,2601,2540,7421,13087,12305,11955,10845,9943,5465,3802,4199,4929,7346,6014,9079,12612,13830,15442,12353,8575,5253,3394,3938,4018,6177,6308,9581,11446,12568,13407,12590,10218,6004,3460,3506,4181,5971,4083,5845,8337,9508,10832,8083,4675,2912,2011,2089,2580,1989,..,..,..,106
