"Income and taxes","Unit","Education","Sex","Age","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Total annual income","Mean - total","Upper secondary education","Total","75 years and over",966,1074,1086,1102,1062,1118,1199,1305,1318,1571,1695,1888,2032,2283,2403,2762,3091,3807,3957,3545,3069,3256,3351,3764,4091,4134,4683,5432,5442
"Total annual income","Mean - total","Upper secondary education","Men","Total",1608,1744,1753,1730,1755,1838,1992,2159,2391,2612,2836,3118,3226,3375,3611,4128,4614,5299,5195,4939,4648,4980,5187,5423,5737,6078,6669,7133,7341
"Total annual income","Mean - total","Upper secondary education","Men","16 - 24 years",790,843,828,802,803,858,956,1024,1190,1282,1417,1463,1427,1461,1514,1673,1864,2035,2166,1868,1866,2010,2133,2290,2443,2707,3026,3267,3443
"Total annual income","Mean - total","Upper secondary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Upper secondary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Upper secondary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Upper secondary education","Men","75 years and over",1030,1160,1167,1166,1123,1168,1250,1361,1346,1615,1697,1865,1958,2120,2396,2732,3014,3671,3909,3509,3040,3278,3324,3556,4137,4090,4677,5376,5370
"Total annual income","Mean - total","Upper secondary education","Women","Total",793,869,891,892,927,986,1079,1193,1339,1509,1688,1870,2043,2188,2353,2738,3022,3670,3584,3476,3173,3342,3463,3686,3982,4199,4651,5047,5192
"Total annual income","Mean - total","Upper secondary education","Women","16 - 24 years",546,584,591,587,607,643,700,771,844,932,1035,1079,1113,1140,1190,1272,1401,1614,1717,1624,1611,1728,1862,2004,2198,2429,2690,2896,3035
"Total annual income","Mean - total","Upper secondary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Upper secondary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Upper secondary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Upper secondary education","Women","75 years and over",805,856,885,938,912,998,1075,1174,1253,1467,1690,1943,2208,2671,2419,2836,3274,4135,4069,3629,3137,3205,3414,4244,3984,4233,4697,5558,5595
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Total","Total",1454,1582,1592,1580,1614,1698,1839,1995,2207,2429,2637,2922,3063,3208,3433,3994,4405,5061,5061,4881,4538,4843,5048,5280,5647,5954,6557,7054,7270
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Total","16 - 24 years",861,929,910,897,915,1007,1096,1141,1274,1410,1532,1603,1632,1671,1770,1946,2132,2356,2504,2339,2325,2430,2591,2770,2880,3182,3568,3964,4334
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Total","75 years and over",963,1064,1081,1098,1056,1109,1188,1291,1301,1549,1668,1821,1976,2223,2363,2669,3003,3629,3849,3417,2968,3188,3277,3501,4005,4012,4591,5377,5304
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Men","Total",1723,1870,1873,1855,1886,1973,2134,2307,2543,2775,3002,3323,3436,3560,3836,4424,4904,5562,5584,5372,5041,5422,5663,5922,6268,6630,7282,7782,8033
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Men","16 - 24 years",1058,1131,1102,1068,1083,1182,1289,1325,1481,1637,1791,1890,1883,1916,2035,2270,2523,2751,2909,2625,2608,2815,2944,3131,3239,3569,3935,4261,4629
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Men","75 years and over",1024,1148,1158,1161,1117,1159,1240,1352,1332,1604,1681,1838,1915,2095,2373,2641,2970,3628,3851,3450,2976,3239,3279,3512,4100,4002,4627,5352,5316
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Women","Total",853,940,966,968,1011,1083,1180,1297,1458,1663,1838,2051,2259,2454,2579,3091,3366,4024,3988,3887,3525,3694,3831,4023,4443,4643,5140,5622,5755
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Women","16 - 24 years",612,665,662,669,697,758,811,846,919,1040,1117,1155,1232,1261,1326,1421,1539,1756,1871,1880,1859,1833,2045,2182,2313,2559,2873,3343,3651
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Vocational education at the upper secondary level","Women","75 years and over",808,850,882,935,903,986,1059,1142,1225,1412,1634,1777,2132,2548,2339,2742,3089,3630,3843,3327,2945,3053,3272,3472,3754,4038,4495,5443,5273
"Total annual income","Mean - total","- General education at the upper secondary level","Total","Total",841,916,949,942,969,1021,1131,1258,1428,1587,1791,1941,2060,2232,2410,2687,3090,3863,3560,3325,3100,3295,3418,3659,3891,4164,4621,5012,5181
"Total annual income","Mean - total","- General education at the upper secondary level","Total","16 - 24 years",558,594,604,599,615,652,728,806,919,991,1103,1131,1129,1156,1201,1303,1446,1626,1730,1552,1557,1708,1837,1991,2188,2432,2698,2906,3031
"Total annual income","Mean - total","- General education at the upper secondary level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- General education at the upper secondary level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- General education at the upper secondary level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- General education at the upper secondary level","Total","75 years and over",1122,1524,1339,1270,1329,1486,1620,1797,1879,2205,2413,3528,3261,3611,3143,4360,4427,6646,5489,5255,4401,4119,4260,6901,5049,5484,5711,6054,6939
"Total annual income","Mean - total","- General education at the upper secondary level","Men","Total",1042,1140,1199,1172,1198,1265,1408,1560,1789,1987,2220,2379,2471,2751,2876,3170,3744,4624,4110,3730,3532,3766,3906,4120,4397,4719,5218,5669,5842
"Total annual income","Mean - total","- General education at the upper secondary level","Men","16 - 24 years",609,648,656,649,659,703,803,879,1054,1110,1227,1244,1200,1225,1262,1397,1559,1693,1811,1541,1563,1720,1852,2008,2195,2456,2736,2977,3109
"Total annual income","Mean - total","- General education at the upper secondary level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- General education at the upper secondary level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- General education at the upper secondary level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- General education at the upper secondary level","Men","75 years and over",1372,1779,1627,1450,1461,1644,1818,1870,2125,2133,2391,2961,3568,3073,3174,5456,4048,4894,5380,4951,4703,4253,4421,4587,4994,6033,5781,5901,6613
"Total annual income","Mean - total","- General education at the upper secondary level","Women","Total",702,763,783,787,816,861,949,1061,1199,1333,1517,1664,1799,1903,2113,2372,2654,3353,3183,3041,2793,2952,3061,3319,3515,3746,4166,4506,4668
"Total annual income","Mean - total","- General education at the upper secondary level","Women","16 - 24 years",522,555,568,565,585,617,676,755,831,911,1021,1059,1083,1113,1163,1241,1372,1584,1677,1561,1552,1698,1827,1980,2183,2414,2671,2855,2975
"Total annual income","Mean - total","- General education at the upper secondary level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- General education at the upper secondary level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- General education at the upper secondary level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- General education at the upper secondary level","Women","75 years and over",722,1078,950,1018,1148,1300,1439,1739,1708,2262,2429,3967,3033,4001,3122,3598,4684,7818,5565,5459,4217,4036,4162,8315,5083,5165,5671,6139,7108
"Total annual income","Mean - total","Tertiary education","Total","Total",1826,1979,1981,1967,2028,2114,2288,2474,2821,3184,3483,3848,4128,4497,4743,5446,6120,7639,7066,6620,5892,6223,6475,6817,7227,7669,8283,8872,9018
"Total annual income","Mean - total","Tertiary education","Total","16 - 24 years",676,710,723,683,791,861,944,969,1229,1423,1702,1677,1704,1728,1673,1849,1938,2285,2395,1922,1873,2092,2278,2448,2417,2630,3081,3478,3604
"Total annual income","Mean - total","Tertiary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Tertiary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Tertiary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Tertiary education","Total","75 years and over",1738,1846,1779,1829,1781,1901,2007,2091,2318,2653,2849,3238,3515,4276,4441,4902,5703,9285,6861,6056,5159,5537,5507,5986,6434,7251,7475,7930,8510
"Total annual income","Mean - total","Tertiary education","Men","Total",2360,2567,2574,2560,2614,2716,2946,3192,3589,4052,4424,4843,5164,5552,5957,6814,7668,9698,8910,8016,7166,7603,7882,8319,8801,9265,9998,10544,10650
"Total annual income","Mean - total","Tertiary education","Men","16 - 24 years",751,793,816,775,853,971,1105,1108,1321,1681,2096,1843,1848,1792,1759,1875,2115,2537,2528,1996,2028,2247,2454,2639,2508,2826,3324,3686,3731
"Total annual income","Mean - total","Tertiary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Tertiary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Tertiary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Tertiary education","Men","75 years and over",1762,1821,1763,1751,1807,1989,2068,2158,2389,2918,3043,3499,3836,4522,4950,4945,6116,10827,7515,6746,5679,6068,6162,6712,7251,8057,8451,8797,9503
"Total annual income","Mean - total","Tertiary education","Women","Total",1155,1271,1295,1306,1386,1468,1602,1753,2055,2343,2587,2914,3178,3550,3683,4287,4826,5961,5593,5524,4910,5178,5426,5711,6077,6513,7051,7679,7859
"Total annual income","Mean - total","Tertiary education","Women","16 - 24 years",619,637,648,614,734,771,821,873,1130,1206,1370,1521,1563,1676,1610,1831,1803,2092,2305,1875,1767,1984,2143,2315,2353,2485,2914,3352,3528
"Total annual income","Mean - total","Tertiary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Tertiary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Tertiary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Tertiary education","Women","75 years and over",1611,1967,1872,2248,1662,1573,1766,1839,2064,1687,2175,2402,2478,3529,3096,4799,4712,5688,5375,4528,4057,4490,4227,4619,4971,5873,5896,6596,7028
"Total annual income","Mean - total","- Short-cycle tertiary education","Total","Total",1263,1351,1347,1365,1457,1556,1689,1811,2137,2419,2702,3048,3229,3449,3656,4282,4695,5780,5735,5679,5272,5586,5856,6029,6427,6872,7600,8192,8177
"Total annual income","Mean - total","- Short-cycle tertiary education","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Short-cycle tertiary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Short-cycle tertiary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Short-cycle tertiary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Short-cycle tertiary education","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Short-cycle tertiary education","Men","Total",1832,1943,1886,1858,1880,2037,2257,2478,2824,3153,3498,3895,4016,4102,4384,4969,5528,6386,6635,6467,6123,6554,6775,7125,7541,8145,9106,9514,9556
"Total annual income","Mean - total","- Short-cycle tertiary education","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Short-cycle tertiary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Short-cycle tertiary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Short-cycle tertiary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Short-cycle tertiary education","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Short-cycle tertiary education","Women","Total",1010,1079,1091,1127,1241,1316,1407,1491,1776,2012,2243,2538,2750,3050,3209,3853,4156,5376,5116,5127,4676,4903,5207,5244,5614,5942,6493,7207,7119
"Total annual income","Mean - total","- Short-cycle tertiary education","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Short-cycle tertiary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Short-cycle tertiary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Short-cycle tertiary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Short-cycle tertiary education","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Total","Total",1544,1697,1706,1698,1754,1849,2045,2256,2573,2917,3198,3537,3770,4068,4310,5036,5635,6701,6366,5992,5331,5631,5836,6122,6516,6858,7478,8044,8209
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Men","Total",2045,2243,2249,2244,2291,2403,2677,2990,3347,3808,4207,4580,4809,5138,5621,6598,7293,8764,8479,7363,6673,7128,7292,7651,8071,8351,9141,9659,9787
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
