"Year","Economic activity","Occupational group","Sex","Earnings and working hours","Mean","10%","20%","25% (1st quartile)","30%","40%","50% (median)","60%","70%","75% (3rd quartile)","80%","90%","Observations","Weighted bservations"
"2014","Total","Plant and machine operators and assemblers (8)","Women","Hours paid",183.3,166.7,171.5,173.1,173.7,176.9,180.3,181.7,184.8,187.9,191.7,204.4,250.0,350.0
"2014","Total","Elementary occupations (9)","Total","Total earnings",394,283,309,322,335,354,376,404,439,452,473,524,2610,3900
"2014","Total","Elementary occupations (9)","Total","Hours paid",193.2,168.8,173.9,176.4,178.7,183.9,188.3,194.3,201.1,206.0,211.0,224.3,2610.0,3900.0
"2014","Total","Elementary occupations (9)","Men","Total earnings",412,297,327,342,351,369,400,431,456,475,491,539,1790,2810
"2014","Total","Elementary occupations (9)","Men","Hours paid",196.6,171.2,176.4,179.0,181.9,187.1,192.1,198.7,206.3,210.8,215.0,228.1,1790.0,2810.0
"2014","Total","Elementary occupations (9)","Women","Total earnings",348,261,285,291,300,318,337,353,377,390,404,447,810,1090
"2014","Total","Elementary occupations (9)","Women","Hours paid",184.4,165.2,171.7,173.3,174.1,177.3,181.2,185.1,189.2,192.6,197.0,208.0,810.0,1090.0
"2014","Total","Craft workers","Total","Total earnings",593,411,457,482,501,535,570,607,658,689,726,809,1680,3760
"2014","Total","Craft workers","Total","Hours paid",192.1,168.0,173.4,175.3,177.9,184.3,189.5,195.4,202.1,204.9,208.6,221.2,1680.0,3760.0
"2014","Total","Craft workers","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Total","Craft workers","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Total","Craft workers","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Total","Craft workers","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Total","General, machine and specialized workers","Total","Total earnings",439,299,335,349,362,391,426,458,492,511,531,593,5660,9270
"2014","Total","General, machine and specialized workers","Total","Hours paid",197.1,168.7,173.7,176.4,179.3,184.8,190.3,197.6,206.7,212.0,217.5,234.9,5660.0,9270.0
"2014","Total","General, machine and specialized workers","Men","Total earnings",457,314,352,366,382,415,448,479,511,527,547,610,4290,7310
"2014","Total","General, machine and specialized workers","Men","Hours paid",199.8,170.1,175.4,178.5,182.0,187.1,193.8,201.2,210.6,215.1,221.2,238.9,4290.0,7310.0
"2014","Total","General, machine and specialized workers","Women","Total earnings",368,266,290,304,315,336,353,375,404,422,439,484,1370,1960
"2014","Total","General, machine and specialized workers","Women","Hours paid",186.7,165.9,172.7,173.3,173.9,177.2,181.3,185.8,191.9,195.6,200.2,216.7,1370.0,1960.0
"2014","Manufacturing (C)","Total","Total","Total earnings",558,333,381,402,424,466,505,547,601,637,678,808,5410,9680
"2014","Manufacturing (C)","Total","Total","Hours paid",186.8,162.5,166.6,171.2,173.2,173.4,178.5,184.8,192.5,197.2,204.1,223.1,5410.0,9680.0
"2014","Manufacturing (C)","Total","Men","Total earnings",579,346,401,423,446,490,526,569,624,658,703,830,3890,7440
"2014","Manufacturing (C)","Total","Men","Hours paid",188.8,162.5,167.8,171.5,173.3,174.8,180.8,187.1,195.5,200.9,207.1,226.8,3890.0,7440.0
"2014","Manufacturing (C)","Total","Women","Total earnings",489,309,342,356,370,402,435,467,509,537,574,709,1520,2240
"2014","Manufacturing (C)","Total","Women","Hours paid",180.1,162.0,164.9,168.0,171.3,173.3,173.6,177.8,182.8,185.9,190.1,207.8,1520.0,2240.0
"2014","Manufacturing (C)","Managers (1)","Total","Total earnings",1047,587,685,709,742,812,888,974,1077,1164,1291,1574,440,800
"2014","Manufacturing (C)","Managers (1)","Total","Hours paid",169.3,156.0,162.5,162.5,162.5,165.0,171.5,173.3,173.3,173.3,173.3,175.4,440.0,800.0
"2014","Manufacturing (C)","Managers (1)","Men","Total earnings",1064,617,699,718,751,835,904,990,1085,1217,1341,1632,340,640
"2014","Manufacturing (C)","Managers (1)","Men","Hours paid",169.4,156.0,162.5,162.5,162.5,163.5,172.3,173.3,173.3,173.3,173.3,175.9,340.0,640.0
"2014","Manufacturing (C)","Managers (1)","Women","Total earnings",981,527,599,686,703,753,810,852,1050,1124,1158,1299,90,160
"2014","Manufacturing (C)","Managers (1)","Women","Hours paid",169.2,156.3,162.5,162.5,162.5,165.0,171.5,173.3,173.3,173.3,173.4,173.4,90.0,160.0
"2014","Manufacturing (C)","Professionals (2)","Total","Total earnings",751,517,578,598,629,666,722,772,828,846,881,1004,540,690
"2014","Manufacturing (C)","Professionals (2)","Total","Hours paid",170.9,156.0,162.5,162.5,162.5,167.0,172.9,173.3,173.4,173.4,173.4,182.2,540.0,690.0
"2014","Manufacturing (C)","Professionals (2)","Men","Total earnings",799,558,625,653,671,722,767,816,857,882,927,1054,300,440
"2014","Manufacturing (C)","Professionals (2)","Men","Hours paid",171.0,156.0,162.5,162.5,162.5,165.0,172.0,173.3,173.3,173.4,173.4,187.5,300.0,440.0
"2014","Manufacturing (C)","Professionals (2)","Women","Total earnings",669,475,521,543,561,602,638,673,730,772,798,889,240,250
"2014","Manufacturing (C)","Professionals (2)","Women","Hours paid",170.7,161.6,162.5,164.4,167.2,171.7,173.1,173.4,173.4,173.4,173.4,177.4,240.0,250.0
"2014","Manufacturing (C)","Technicians and associate professionals (3)","Total","Total earnings",597,395,448,469,487,531,568,626,666,699,732,810,450,710
"2014","Manufacturing (C)","Technicians and associate professionals (3)","Total","Hours paid",175.1,160.8,162.5,164.7,166.6,172.6,173.3,173.3,173.4,175.2,178.3,189.0,450.0,710.0
"2014","Manufacturing (C)","Technicians and associate professionals (3)","Men","Total earnings",660,449,520,537,559,604,648,684,733,762,779,882,270,440
"2014","Manufacturing (C)","Technicians and associate professionals (3)","Men","Hours paid",177.2,161.8,162.5,165.0,168.2,173.1,173.3,173.3,173.9,177.4,181.1,199.8,270.0,440.0
"2014","Manufacturing (C)","Technicians and associate professionals (3)","Women","Total earnings",494,367,395,409,426,456,477,499,534,549,569,660,170,270
"2014","Manufacturing (C)","Technicians and associate professionals (3)","Women","Hours paid",171.6,160.0,162.5,162.5,165.0,171.2,173.1,173.3,173.4,173.4,175.3,181.3,170.0,270.0
"2014","Manufacturing (C)","Clerks (4)","Total","Total earnings",481,330,366,385,402,431,454,483,534,551,582,682,210,440
"2014","Manufacturing (C)","Clerks (4)","Total","Hours paid",171.2,158.8,162.5,162.5,162.5,165.0,171.5,173.3,173.4,175.9,176.8,187.9,210.0,440.0
"2014","Manufacturing (C)","Clerks (4)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Manufacturing (C)","Clerks (4)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Manufacturing (C)","Clerks (4)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Manufacturing (C)","Clerks (4)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Manufacturing (C)","Service workers and shop and market sales workers (5)","Total","Total earnings",454,326,362,375,393,412,443,467,488,516,540,603,190,460
"2014","Manufacturing (C)","Service workers and shop and market sales workers (5)","Total","Hours paid",178.0,162.5,164.5,166.8,169.7,171.9,173.5,175.9,181.2,184.4,186.8,209.0,190.0,460.0
"2014","Manufacturing (C)","Service workers and shop and market sales workers (5)","Men","Total earnings",463,335,366,390,397,415,447,471,506,525,556,610,130,330
"2014","Manufacturing (C)","Service workers and shop and market sales workers (5)","Men","Hours paid",178.5,162.5,165.1,169.3,171.2,173.0,173.3,175.7,180.8,184.2,188.2,209.3,130.0,330.0
"2014","Manufacturing (C)","Service workers and shop and market sales workers (5)","Women","Total earnings",432,313,350,364,374,395,427,449,467,473,475,560,50,130
"2014","Manufacturing (C)","Service workers and shop and market sales workers (5)","Women","Hours paid",176.9,159.3,162.5,163.3,165.8,171.5,173.5,179.0,182.0,184.8,185.9,195.5,50.0,130.0
"2014","Manufacturing (C)","Craft and related trades workers (7)","Total","Total earnings",536,350,401,421,440,484,522,565,603,628,662,742,1400,2880
"2014","Manufacturing (C)","Craft and related trades workers (7)","Total","Hours paid",195.7,164.5,173.3,174.7,177.1,183.9,190.0,197.0,204.9,209.2,215.5,234.1,1400.0,2880.0
"2014","Manufacturing (C)","Craft and related trades workers (7)","Men","Total earnings",555,372,423,442,467,510,549,583,622,649,674,758,1100,2470
"2014","Manufacturing (C)","Craft and related trades workers (7)","Men","Hours paid",195.1,162.8,173.3,173.7,176.6,182.7,188.9,196.3,204.2,207.4,214.0,234.2,1100.0,2470.0
"2014","Manufacturing (C)","Craft and related trades workers (7)","Women","Total earnings",417,314,343,354,362,384,410,429,456,469,479,526,290,410
"2014","Manufacturing (C)","Craft and related trades workers (7)","Women","Hours paid",199.8,173.3,176.8,178.5,183.1,190.0,194.4,202.4,211.4,218.1,222.9,232.3,290.0,410.0
"2014","Manufacturing (C)","Plant and machine operators and assemblers (8)","Total","Total earnings",483,340,377,395,413,452,480,509,533,546,565,626,1420,2480
"2014","Manufacturing (C)","Plant and machine operators and assemblers (8)","Total","Hours paid",192.5,164.7,171.8,173.3,175.0,180.7,183.7,189.4,197.8,205.2,212.7,236.6,1420.0,2480.0
"2014","Manufacturing (C)","Plant and machine operators and assemblers (8)","Men","Total earnings",493,345,391,408,428,465,491,517,539,555,574,634,1200,2170
"2014","Manufacturing (C)","Plant and machine operators and assemblers (8)","Men","Hours paid",194.3,164.7,171.9,173.3,176.1,181.9,185.5,191.5,201.2,209.3,217.1,239.3,1200.0,2170.0
"2014","Manufacturing (C)","Plant and machine operators and assemblers (8)","Women","Total earnings",415,316,333,344,353,363,396,429,460,477,489,534,220,320
"2014","Manufacturing (C)","Plant and machine operators and assemblers (8)","Women","Hours paid",180.5,164.9,170.8,173.0,173.4,175.1,179.3,181.2,183.2,184.6,187.9,197.9,220.0,320.0
"2014","Manufacturing (C)","Elementary occupations (9)","Total","Total earnings",380,279,303,311,321,343,361,389,423,439,451,503,740,1220
"2014","Manufacturing (C)","Elementary occupations (9)","Total","Hours paid",189.8,164.6,172.4,174.3,176.3,180.3,185.6,191.2,196.8,200.2,206.0,221.3,740.0,1220.0
"2014","Manufacturing (C)","Elementary occupations (9)","Men","Total earnings",392,287,308,320,330,353,374,405,439,450,476,513,460,850
"2014","Manufacturing (C)","Elementary occupations (9)","Men","Hours paid",192.1,165.7,173.4,176.0,178.3,182.1,188.1,194.2,199.4,204.2,208.3,223.1,460.0,850.0
"2014","Manufacturing (C)","Elementary occupations (9)","Women","Total earnings",354,265,288,294,306,321,339,361,389,405,419,450,270,370
"2014","Manufacturing (C)","Elementary occupations (9)","Women","Hours paid",184.6,160.7,168.7,171.7,173.3,176.3,181.5,184.8,190.0,194.4,198.9,211.0,270.0,370.0
"2014","Manufacturing (C)","Craft workers","Total","Total earnings",578,396,442,476,496,537,574,603,649,670,707,775,770,1850
"2014","Manufacturing (C)","Craft workers","Total","Hours paid",188.6,162.5,171.5,173.3,173.8,178.3,184.6,190.5,197.0,201.0,204.8,218.3,770.0,1850.0
"2014","Manufacturing (C)","Craft workers","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Manufacturing (C)","Craft workers","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Manufacturing (C)","Craft workers","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Manufacturing (C)","Craft workers","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Manufacturing (C)","General, machine and specialized workers","Total","Total earnings",451,311,345,359,375,406,441,476,506,524,542,607,2790,4740
"2014","Manufacturing (C)","General, machine and specialized workers","Total","Hours paid",195.3,165.7,173.1,174.7,177.5,182.7,187.2,194.3,204.2,209.8,216.7,236.9,2790.0,4740.0
"2014","Manufacturing (C)","General, machine and specialized workers","Men","Total earnings",468,321,358,375,394,430,464,494,524,539,559,622,2020,3680
"2014","Manufacturing (C)","General, machine and specialized workers","Men","Hours paid",197.0,165.7,173.3,175.4,178.2,183.5,188.8,195.7,206.7,212.5,219.4,240.9,2020.0,3680.0
"2014","Manufacturing (C)","General, machine and specialized workers","Women","Total earnings",392,288,316,326,337,355,381,406,432,446,464,506,760,1060
"2014","Manufacturing (C)","General, machine and specialized workers","Women","Hours paid",189.6,166.6,172.9,173.8,175.6,180.1,183.3,189.0,195.6,200.2,207.3,224.1,760.0,1060.0
"2014","Electricity, gas, steam, and air conditioning supply (D)","Total","Total","Total earnings",736,411,501,537,575,635,708,794,840,869,927,1079,830,1130
"2014","Electricity, gas, steam, and air conditioning supply (D)","Total","Total","Hours paid",191.9,171.6,171.6,171.6,173.3,173.3,183.3,197.4,205.7,210.3,213.3,224.5,830.0,1130.0
"2014","Electricity, gas, steam, and air conditioning supply (D)","Total","Men","Total earnings",776,495,568,596,628,690,761,818,857,891,945,1084,620,850
"2014","Electricity, gas, steam, and air conditioning supply (D)","Total","Men","Hours paid",195.7,171.6,171.6,173.3,173.3,180.5,193.8,203.3,211.2,213.3,216.6,228.1,620.0,850.0
"2014","Electricity, gas, steam, and air conditioning supply (D)","Total","Women","Total earnings",615,395,403,409,417,457,513,591,690,733,831,1018,200,280
"2014","Electricity, gas, steam, and air conditioning supply (D)","Total","Women","Hours paid",180.8,170.9,171.6,171.6,171.6,171.6,173.3,175.6,183.3,186.4,190.2,204.9,200.0,280.0
"2014","Electricity, gas, steam, and air conditioning supply (D)","Managers (1)","Total","Total earnings",1159,835,974,980,1009,1060,1113,1152,1192,1242,1325,1616,100,150
"2014","Electricity, gas, steam, and air conditioning supply (D)","Managers (1)","Total","Hours paid",182.3,171.6,171.6,171.6,171.6,173.3,173.3,173.3,182.7,189.3,193.1,208.3,100.0,150.0
"2014","Electricity, gas, steam, and air conditioning supply (D)","Managers (1)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Managers (1)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Managers (1)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Managers (1)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Professionals (2)","Total","Total earnings",844,640,709,733,748,797,831,857,907,946,975,1079,170,240
"2014","Electricity, gas, steam, and air conditioning supply (D)","Professionals (2)","Total","Hours paid",180.9,171.6,171.6,171.6,171.6,172.5,173.3,173.3,183.3,186.4,189.7,207.3,170.0,240.0
"2014","Electricity, gas, steam, and air conditioning supply (D)","Professionals (2)","Men","Total earnings",858,653,736,752,789,807,843,886,935,951,974,1079,120,180
"2014","Electricity, gas, steam, and air conditioning supply (D)","Professionals (2)","Men","Hours paid",181.2,171.6,171.6,171.6,171.6,173.3,173.3,173.3,183.3,185.8,193.3,207.3,120.0,180.0
"2014","Electricity, gas, steam, and air conditioning supply (D)","Professionals (2)","Women","Total earnings",806,607,651,680,700,733,760,802,845,890,981,1133,50,60
"2014","Electricity, gas, steam, and air conditioning supply (D)","Professionals (2)","Women","Hours paid",180.2,168.3,171.6,171.6,171.6,171.6,172.5,173.3,186.4,186.5,189.2,212.7,50.0,60.0
"2014","Electricity, gas, steam, and air conditioning supply (D)","Technicians and associate professionals (3)","Total","Total earnings",667,461,530,553,583,602,646,694,752,795,825,891,120,170
"2014","Electricity, gas, steam, and air conditioning supply (D)","Technicians and associate professionals (3)","Total","Hours paid",192.2,171.6,171.6,171.6,171.9,173.3,177.8,189.7,203.3,212.7,214.6,233.3,120.0,170.0
"2014","Electricity, gas, steam, and air conditioning supply (D)","Technicians and associate professionals (3)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Technicians and associate professionals (3)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Technicians and associate professionals (3)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Technicians and associate professionals (3)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Clerks (4)","Total","Total earnings",478,391,396,396,403,414,439,488,528,540,582,613,90,120
"2014","Electricity, gas, steam, and air conditioning supply (D)","Clerks (4)","Total","Hours paid",181.0,171.6,171.6,171.6,171.6,171.6,173.2,173.5,183.3,183.6,190.2,203.3,90.0,120.0
"2014","Electricity, gas, steam, and air conditioning supply (D)","Clerks (4)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Clerks (4)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Clerks (4)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Clerks (4)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Service workers and shop and market sales workers (5)","Total","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Service workers and shop and market sales workers (5)","Total","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Service workers and shop and market sales workers (5)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Service workers and shop and market sales workers (5)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Service workers and shop and market sales workers (5)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Service workers and shop and market sales workers (5)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Craft and related trades workers (7)","Total","Total earnings",723,540,590,616,635,672,722,791,820,832,844,889,210,290
"2014","Electricity, gas, steam, and air conditioning supply (D)","Craft and related trades workers (7)","Total","Hours paid",212.1,189.0,201.6,203.3,205.7,209.1,212.1,214.4,219.6,221.9,224.4,232.1,210.0,290.0
"2014","Electricity, gas, steam, and air conditioning supply (D)","Craft and related trades workers (7)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Craft and related trades workers (7)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Craft and related trades workers (7)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Craft and related trades workers (7)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Plant and machine operators and assemblers (8)","Total","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Plant and machine operators and assemblers (8)","Total","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Plant and machine operators and assemblers (8)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Plant and machine operators and assemblers (8)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Plant and machine operators and assemblers (8)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Plant and machine operators and assemblers (8)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Elementary occupations (9)","Total","Total earnings",426,333,356,374,384,404,419,434,469,499,511,553,80,120
"2014","Electricity, gas, steam, and air conditioning supply (D)","Elementary occupations (9)","Total","Hours paid",184.7,168.7,171.6,171.6,171.6,173.3,182.8,187.5,197.6,199.8,199.8,205.4,80.0,120.0
"2014","Electricity, gas, steam, and air conditioning supply (D)","Elementary occupations (9)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Elementary occupations (9)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Electricity, gas, steam, and air conditioning supply (D)","Elementary occupations (9)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
