"ISCED level","Type of education","Degrees","Year","Narrow field of study","Total","Males","Females"
"Total","Total","Total","2000","Humanities",1234,414,820
"Total","Total","Total","2000","Social and behavioural science",1018,361,657
"Total","Total","Total","2000","Journalism and information",122,18,104
"Total","Total","Total","2000","Business and administration",1985,913,1072
"Total","Total","Total","2000","Law",433,187,246
"Total","Total","Total","2000","Life science",284,101,183
"Total","Total","Total","2000","Physical science",194,101,93
"Total","Total","Total","2000","Mathematics and statistics",34,23,11
"Total","Total","Total","2000","Computing",729,536,193
"Total","Total","Total","2000","Science, not specified",12,5,7
"Total","Total","Total","2000","Engineering and engineering trades",420,334,86
"Total","Total","Total","2000","Manufacturing and processing",43,12,31
"Total","Total","Total","2000","Architecture and building",143,104,39
"Total","Total","Total","2000","Certified trades, not specified",0,0,0
"Total","Total","Total","2000","Agriculture, forestry and fishery",67,44,23
"Total","Total","Total","2000","Veterinary",0,0,0
"Total","Total","Total","2000","Health",1379,305,1074
"Total","Total","Total","2000","Social services",80,6,74
"Total","Total","Total","2000","Personal services",139,17,122
"Total","Total","Total","2000","Transport services",0,0,0
"Total","Total","Total","2000","Environmental protection",4,3,1
"Total","Total","Total","2000","Security services",0,0,0
"Total","Total","Total","2000","Unknown",0,0,0
"Total","Total","Total","2001","Total",11485,4251,7234
"Total","Total","Total","2001","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2001","Literacy and numeracy",0,0,0
"Total","Total","Total","2001","Personal skills",0,0,0
"Total","Total","Total","2001","Teacher training and educational science",1962,302,1660
"Total","Total","Total","2001","Arts",287,95,192
"Total","Total","Total","2001","Humanities",1329,452,877
"Total","Total","Total","2001","Social and behavioural science",1098,394,704
"Total","Total","Total","2001","Journalism and information",135,22,113
"Total","Total","Total","2001","Business and administration",2360,1010,1350
"Total","Total","Total","2001","Law",489,227,262
"Total","Total","Total","2001","Life science",274,98,176
"Total","Total","Total","2001","Physical science",197,113,84
"Total","Total","Total","2001","Mathematics and statistics",49,34,15
"Total","Total","Total","2001","Computing",865,614,251
"Total","Total","Total","2001","Science, not specified",48,14,34
"Total","Total","Total","2001","Engineering and engineering trades",479,378,101
"Total","Total","Total","2001","Manufacturing and processing",35,11,24
"Total","Total","Total","2001","Architecture and building",179,122,57
"Total","Total","Total","2001","Certified trades, not specified",0,0,0
"Total","Total","Total","2001","Agriculture, forestry and fishery",57,36,21
"Total","Total","Total","2001","Veterinary",0,0,0
"Total","Total","Total","2001","Health",1332,283,1049
"Total","Total","Total","2001","Social services",107,12,95
"Total","Total","Total","2001","Personal services",193,30,163
"Total","Total","Total","2001","Transport services",0,0,0
"Total","Total","Total","2001","Environmental protection",10,4,6
"Total","Total","Total","2001","Security services",0,0,0
"Total","Total","Total","2001","Unknown",0,0,0
"Total","Total","Total","2002","Total",13347,4850,8497
"Total","Total","Total","2002","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2002","Literacy and numeracy",0,0,0
"Total","Total","Total","2002","Personal skills",0,0,0
"Total","Total","Total","2002","Teacher training and educational science",2536,391,2145
"Total","Total","Total","2002","Arts",328,110,218
"Total","Total","Total","2002","Humanities",1578,541,1037
"Total","Total","Total","2002","Social and behavioural science",1379,489,890
"Total","Total","Total","2002","Journalism and information",133,13,120
"Total","Total","Total","2002","Business and administration",2573,1133,1440
"Total","Total","Total","2002","Law",664,303,361
"Total","Total","Total","2002","Life science",347,115,232
"Total","Total","Total","2002","Physical science",184,108,76
"Total","Total","Total","2002","Mathematics and statistics",67,53,14
"Total","Total","Total","2002","Computing",781,592,189
"Total","Total","Total","2002","Science, not specified",45,23,22
"Total","Total","Total","2002","Engineering and engineering trades",571,458,113
"Total","Total","Total","2002","Manufacturing and processing",33,8,25
"Total","Total","Total","2002","Architecture and building",266,160,106
"Total","Total","Total","2002","Certified trades, not specified",0,0,0
"Total","Total","Total","2002","Agriculture, forestry and fishery",72,43,29
"Total","Total","Total","2002","Veterinary",0,0,0
"Total","Total","Total","2002","Health",1404,259,1145
"Total","Total","Total","2002","Social services",162,13,149
"Total","Total","Total","2002","Personal services",185,24,161
"Total","Total","Total","2002","Transport services",8,4,4
"Total","Total","Total","2002","Environmental protection",31,10,21
"Total","Total","Total","2002","Security services",0,0,0
"Total","Total","Total","2002","Unknown",0,0,0
"Total","Total","Total","2003","Total",14900,5303,9597
"Total","Total","Total","2003","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2003","Literacy and numeracy",0,0,0
"Total","Total","Total","2003","Personal skills",0,0,0
"Total","Total","Total","2003","Teacher training and educational science",2737,414,2323
"Total","Total","Total","2003","Arts",347,120,227
"Total","Total","Total","2003","Humanities",1914,657,1257
"Total","Total","Total","2003","Social and behavioural science",1765,636,1129
"Total","Total","Total","2003","Journalism and information",138,27,111
"Total","Total","Total","2003","Business and administration",2647,1130,1517
"Total","Total","Total","2003","Law",819,373,446
"Total","Total","Total","2003","Life science",347,130,217
"Total","Total","Total","2003","Physical science",219,126,93
"Total","Total","Total","2003","Mathematics and statistics",77,60,17
"Total","Total","Total","2003","Computing",690,551,139
"Total","Total","Total","2003","Science, not specified",59,31,28
"Total","Total","Total","2003","Engineering and engineering trades",613,475,138
"Total","Total","Total","2003","Manufacturing and processing",32,9,23
"Total","Total","Total","2003","Architecture and building",349,200,149
"Total","Total","Total","2003","Certified trades, not specified",0,0,0
"Total","Total","Total","2003","Agriculture, forestry and fishery",89,55,34
"Total","Total","Total","2003","Veterinary",0,0,0
"Total","Total","Total","2003","Health",1573,248,1325
"Total","Total","Total","2003","Social services",226,17,209
"Total","Total","Total","2003","Personal services",231,32,199
"Total","Total","Total","2003","Transport services",4,2,2
"Total","Total","Total","2003","Environmental protection",24,10,14
"Total","Total","Total","2003","Security services",0,0,0
"Total","Total","Total","2003","Unknown",0,0,0
"Total","Total","Total","2004","Total",15379,5413,9966
"Total","Total","Total","2004","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2004","Literacy and numeracy",0,0,0
"Total","Total","Total","2004","Personal skills",0,0,0
"Total","Total","Total","2004","Teacher training and educational science",3002,493,2509
"Total","Total","Total","2004","Arts",388,134,254
"Total","Total","Total","2004","Humanities",1861,626,1235
"Total","Total","Total","2004","Social and behavioural science",1795,670,1125
"Total","Total","Total","2004","Journalism and information",176,35,141
"Total","Total","Total","2004","Business and administration",2505,1054,1451
"Total","Total","Total","2004","Law",956,450,506
"Total","Total","Total","2004","Life science",375,138,237
"Total","Total","Total","2004","Physical science",260,150,110
"Total","Total","Total","2004","Mathematics and statistics",92,66,26
"Total","Total","Total","2004","Computing",579,475,104
"Total","Total","Total","2004","Science, not specified",59,25,34
"Total","Total","Total","2004","Engineering and engineering trades",646,498,148
"Total","Total","Total","2004","Manufacturing and processing",34,9,25
"Total","Total","Total","2004","Architecture and building",360,209,151
"Total","Total","Total","2004","Certified trades, not specified",0,0,0
"Total","Total","Total","2004","Agriculture, forestry and fishery",92,52,40
"Total","Total","Total","2004","Veterinary",0,0,0
"Total","Total","Total","2004","Health",1665,258,1407
"Total","Total","Total","2004","Social services",255,15,240
"Total","Total","Total","2004","Personal services",255,47,208
"Total","Total","Total","2004","Transport services",6,3,3
"Total","Total","Total","2004","Environmental protection",18,6,12
"Total","Total","Total","2004","Security services",0,0,0
"Total","Total","Total","2004","Unknown",0,0,0
"Total","Total","Total","2005","Total",15839,5639,10200
"Total","Total","Total","2005","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2005","Literacy and numeracy",0,0,0
"Total","Total","Total","2005","Personal skills",0,0,0
"Total","Total","Total","2005","Teacher training and educational science",2778,462,2316
"Total","Total","Total","2005","Arts",429,156,273
"Total","Total","Total","2005","Humanities",1890,625,1265
"Total","Total","Total","2005","Social and behavioural science",1958,723,1235
"Total","Total","Total","2005","Journalism and information",204,46,158
"Total","Total","Total","2005","Business and administration",2727,1180,1547
"Total","Total","Total","2005","Law",1080,508,572
"Total","Total","Total","2005","Life science",395,131,264
"Total","Total","Total","2005","Physical science",314,178,136
"Total","Total","Total","2005","Mathematics and statistics",85,62,23
"Total","Total","Total","2005","Computing",485,413,72
"Total","Total","Total","2005","Science, not specified",1,1,0
"Total","Total","Total","2005","Engineering and engineering trades",728,548,180
"Total","Total","Total","2005","Manufacturing and processing",32,11,21
"Total","Total","Total","2005","Architecture and building",390,223,167
"Total","Total","Total","2005","Certified trades, not specified",0,0,0
"Total","Total","Total","2005","Agriculture, forestry and fishery",80,46,34
"Total","Total","Total","2005","Veterinary",0,0,0
"Total","Total","Total","2005","Health",1653,238,1415
"Total","Total","Total","2005","Social services",302,21,281
"Total","Total","Total","2005","Personal services",289,58,231
"Total","Total","Total","2005","Transport services",6,4,2
"Total","Total","Total","2005","Environmental protection",13,5,8
"Total","Total","Total","2005","Security services",0,0,0
"Total","Total","Total","2005","Unknown",0,0,0
"Total","Total","Total","2006","Total",15848,5676,10172
"Total","Total","Total","2006","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2006","Literacy and numeracy",0,0,0
"Total","Total","Total","2006","Personal skills",0,0,0
"Total","Total","Total","2006","Teacher training and educational science",2645,435,2210
"Total","Total","Total","2006","Arts",453,153,300
"Total","Total","Total","2006","Humanities",1853,635,1218
"Total","Total","Total","2006","Social and behavioural science",2069,719,1350
"Total","Total","Total","2006","Journalism and information",180,41,139
"Total","Total","Total","2006","Business and administration",2643,1157,1486
"Total","Total","Total","2006","Law",1197,530,667
"Total","Total","Total","2006","Life science",395,140,255
"Total","Total","Total","2006","Physical science",323,178,145
"Total","Total","Total","2006","Mathematics and statistics",85,69,16
"Total","Total","Total","2006","Computing",452,390,62
"Total","Total","Total","2006","Science, not specified",0,0,0
"Total","Total","Total","2006","Engineering and engineering trades",803,584,219
"Total","Total","Total","2006","Manufacturing and processing",37,11,26
"Total","Total","Total","2006","Architecture and building",373,230,143
"Total","Total","Total","2006","Certified trades, not specified",0,0,0
"Total","Total","Total","2006","Agriculture, forestry and fishery",93,50,43
"Total","Total","Total","2006","Veterinary",0,0,0
"Total","Total","Total","2006","Health",1659,280,1379
"Total","Total","Total","2006","Social services",345,20,325
"Total","Total","Total","2006","Personal services",230,50,180
"Total","Total","Total","2006","Transport services",0,0,0
"Total","Total","Total","2006","Environmental protection",13,4,9
"Total","Total","Total","2006","Security services",0,0,0
"Total","Total","Total","2006","Unknown",0,0,0
"Total","Total","Total","2007","Total",16658,5919,10739
"Total","Total","Total","2007","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2007","Literacy and numeracy",0,0,0
"Total","Total","Total","2007","Personal skills",0,0,0
"Total","Total","Total","2007","Teacher training and educational science",2850,478,2372
"Total","Total","Total","2007","Arts",482,157,325
"Total","Total","Total","2007","Humanities",1893,620,1273
"Total","Total","Total","2007","Social and behavioural science",2098,717,1381
"Total","Total","Total","2007","Journalism and information",169,30,139
"Total","Total","Total","2007","Business and administration",2819,1213,1606
"Total","Total","Total","2007","Law",1193,524,669
"Total","Total","Total","2007","Life science",410,143,267
"Total","Total","Total","2007","Physical science",296,179,117
"Total","Total","Total","2007","Mathematics and statistics",87,66,21
"Total","Total","Total","2007","Computing",474,396,78
"Total","Total","Total","2007","Science, not specified",0,0,0
"Total","Total","Total","2007","Engineering and engineering trades",935,672,263
"Total","Total","Total","2007","Manufacturing and processing",41,10,31
"Total","Total","Total","2007","Architecture and building",445,271,174
"Total","Total","Total","2007","Certified trades, not specified",0,0,0
"Total","Total","Total","2007","Agriculture, forestry and fishery",115,52,63
"Total","Total","Total","2007","Veterinary",0,0,0
"Total","Total","Total","2007","Health",1704,296,1408
"Total","Total","Total","2007","Social services",394,35,359
"Total","Total","Total","2007","Personal services",235,53,182
"Total","Total","Total","2007","Transport services",4,3,1
"Total","Total","Total","2007","Environmental protection",14,4,10
"Total","Total","Total","2007","Security services",0,0,0
"Total","Total","Total","2007","Unknown",0,0,0
"Total","Total","Total","2008","Total",16944,6053,10891
"Total","Total","Total","2008","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2008","Literacy and numeracy",0,0,0
"Total","Total","Total","2008","Personal skills",0,0,0
"Total","Total","Total","2008","Teacher training and educational science",2753,447,2306
"Total","Total","Total","2008","Arts",548,174,374
"Total","Total","Total","2008","Humanities",1753,592,1161
"Total","Total","Total","2008","Social and behavioural science",2061,726,1335
"Total","Total","Total","2008","Journalism and information",164,29,135
"Total","Total","Total","2008","Business and administration",3096,1272,1824
"Total","Total","Total","2008","Law",1281,560,721
"Total","Total","Total","2008","Life science",363,125,238
"Total","Total","Total","2008","Physical science",305,186,119
"Total","Total","Total","2008","Mathematics and statistics",102,67,35
"Total","Total","Total","2008","Computing",491,418,73
"Total","Total","Total","2008","Science, not specified",0,0,0
"Total","Total","Total","2008","Engineering and engineering trades",1055,717,338
"Total","Total","Total","2008","Manufacturing and processing",26,6,20
"Total","Total","Total","2008","Architecture and building",478,310,168
"Total","Total","Total","2008","Certified trades, not specified",0,0,0
"Total","Total","Total","2008","Agriculture, forestry and fishery",91,37,54
"Total","Total","Total","2008","Veterinary",0,0,0
"Total","Total","Total","2008","Health",1747,288,1459
"Total","Total","Total","2008","Social services",391,31,360
"Total","Total","Total","2008","Personal services",229,65,164
"Total","Total","Total","2008","Transport services",0,0,0
"Total","Total","Total","2008","Environmental protection",10,3,7
"Total","Total","Total","2008","Security services",0,0,0
"Total","Total","Total","2008","Unknown",0,0,0
"Total","Total","Total","2009","Total",18067,6602,11465
"Total","Total","Total","2009","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2009","Literacy and numeracy",0,0,0
"Total","Total","Total","2009","Personal skills",0,0,0
"Total","Total","Total","2009","Teacher training and educational science",2819,519,2300
"Total","Total","Total","2009","Arts",584,191,393
"Total","Total","Total","2009","Humanities",2071,733,1338
"Total","Total","Total","2009","Social and behavioural science",2341,839,1502
"Total","Total","Total","2009","Journalism and information",173,43,130
"Total","Total","Total","2009","Business and administration",2757,1193,1564
"Total","Total","Total","2009","Law",1390,615,775
"Total","Total","Total","2009","Life science",515,199,316
"Total","Total","Total","2009","Physical science",346,207,139
"Total","Total","Total","2009","Mathematics and statistics",104,69,35
"Total","Total","Total","2009","Computing",497,427,70
"Total","Total","Total","2009","Science, not specified",0,0,0
"Total","Total","Total","2009","Engineering and engineering trades",1133,781,352
"Total","Total","Total","2009","Manufacturing and processing",21,6,15
"Total","Total","Total","2009","Architecture and building",517,323,194
"Total","Total","Total","2009","Certified trades, not specified",0,0,0
"Total","Total","Total","2009","Agriculture, forestry and fishery",112,41,71
"Total","Total","Total","2009","Veterinary",0,0,0
"Total","Total","Total","2009","Health",1874,281,1593
"Total","Total","Total","2009","Social services",500,37,463
"Total","Total","Total","2009","Personal services",295,90,205
"Total","Total","Total","2009","Transport services",6,5,1
"Total","Total","Total","2009","Environmental protection",12,3,9
"Total","Total","Total","2009","Security services",0,0,0
"Total","Total","Total","2009","Unknown",0,0,0
"Total","Total","Total","2010","Total",18846,7119,11727
"Total","Total","Total","2010","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2010","Literacy and numeracy",0,0,0
"Total","Total","Total","2010","Personal skills",0,0,0
"Total","Total","Total","2010","Teacher training and educational science",2773,565,2208
"Total","Total","Total","2010","Arts",640,223,417
"Total","Total","Total","2010","Humanities",2143,799,1344
"Total","Total","Total","2010","Social and behavioural science",2581,879,1702
"Total","Total","Total","2010","Journalism and information",174,45,129
"Total","Total","Total","2010","Business and administration",2668,1179,1489
"Total","Total","Total","2010","Law",1373,637,736
"Total","Total","Total","2010","Life science",592,244,348
"Total","Total","Total","2010","Physical science",444,275,169
"Total","Total","Total","2010","Mathematics and statistics",88,61,27
"Total","Total","Total","2010","Computing",552,483,69
"Total","Total","Total","2010","Science, not specified",0,0,0
"Total","Total","Total","2010","Engineering and engineering trades",1240,893,347
"Total","Total","Total","2010","Manufacturing and processing",25,9,16
"Total","Total","Total","2010","Architecture and building",481,310,171
"Total","Total","Total","2010","Certified trades, not specified",0,0,0
"Total","Total","Total","2010","Agriculture, forestry and fishery",155,57,98
"Total","Total","Total","2010","Veterinary",0,0,0
"Total","Total","Total","2010","Health",1962,297,1665
"Total","Total","Total","2010","Social services",548,43,505
"Total","Total","Total","2010","Personal services",386,108,278
"Total","Total","Total","2010","Transport services",9,9,0
"Total","Total","Total","2010","Environmental protection",12,3,9
"Total","Total","Total","2010","Security services",0,0,0
"Total","Total","Total","2010","Unknown",0,0,0
"Total","Total","Total","2011","Total",19156,7188,11968
"Total","Total","Total","2011","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2011","Literacy and numeracy",0,0,0
"Total","Total","Total","2011","Personal skills",0,0,0
"Total","Total","Total","2011","Teacher training and educational science",2272,449,1823
"Total","Total","Total","2011","Arts",624,224,400
"Total","Total","Total","2011","Humanities",2396,878,1518
"Total","Total","Total","2011","Social and behavioural science",2756,901,1855
"Total","Total","Total","2011","Journalism and information",184,53,131
"Total","Total","Total","2011","Business and administration",2730,1205,1525
"Total","Total","Total","2011","Law",1396,620,776
"Total","Total","Total","2011","Life science",618,243,375
"Total","Total","Total","2011","Physical science",495,293,202
"Total","Total","Total","2011","Mathematics and statistics",80,53,27
"Total","Total","Total","2011","Computing",671,571,100
"Total","Total","Total","2011","Science, not specified",0,0,0
"Total","Total","Total","2011","Engineering and engineering trades",1164,833,331
"Total","Total","Total","2011","Manufacturing and processing",19,8,11
"Total","Total","Total","2011","Architecture and building",429,262,167
"Total","Total","Total","2011","Certified trades, not specified",0,0,0
"Total","Total","Total","2011","Agriculture, forestry and fishery",196,87,109
"Total","Total","Total","2011","Veterinary",0,0,0
"Total","Total","Total","2011","Health",2048,313,1735
"Total","Total","Total","2011","Social services",606,44,562
"Total","Total","Total","2011","Personal services",455,138,317
"Total","Total","Total","2011","Transport services",6,6,0
"Total","Total","Total","2011","Environmental protection",11,7,4
"Total","Total","Total","2011","Security services",0,0,0
"Total","Total","Total","2011","Unknown",0,0,0
"Total","Total","Total","2012","Total",19127,7230,11897
"Total","Total","Total","2012","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2012","Literacy and numeracy",0,0,0
"Total","Total","Total","2012","Personal skills",0,0,0
"Total","Total","Total","2012","Teacher training and educational science",2283,473,1810
"Total","Total","Total","2012","Arts",648,238,410
"Total","Total","Total","2012","Humanities",2237,768,1469
"Total","Total","Total","2012","Social and behavioural science",2682,862,1820
"Total","Total","Total","2012","Journalism and information",198,58,140
"Total","Total","Total","2012","Business and administration",2737,1195,1542
"Total","Total","Total","2012","Law",1360,620,740
"Total","Total","Total","2012","Life science",596,218,378
"Total","Total","Total","2012","Physical science",482,280,202
"Total","Total","Total","2012","Mathematics and statistics",75,54,21
"Total","Total","Total","2012","Computing",845,701,144
"Total","Total","Total","2012","Science, not specified",1,0,1
"Total","Total","Total","2012","Engineering and engineering trades",1238,893,345
"Total","Total","Total","2012","Manufacturing and processing",46,20,26
"Total","Total","Total","2012","Architecture and building",371,228,143
"Total","Total","Total","2012","Certified trades, not specified",0,0,0
"Total","Total","Total","2012","Agriculture, forestry and fishery",207,102,105
"Total","Total","Total","2012","Veterinary",0,0,0
"Total","Total","Total","2012","Health",2088,327,1761
"Total","Total","Total","2012","Social services",555,40,515
"Total","Total","Total","2012","Personal services",462,142,320
"Total","Total","Total","2012","Transport services",9,7,2
"Total","Total","Total","2012","Environmental protection",7,4,3
"Total","Total","Total","2012","Security services",0,0,0
"Total","Total","Total","2012","Unknown",0,0,0
"Total","Total","Total","2013","Total",19893,7478,12415
"Total","Total","Total","2013","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2013","Literacy and numeracy",0,0,0
"Total","Total","Total","2013","Personal skills",0,0,0
"Total","Total","Total","2013","Teacher training and educational science",2302,490,1812
"Total","Total","Total","2013","Arts",583,199,384
"Total","Total","Total","2013","Humanities",2213,743,1470
"Total","Total","Total","2013","Social and behavioural science",2802,855,1947
"Total","Total","Total","2013","Journalism and information",178,48,130
"Total","Total","Total","2013","Business and administration",2912,1269,1643
"Total","Total","Total","2013","Law",1335,596,739
"Total","Total","Total","2013","Life science",567,185,382
"Total","Total","Total","2013","Physical science",492,288,204
"Total","Total","Total","2013","Mathematics and statistics",76,56,20
"Total","Total","Total","2013","Computing",1116,901,215
"Total","Total","Total","2013","Science, not specified",0,0,0
"Total","Total","Total","2013","Engineering and engineering trades",1383,971,412
"Total","Total","Total","2013","Manufacturing and processing",56,17,39
"Total","Total","Total","2013","Architecture and building",358,212,146
"Total","Total","Total","2013","Certified trades, not specified",0,0,0
"Total","Total","Total","2013","Agriculture, forestry and fishery",211,108,103
"Total","Total","Total","2013","Veterinary",0,0,0
"Total","Total","Total","2013","Health",2198,324,1874
"Total","Total","Total","2013","Social services",558,44,514
"Total","Total","Total","2013","Personal services",533,162,371
"Total","Total","Total","2013","Transport services",10,8,2
"Total","Total","Total","2013","Environmental protection",10,2,8
"Total","Total","Total","2013","Security services",0,0,0
"Total","Total","Total","2013","Unknown",0,0,0
"Total","Total","Total","2014","Total",18967,7035,11932
"Total","Total","Total","2014","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2014","Literacy and numeracy",0,0,0
"Total","Total","Total","2014","Personal skills",0,0,0
"Total","Total","Total","2014","Teacher training and educational science",2191,458,1733
"Total","Total","Total","2014","Arts",576,198,378
"Total","Total","Total","2014","Humanities",1963,655,1308
"Total","Total","Total","2014","Social and behavioural science",2654,774,1880
"Total","Total","Total","2014","Journalism and information",190,46,144
"Total","Total","Total","2014","Business and administration",2980,1220,1760
"Total","Total","Total","2014","Law",1128,513,615
"Total","Total","Total","2014","Life science",485,168,317
"Total","Total","Total","2014","Physical science",436,240,196
"Total","Total","Total","2014","Mathematics and statistics",74,50,24
"Total","Total","Total","2014","Computing",1217,966,251
"Total","Total","Total","2014","Science, not specified",0,0,0
"Total","Total","Total","2014","Engineering and engineering trades",1345,904,441
"Total","Total","Total","2014","Manufacturing and processing",61,21,40
"Total","Total","Total","2014","Architecture and building",336,196,140
"Total","Total","Total","2014","Certified trades, not specified",0,0,0
"Total","Total","Total","2014","Agriculture, forestry and fishery",219,102,117
"Total","Total","Total","2014","Veterinary",0,0,0
"Total","Total","Total","2014","Health",2098,329,1769
"Total","Total","Total","2014","Social services",474,35,439
"Total","Total","Total","2014","Personal services",527,150,377
"Total","Total","Total","2014","Transport services",8,8,0
"Total","Total","Total","2014","Environmental protection",5,2,3
"Total","Total","Total","2014","Security services",0,0,0
"Total","Total","Total","2014","Unknown",0,0,0
"Total","Total","Total","2015","Total",18640,6755,11885
"Total","Total","Total","2015","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2015","Literacy and numeracy",0,0,0
"Total","Total","Total","2015","Personal skills",0,0,0
"Total","Total","Total","2015","Teacher training and educational science",2261,432,1829
"Total","Total","Total","2015","Arts",551,187,364
"Total","Total","Total","2015","Humanities",1854,648,1206
"Total","Total","Total","2015","Social and behavioural science",2598,741,1857
