Year,Sex,Age,Unit,Value
2016,Total,25-34 years old,Rate of individuals (%),13.6
2016,Total,35-44 years old,Rate of individuals (%),7.6
2016,Total,45-54 years old,Rate of individuals (%),5.5
2016,Total,55-64 years old,Rate of individuals (%),4.6
2016,Total,65 + years old,Rate of individuals (%),6.1
2016,Female,Total,Rate of individuals (%),9.1
2016,Female,0-15 years old,Rate of individuals (%),10.9
2016,Female,16-24 years old,Rate of individuals (%),11.5
2016,Female,25-34 years old,Rate of individuals (%),15.5
2016,Female,35-44 years old,Rate of individuals (%),6.1
2016,Female,45-54 years old,Rate of individuals (%),5.1
2016,Female,55-64 years old,Rate of individuals (%),4.5
2016,Female,65 + years old,Rate of individuals (%),8.3
2016,Male,Total,Rate of individuals (%),8.5
2016,Male,0-15 years old,Rate of individuals (%),11.1
2016,Male,16-24 years old,Rate of individuals (%),10.7
2016,Male,25-34 years old,Rate of individuals (%),11.7
2016,Male,35-44 years old,Rate of individuals (%),9.2
2016,Male,45-54 years old,Rate of individuals (%),5.8
2016,Male,55-64 years old,Rate of individuals (%),4.7
2016,Male,65 + years old,Rate of individuals (%),3.7
2017,Total,Total,Rate of individuals (%),10.3
2017,Total,0-15 years old,Rate of individuals (%),12.1
2017,Total,16-24 years old,Rate of individuals (%),13.1
2017,Total,25-34 years old,Rate of individuals (%),16.5
2017,Total,35-44 years old,Rate of individuals (%),9.2
2017,Total,45-54 years old,Rate of individuals (%),6.1
2017,Total,55-64 years old,Rate of individuals (%),5.3
2017,Total,65 + years old,Rate of individuals (%),8.1
2017,Female,Total,Rate of individuals (%),10.7
2017,Female,0-15 years old,Rate of individuals (%),13.4
2017,Female,16-24 years old,Rate of individuals (%),13.7
2017,Female,25-34 years old,Rate of individuals (%),16.1
2017,Female,35-44 years old,Rate of individuals (%),8.0
2017,Female,45-54 years old,Rate of individuals (%),7.2
2017,Female,55-64 years old,Rate of individuals (%),5.4
2017,Female,65 + years old,Rate of individuals (%),9.6
2017,Male,Total,Rate of individuals (%),10.0
2017,Male,0-15 years old,Rate of individuals (%),11.0
2017,Male,16-24 years old,Rate of individuals (%),12.5
2017,Male,25-34 years old,Rate of individuals (%),16.9
2017,Male,35-44 years old,Rate of individuals (%),10.4
2017,Male,45-54 years old,Rate of individuals (%),4.9
2017,Male,55-64 years old,Rate of individuals (%),5.2
2017,Male,65 + years old,Rate of individuals (%),6.6
2018,Total,Total,Rate of individuals (%),9.0
2018,Total,0-15 years old,Rate of individuals (%),11.1
2018,Total,16-24 years old,Rate of individuals (%),10.1
2018,Total,25-34 years old,Rate of individuals (%),12.5
2018,Total,35-44 years old,Rate of individuals (%),9.8
2018,Total,45-54 years old,Rate of individuals (%),6.3
2018,Total,55-64 years old,Rate of individuals (%),7.3
2018,Total,65 + years old,Rate of individuals (%),4.8
2018,Female,Total,Rate of individuals (%),8.9
2018,Female,0-15 years old,Rate of individuals (%),11.4
2018,Female,16-24 years old,Rate of individuals (%),12.5
2018,Female,25-34 years old,Rate of individuals (%),12.7
2018,Female,35-44 years old,Rate of individuals (%),10.0
2018,Female,45-54 years old,Rate of individuals (%),6.6
2018,Female,55-64 years old,Rate of individuals (%),5.1
2018,Female,65 + years old,Rate of individuals (%),3.9
2018,Male,Total,Rate of individuals (%),9.1
2018,Male,0-15 years old,Rate of individuals (%),11.0
2018,Male,16-24 years old,Rate of individuals (%),7.9
2018,Male,25-34 years old,Rate of individuals (%),12.3
2018,Male,35-44 years old,Rate of individuals (%),9.5
2018,Male,45-54 years old,Rate of individuals (%),6.0
2018,Male,55-64 years old,Rate of individuals (%),9.4
2018,Male,65 + years old,Rate of individuals (%),5.8
2004,Total,Total,Rate lower bounds (%),9.3
2004,Total,0-15 years old,Rate lower bounds (%),10.3
2004,Total,16-24 years old,Rate lower bounds (%),12.4
2004,Total,25-34 years old,Rate lower bounds (%),8.8
2004,Total,35-44 years old,Rate lower bounds (%),7.4
2004,Total,45-54 years old,Rate lower bounds (%),4.3
2004,Total,55-64 years old,Rate lower bounds (%),3.3
2004,Total,65 + years old,Rate lower bounds (%),7.8
2004,Female,Total,Rate lower bounds (%),9.4
2004,Female,0-15 years old,Rate lower bounds (%),9.7
2004,Female,16-24 years old,Rate lower bounds (%),13.6
2004,Female,25-34 years old,Rate lower bounds (%),8.7
2004,Female,35-44 years old,Rate lower bounds (%),6.7
2004,Female,45-54 years old,Rate lower bounds (%),3.4
2004,Female,55-64 years old,Rate lower bounds (%),3.0
2004,Female,65 + years old,Rate lower bounds (%),7.9
2004,Male,Total,Rate lower bounds (%),8.6
2004,Male,0-15 years old,Rate lower bounds (%),9.9
2004,Male,16-24 years old,Rate lower bounds (%),9.7
2004,Male,25-34 years old,Rate lower bounds (%),7.3
2004,Male,35-44 years old,Rate lower bounds (%),6.8
2004,Male,45-54 years old,Rate lower bounds (%),4.2
2004,Male,55-64 years old,Rate lower bounds (%),2.5
2004,Male,65 + years old,Rate lower bounds (%),5.7
2005,Total,Total,Rate lower bounds (%),9.0
2005,Total,0-15 years old,Rate lower bounds (%),8.9
2005,Total,16-24 years old,Rate lower bounds (%),12.6
2005,Total,25-34 years old,Rate lower bounds (%),9.4
2005,Total,35-44 years old,Rate lower bounds (%),6.8
2005,Total,45-54 years old,Rate lower bounds (%),4.9
2005,Total,55-64 years old,Rate lower bounds (%),3.8
2005,Total,65 + years old,Rate lower bounds (%),7.0
2005,Female,Total,Rate lower bounds (%),8.6
2005,Female,0-15 years old,Rate lower bounds (%),7.8
2005,Female,16-24 years old,Rate lower bounds (%),12.4
2005,Female,25-34 years old,Rate lower bounds (%),9.3
2005,Female,35-44 years old,Rate lower bounds (%),6.7
2005,Female,45-54 years old,Rate lower bounds (%),3.2
2005,Female,55-64 years old,Rate lower bounds (%),2.7
2005,Female,65 + years old,Rate lower bounds (%),6.5
2005,Male,Total,Rate lower bounds (%),8.8
2005,Male,0-15 years old,Rate lower bounds (%),9.0
2005,Male,16-24 years old,Rate lower bounds (%),11.0
2005,Male,25-34 years old,Rate lower bounds (%),7.9
2005,Male,35-44 years old,Rate lower bounds (%),5.6
2005,Male,45-54 years old,Rate lower bounds (%),5.5
2005,Male,55-64 years old,Rate lower bounds (%),3.8
2005,Male,65 + years old,Rate lower bounds (%),5.8
2006,Total,Total,Rate lower bounds (%),8.9
2006,Total,0-15 years old,Rate lower bounds (%),10.6
2006,Total,16-24 years old,Rate lower bounds (%),9.4
2006,Total,25-34 years old,Rate lower bounds (%),8.4
2006,Total,35-44 years old,Rate lower bounds (%),7.7
2006,Total,45-54 years old,Rate lower bounds (%),3.9
2006,Total,55-64 years old,Rate lower bounds (%),2.4
2006,Total,65 + years old,Rate lower bounds (%),9.2
2006,Female,Total,Rate lower bounds (%),9.2
2006,Female,0-15 years old,Rate lower bounds (%),10.0
2006,Female,16-24 years old,Rate lower bounds (%),11.3
2006,Female,25-34 years old,Rate lower bounds (%),9.3
2006,Female,35-44 years old,Rate lower bounds (%),6.3
2006,Female,45-54 years old,Rate lower bounds (%),2.6
2006,Female,55-64 years old,Rate lower bounds (%),2.3
2006,Female,65 + years old,Rate lower bounds (%),9.7
2006,Male,Total,Rate lower bounds (%),8.1
2006,Male,0-15 years old,Rate lower bounds (%),10.0
2006,Male,16-24 years old,Rate lower bounds (%),6.3
2006,Male,25-34 years old,Rate lower bounds (%),6.1
2006,Male,35-44 years old,Rate lower bounds (%),7.7
2006,Male,45-54 years old,Rate lower bounds (%),4.4
2006,Male,55-64 years old,Rate lower bounds (%),1.7
2006,Male,65 + years old,Rate lower bounds (%),6.6
2007,Total,Total,Rate lower bounds (%),9.3
2007,Total,0-15 years old,Rate lower bounds (%),11.0
2007,Total,16-24 years old,Rate lower bounds (%),8.6
2007,Total,25-34 years old,Rate lower bounds (%),9.3
2007,Total,35-44 years old,Rate lower bounds (%),6.2
2007,Total,45-54 years old,Rate lower bounds (%),4.5
2007,Total,55-64 years old,Rate lower bounds (%),3.3
2007,Total,65 + years old,Rate lower bounds (%),12.0
2007,Female,Total,Rate lower bounds (%),9.9
2007,Female,0-15 years old,Rate lower bounds (%),11.2
2007,Female,16-24 years old,Rate lower bounds (%),10.4
2007,Female,25-34 years old,Rate lower bounds (%),9.1
2007,Female,35-44 years old,Rate lower bounds (%),5.3
2007,Female,45-54 years old,Rate lower bounds (%),3.7
2007,Female,55-64 years old,Rate lower bounds (%),2.4
2007,Female,65 + years old,Rate lower bounds (%),14.1
2007,Male,Total,Rate lower bounds (%),8.1
2007,Male,0-15 years old,Rate lower bounds (%),9.7
2007,Male,16-24 years old,Rate lower bounds (%),5.5
2007,Male,25-34 years old,Rate lower bounds (%),7.8
2007,Male,35-44 years old,Rate lower bounds (%),5.9
2007,Male,45-54 years old,Rate lower bounds (%),4.1
2007,Male,55-64 years old,Rate lower bounds (%),3.1
2007,Male,65 + years old,Rate lower bounds (%),7.5
2008,Total,Total,Rate lower bounds (%),9.2
2008,Total,0-15 years old,Rate lower bounds (%),10.2
2008,Total,16-24 years old,Rate lower bounds (%),9.0
2008,Total,25-34 years old,Rate lower bounds (%),9.0
2008,Total,35-44 years old,Rate lower bounds (%),5.8
2008,Total,45-54 years old,Rate lower bounds (%),4.6
2008,Total,55-64 years old,Rate lower bounds (%),4.2
2008,Total,65 + years old,Rate lower bounds (%),12.1
2008,Female,Total,Rate lower bounds (%),9.5
2008,Female,0-15 years old,Rate lower bounds (%),10.3
2008,Female,16-24 years old,Rate lower bounds (%),8.3
2008,Female,25-34 years old,Rate lower bounds (%),8.3
2008,Female,35-44 years old,Rate lower bounds (%),5.0
2008,Female,45-54 years old,Rate lower bounds (%),4.1
2008,Female,55-64 years old,Rate lower bounds (%),2.9
2008,Female,65 + years old,Rate lower bounds (%),15.3
2008,Male,Total,Rate lower bounds (%),8.3
2008,Male,0-15 years old,Rate lower bounds (%),9.0
2008,Male,16-24 years old,Rate lower bounds (%),8.1
2008,Male,25-34 years old,Rate lower bounds (%),8.0
2008,Male,35-44 years old,Rate lower bounds (%),5.5
2008,Male,45-54 years old,Rate lower bounds (%),4.0
2008,Male,55-64 years old,Rate lower bounds (%),4.3
2008,Male,65 + years old,Rate lower bounds (%),6.2
2009,Total,Total,Rate lower bounds (%),9.4
2009,Total,0-15 years old,Rate lower bounds (%),8.7
2009,Total,16-24 years old,Rate lower bounds (%),11.6
2009,Total,25-34 years old,Rate lower bounds (%),10.1
2009,Total,35-44 years old,Rate lower bounds (%),6.8
2009,Total,45-54 years old,Rate lower bounds (%),4.9
2009,Total,55-64 years old,Rate lower bounds (%),4.6
2009,Total,65 + years old,Rate lower bounds (%),9.8
2009,Female,Total,Rate lower bounds (%),9.9
2009,Female,0-15 years old,Rate lower bounds (%),8.6
2009,Female,16-24 years old,Rate lower bounds (%),14.2
2009,Female,25-34 years old,Rate lower bounds (%),9.2
2009,Female,35-44 years old,Rate lower bounds (%),6.1
2009,Female,45-54 years old,Rate lower bounds (%),2.8
2009,Female,55-64 years old,Rate lower bounds (%),2.9
2009,Female,65 + years old,Rate lower bounds (%),13.8
2009,Male,Total,Rate lower bounds (%),8.2
2009,Male,0-15 years old,Rate lower bounds (%),7.7
2009,Male,16-24 years old,Rate lower bounds (%),7.6
2009,Male,25-34 years old,Rate lower bounds (%),9.2
2009,Male,35-44 years old,Rate lower bounds (%),6.0
2009,Male,45-54 years old,Rate lower bounds (%),5.9
2009,Male,55-64 years old,Rate lower bounds (%),5.0
2009,Male,65 + years old,Rate lower bounds (%),3.5
2010,Total,Total,Rate lower bounds (%),9.1
2010,Total,0-15 years old,Rate lower bounds (%),11.3
2010,Total,16-24 years old,Rate lower bounds (%),12.4
2010,Total,25-34 years old,Rate lower bounds (%),10.8
2010,Total,35-44 years old,Rate lower bounds (%),6.0
2010,Total,45-54 years old,Rate lower bounds (%),6.0
2010,Total,55-64 years old,Rate lower bounds (%),2.1
2010,Total,65 + years old,Rate lower bounds (%),3.3
2010,Female,Total,Rate lower bounds (%),8.7
2010,Female,0-15 years old,Rate lower bounds (%),10.9
2010,Female,16-24 years old,Rate lower bounds (%),13.6
2010,Female,25-34 years old,Rate lower bounds (%),9.9
2010,Female,35-44 years old,Rate lower bounds (%),4.6
2010,Female,45-54 years old,Rate lower bounds (%),3.6
2010,Female,55-64 years old,Rate lower bounds (%),1.3
2010,Female,65 + years old,Rate lower bounds (%),4.1
2010,Male,Total,Rate lower bounds (%),8.8
2010,Male,0-15 years old,Rate lower bounds (%),10.4
2010,Male,16-24 years old,Rate lower bounds (%),9.6
