Year,Sex,Age,Education,Income and taxes,Unit,Value
1990,Men,75 years and over,Tertiary education,Total annual income,Number - total,194000.0
1990,Women,Total,Tertiary education,Total annual income,Number - total,8204000.0
1990,Women,16 - 24 years,Tertiary education,Total annual income,Number - total,249000.0
1990,Women,75 years and over,Tertiary education,Total annual income,Number - total,38000.0
1990,Total,Total,Short-cycle tertiary education,Total annual income,Number - total,2664000.0
1990,Men,Total,Short-cycle tertiary education,Total annual income,Number - total,819000.0
1990,Women,Total,Short-cycle tertiary education,Total annual income,Number - total,1845000.0
1990,Total,Total,Bachelor's or equivalent level,Total annual income,Number - total,8314000.0
1990,Men,Total,Bachelor's or equivalent level,Total annual income,Number - total,3831000.0
1990,Women,Total,Bachelor's or equivalent level,Total annual income,Number - total,4483000.0
1990,Total,Total,Master's or equivalent level,Total annual income,Number - total,4935000.0
1990,Men,Total,Master's or equivalent level,Total annual income,Number - total,3858000.0
1990,Women,Total,Master's or equivalent level,Total annual income,Number - total,1077000.0
1990,Total,Total,Doctoral or equivalent level,Total annual income,Number - total,605000.0
1990,Men,Total,Doctoral or equivalent level,Total annual income,Number - total,533000.0
1990,Women,Total,Doctoral or equivalent level,Total annual income,Number - total,72000.0
1990,Total,Total,Total,Total annual income,Standard deviation - total,982000.0
1990,Total,16 - 24 years,Total,Total annual income,Standard deviation - total,481000.0
1990,Total,75 years and over,Total,Total annual income,Standard deviation - total,1144000.0
1990,Men,Total,Total,Total annual income,Standard deviation - total,1177000.0
1990,Men,16 - 24 years,Total,Total annual income,Standard deviation - total,576000.0
1990,Men,75 years and over,Total,Total annual income,Standard deviation - total,1660000.0
1990,Women,Total,Total,Total annual income,Standard deviation - total,534000.0
1990,Women,16 - 24 years,Total,Total annual income,Standard deviation - total,306000.0
1990,Women,75 years and over,Total,Total annual income,Standard deviation - total,532000.0
1990,Total,Total,Basic education,Total annual income,Standard deviation - total,665000.0
1990,Total,16 - 24 years,Basic education,Total annual income,Standard deviation - total,480000.0
1990,Total,75 years and over,Basic education,Total annual income,Standard deviation - total,418000.0
1990,Men,Total,Basic education,Total annual income,Standard deviation - total,823000.0
1990,Men,16 - 24 years,Basic education,Total annual income,Standard deviation - total,574000.0
1990,Men,75 years and over,Basic education,Total annual income,Standard deviation - total,467000.0
1990,Women,Total,Basic education,Total annual income,Standard deviation - total,441000.0
1990,Women,16 - 24 years,Basic education,Total annual income,Standard deviation - total,284000.0
1990,Women,75 years and over,Basic education,Total annual income,Standard deviation - total,386000.0
1990,Total,Total,Upper secondary education,Total annual income,Standard deviation - total,1067000.0
1990,Total,16 - 24 years,Upper secondary education,Total annual income,Standard deviation - total,481000.0
1990,Total,75 years and over,Upper secondary education,Total annual income,Standard deviation - total,2397000.0
1990,Men,Total,Upper secondary education,Total annual income,Standard deviation - total,1188000.0
1990,Men,16 - 24 years,Upper secondary education,Total annual income,Standard deviation - total,580000.0
1990,Men,75 years and over,Upper secondary education,Total annual income,Standard deviation - total,2809000.0
1990,Women,Total,Upper secondary education,Total annual income,Standard deviation - total,544000.0
1990,Women,16 - 24 years,Upper secondary education,Total annual income,Standard deviation - total,338000.0
1990,Women,75 years and over,Upper secondary education,Total annual income,Standard deviation - total,517000.0
1990,Total,Total,Upper secondary education: vocational,Total annual income,Standard deviation - total,1127000.0
1990,Total,16 - 24 years,Upper secondary education: vocational,Total annual income,Standard deviation - total,587000.0
1990,Total,75 years and over,Upper secondary education: vocational,Total annual income,Standard deviation - total,2418000.0
1990,Men,Total,Upper secondary education: vocational,Total annual income,Standard deviation - total,1213000.0
1990,Men,16 - 24 years,Upper secondary education: vocational,Total annual income,Standard deviation - total,661000.0
1990,Men,75 years and over,Upper secondary education: vocational,Total annual income,Standard deviation - total,2831000.0
1990,Women,Total,Upper secondary education: vocational,Total annual income,Standard deviation - total,546000.0
1990,Women,16 - 24 years,Upper secondary education: vocational,Total annual income,Standard deviation - total,344000.0
1990,Women,75 years and over,Upper secondary education: vocational,Total annual income,Standard deviation - total,519000.0
1990,Total,Total,Upper secondary education: general,Total annual income,Standard deviation - total,719000.0
1990,Total,16 - 24 years,Upper secondary education: general,Total annual income,Standard deviation - total,383000.0
1990,Total,75 years and over,Upper secondary education: general,Total annual income,Standard deviation - total,849000.0
1990,Men,Total,Upper secondary education: general,Total annual income,Standard deviation - total,883000.0
1990,Men,16 - 24 years,Upper secondary education: general,Total annual income,Standard deviation - total,438000.0
1990,Men,75 years and over,Upper secondary education: general,Total annual income,Standard deviation - total,951000.0
1990,Women,Total,Upper secondary education: general,Total annual income,Standard deviation - total,535000.0
1990,Women,16 - 24 years,Upper secondary education: general,Total annual income,Standard deviation - total,334000.0
1990,Women,75 years and over,Upper secondary education: general,Total annual income,Standard deviation - total,439000.0
1990,Total,Total,Tertiary education,Total annual income,Standard deviation - total,1456000.0
1990,Total,16 - 24 years,Tertiary education,Total annual income,Standard deviation - total,494000.0
1990,Total,75 years and over,Tertiary education,Total annual income,Standard deviation - total,2499000.0
1990,Men,Total,Tertiary education,Total annual income,Standard deviation - total,1624000.0
1990,Men,16 - 24 years,Tertiary education,Total annual income,Standard deviation - total,598000.0
1990,Men,75 years and over,Tertiary education,Total annual income,Standard deviation - total,1866000.0
1990,Women,Total,Tertiary education,Total annual income,Standard deviation - total,815000.0
1990,Women,16 - 24 years,Tertiary education,Total annual income,Standard deviation - total,387000.0
1990,Women,75 years and over,Tertiary education,Total annual income,Standard deviation - total,4562000.0
1990,Total,Total,Short-cycle tertiary education,Total annual income,Standard deviation - total,868000.0
1990,Men,Total,Short-cycle tertiary education,Total annual income,Standard deviation - total,1145000.0
1990,Women,Total,Short-cycle tertiary education,Total annual income,Standard deviation - total,546000.0
1990,Total,Total,Bachelor's or equivalent level,Total annual income,Standard deviation - total,1020000.0
1990,Men,Total,Bachelor's or equivalent level,Total annual income,Standard deviation - total,1162000.0
1990,Women,Total,Bachelor's or equivalent level,Total annual income,Standard deviation - total,616000.0
1990,Total,Total,Master's or equivalent level,Total annual income,Standard deviation - total,1926000.0
1990,Men,Total,Master's or equivalent level,Total annual income,Standard deviation - total,1994000.0
1990,Women,Total,Master's or equivalent level,Total annual income,Standard deviation - total,1190000.0
1990,Total,Total,Doctoral or equivalent level,Total annual income,Standard deviation - total,1630000.0
1990,Men,Total,Doctoral or equivalent level,Total annual income,Standard deviation - total,1599000.0
1990,Women,Total,Doctoral or equivalent level,Total annual income,Standard deviation - total,1672000.0
1990,Total,Total,Total,Income from work,Mean - total,923000.0
1990,Total,16 - 24 years,Total,Income from work,Mean - total,589000.0
1990,Total,75 years and over,Total,Income from work,Mean - total,48000.0
1990,Men,Total,Total,Income from work,Mean - total,1284000.0
1990,Men,16 - 24 years,Total,Income from work,Mean - total,727000.0
1990,Men,75 years and over,Total,Income from work,Mean - total,93000.0
1990,Women,Total,Total,Income from work,Mean - total,567000.0
1990,Women,16 - 24 years,Total,Income from work,Mean - total,445000.0
1990,Women,75 years and over,Total,Income from work,Mean - total,16000.0
1990,Total,Total,Basic education,Income from work,Mean - total,660000.0
1990,Total,16 - 24 years,Basic education,Income from work,Mean - total,573000.0
1990,Total,75 years and over,Basic education,Income from work,Mean - total,34000.0
1990,Men,Total,Basic education,Income from work,Mean - total,946000.0
1990,Men,16 - 24 years,Basic education,Income from work,Mean - total,712000.0
1990,Men,75 years and over,Basic education,Income from work,Mean - total,72000.0
1990,Women,Total,Basic education,Income from work,Mean - total,462000.0
1990,Women,16 - 24 years,Basic education,Income from work,Mean - total,416000.0
1990,Women,75 years and over,Basic education,Income from work,Mean - total,15000.0
1990,Total,Total,Upper secondary education,Income from work,Mean - total,1123000.0
1990,Total,16 - 24 years,Upper secondary education,Income from work,Mean - total,625000.0
1990,Total,75 years and over,Upper secondary education,Income from work,Mean - total,89000.0
1990,Men,Total,Upper secondary education,Income from work,Mean - total,1416000.0
1990,Men,16 - 24 years,Upper secondary education,Income from work,Mean - total,769000.0
1990,Men,75 years and over,Upper secondary education,Income from work,Mean - total,114000.0
1990,Women,Total,Upper secondary education,Income from work,Mean - total,656000.0
1990,Women,16 - 24 years,Upper secondary education,Income from work,Mean - total,501000.0
1990,Women,75 years and over,Upper secondary education,Income from work,Mean - total,26000.0
1990,Total,Total,Upper secondary education: vocational,Income from work,Mean - total,1251000.0
1990,Total,16 - 24 years,Upper secondary education: vocational,Income from work,Mean - total,821000.0
1990,Total,75 years and over,Upper secondary education: vocational,Income from work,Mean - total,88000.0
1990,Men,Total,Upper secondary education: vocational,Income from work,Mean - total,1505000.0
1990,Men,16 - 24 years,Upper secondary education: vocational,Income from work,Mean - total,1030000.0
1990,Men,75 years and over,Upper secondary education: vocational,Income from work,Mean - total,112000.0
1990,Women,Total,Upper secondary education: vocational,Income from work,Mean - total,683000.0
1990,Women,16 - 24 years,Upper secondary education: vocational,Income from work,Mean - total,556000.0
1990,Women,75 years and over,Upper secondary education: vocational,Income from work,Mean - total,26000.0
1990,Total,Total,Upper secondary education: general,Income from work,Mean - total,759000.0
1990,Total,16 - 24 years,Upper secondary education: general,Income from work,Mean - total,529000.0
1990,Total,75 years and over,Upper secondary education: general,Income from work,Mean - total,158000.0
1990,Men,Total,Upper secondary education: general,Income from work,Mean - total,973000.0
1990,Men,16 - 24 years,Upper secondary education: general,Income from work,Mean - total,592000.0
1990,Men,75 years and over,Upper secondary education: general,Income from work,Mean - total,225000.0
1990,Women,Total,Upper secondary education: general,Income from work,Mean - total,611000.0
1990,Women,16 - 24 years,Upper secondary education: general,Income from work,Mean - total,484000.0
1990,Women,75 years and over,Upper secondary education: general,Income from work,Mean - total,50000.0
1990,Total,Total,Tertiary education,Income from work,Mean - total,1609000.0
1990,Total,16 - 24 years,Tertiary education,Income from work,Mean - total,635000.0
1990,Total,75 years and over,Tertiary education,Income from work,Mean - total,229000.0
1990,Men,Total,Tertiary education,Income from work,Mean - total,2071000.0
1990,Men,16 - 24 years,Tertiary education,Income from work,Mean - total,726000.0
1990,Men,75 years and over,Tertiary education,Income from work,Mean - total,271000.0
1990,Women,Total,Tertiary education,Income from work,Mean - total,1029000.0
1990,Women,16 - 24 years,Tertiary education,Income from work,Mean - total,564000.0
1990,Women,75 years and over,Tertiary education,Income from work,Mean - total,11000.0
1990,Total,Total,Short-cycle tertiary education,Income from work,Mean - total,1147000.0
1990,Men,Total,Short-cycle tertiary education,Income from work,Mean - total,1660000.0
1990,Women,Total,Short-cycle tertiary education,Income from work,Mean - total,919000.0
1990,Total,Total,Bachelor's or equivalent level,Income from work,Mean - total,1435000.0
1990,Men,Total,Bachelor's or equivalent level,Income from work,Mean - total,1925000.0
1990,Women,Total,Bachelor's or equivalent level,Income from work,Mean - total,1016000.0
1990,Total,Total,Master's or equivalent level,Income from work,Mean - total,2179000.0
1990,Men,Total,Master's or equivalent level,Income from work,Mean - total,2406000.0
1990,Women,Total,Master's or equivalent level,Income from work,Mean - total,1367000.0
1990,Total,Total,Doctoral or equivalent level,Income from work,Mean - total,2331000.0
1990,Men,Total,Doctoral or equivalent level,Income from work,Mean - total,2438000.0
1990,Women,Total,Doctoral or equivalent level,Income from work,Mean - total,1540000.0
1990,Total,Total,Total,Income from work,Median - total,725000.0
1990,Total,16 - 24 years,Total,Income from work,Median - total,473000.0
1990,Total,75 years and over,Total,Income from work,Median - total,0.0
1990,Men,Total,Total,Income from work,Median - total,1143000.0
1990,Men,16 - 24 years,Total,Income from work,Median - total,599000.0
1990,Men,75 years and over,Total,Income from work,Median - total,0.0
1990,Women,Total,Total,Income from work,Median - total,506000.0
1990,Women,16 - 24 years,Total,Income from work,Median - total,381000.0
1990,Women,75 years and over,Total,Income from work,Median - total,0.0
1990,Total,Total,Basic education,Income from work,Median - total,543000.0
1990,Total,16 - 24 years,Basic education,Income from work,Median - total,453000.0
1990,Total,75 years and over,Basic education,Income from work,Median - total,0.0
1990,Men,Total,Basic education,Income from work,Median - total,806000.0
1990,Men,16 - 24 years,Basic education,Income from work,Median - total,581000.0
1990,Men,75 years and over,Basic education,Income from work,Median - total,0.0
1990,Women,Total,Basic education,Income from work,Median - total,414000.0
1990,Women,16 - 24 years,Basic education,Income from work,Median - total,357000.0
1990,Women,75 years and over,Basic education,Income from work,Median - total,0.0
1990,Total,Total,Upper secondary education,Income from work,Median - total,970000.0
1990,Total,16 - 24 years,Upper secondary education,Income from work,Median - total,519000.0
1990,Total,75 years and over,Upper secondary education,Income from work,Median - total,0.0
1990,Men,Total,Upper secondary education,Income from work,Median - total,1318000.0
1990,Men,16 - 24 years,Upper secondary education,Income from work,Median - total,648000.0
1990,Men,75 years and over,Upper secondary education,Income from work,Median - total,0.0
1990,Women,Total,Upper secondary education,Income from work,Median - total,606000.0
1990,Women,16 - 24 years,Upper secondary education,Income from work,Median - total,439000.0
1990,Women,75 years and over,Upper secondary education,Income from work,Median - total,0.0
1990,Total,Total,Upper secondary education: vocational,Income from work,Median - total,1125000.0
1990,Total,16 - 24 years,Upper secondary education: vocational,Income from work,Median - total,693000.0
1990,Total,75 years and over,Upper secondary education: vocational,Income from work,Median - total,0.0
1990,Men,Total,Upper secondary education: vocational,Income from work,Median - total,1406000.0
1990,Men,16 - 24 years,Upper secondary education: vocational,Income from work,Median - total,946000.0
1990,Men,75 years and over,Upper secondary education: vocational,Income from work,Median - total,0.0
1990,Women,Total,Upper secondary education: vocational,Income from work,Median - total,650000.0
1990,Women,16 - 24 years,Upper secondary education: vocational,Income from work,Median - total,500000.0
1990,Women,75 years and over,Upper secondary education: vocational,Income from work,Median - total,0.0
1990,Total,Total,Upper secondary education: general,Income from work,Median - total,607000.0
1990,Total,16 - 24 years,Upper secondary education: general,Income from work,Median - total,445000.0
1990,Total,75 years and over,Upper secondary education: general,Income from work,Median - total,0.0
1990,Men,Total,Upper secondary education: general,Income from work,Median - total,755000.0
1990,Men,16 - 24 years,Upper secondary education: general,Income from work,Median - total,496000.0
1990,Men,75 years and over,Upper secondary education: general,Income from work,Median - total,0.0
1990,Women,Total,Upper secondary education: general,Income from work,Median - total,520000.0
1990,Women,16 - 24 years,Upper secondary education: general,Income from work,Median - total,417000.0
1990,Women,75 years and over,Upper secondary education: general,Income from work,Median - total,0.0
1990,Total,Total,Tertiary education,Income from work,Median - total,1435000.0
1990,Total,16 - 24 years,Tertiary education,Income from work,Median - total,570000.0
1990,Total,75 years and over,Tertiary education,Income from work,Median - total,0.0
1990,Men,Total,Tertiary education,Income from work,Median - total,1965000.0
1990,Men,16 - 24 years,Tertiary education,Income from work,Median - total,618000.0
1990,Men,75 years and over,Tertiary education,Income from work,Median - total,0.0
1990,Women,Total,Tertiary education,Income from work,Median - total,990000.0
