Year,Sex,Age,Unit,value
1990,Men,75 years and older,99%,339100
1990,Men,Total,Mean - conditional,148500
1990,Men,16 - 24 years,Mean - conditional,75000
1990,Men,16 - 64 years,Mean - conditional,153700
1990,Men,16 - 74 years,Mean - conditional,151800
1990,Men,18 - 66 years,Mean - conditional,160300
1990,Men,25 - 54 years,Mean - conditional,181200
1990,Men,25 - 64 years,Mean - conditional,178800
1990,Men,25 - 74 years,Mean - conditional,173500
1990,Men,55 - 74 years,Mean - conditional,152400
1990,Men,67 years and older,Mean - conditional,109300
1990,Men,75 years and older,Mean - conditional,89000
1990,Men,Total,Number - conditional,85060
1990,Men,16 - 24 years,Number - conditional,17703
1990,Men,16 - 64 years,Number - conditional,73323
1990,Men,16 - 74 years,Number - conditional,80525
1990,Men,18 - 66 years,Number - conditional,70946
1990,Men,25 - 54 years,Number - conditional,45961
1990,Men,25 - 64 years,Number - conditional,55620
1990,Men,25 - 74 years,Number - conditional,62822
1990,Men,55 - 74 years,Number - conditional,16861
1990,Men,67 years and older,Number - conditional,10029
1990,Men,75 years and older,Number - conditional,4535
1990,Women,Total,10%,19500
1990,Women,16 - 24 years,10%,15500
1990,Women,16 - 64 years,10%,18600
1990,Women,16 - 74 years,10%,19300
1990,Women,18 - 66 years,10%,20400
1990,Women,25 - 54 years,10%,20900
1990,Women,25 - 64 years,10%,21600
1990,Women,25 - 74 years,10%,22500
1990,Women,55 - 74 years,10%,26200
1990,Women,67 years and older,10%,29300
1990,Women,75 years and older,10%,28500
1990,Women,Total,20%,35000
1990,Women,16 - 24 years,20%,22600
1990,Women,16 - 64 years,20%,33200
1990,Women,16 - 74 years,20%,34100
1990,Women,18 - 66 years,20%,36800
1990,Women,25 - 54 years,20%,42100
1990,Women,25 - 64 years,20%,42400
1990,Women,25 - 74 years,20%,41900
1990,Women,55 - 74 years,20%,41600
1990,Women,67 years and older,20%,42400
1990,Women,75 years and older,20%,43700
1990,Women,Total,30%,47600
1990,Women,16 - 24 years,30%,29100
1990,Women,16 - 64 years,30%,46700
1990,Women,16 - 74 years,30%,47000
1990,Women,18 - 66 years,30%,50000
1990,Women,25 - 54 years,30%,56300
1990,Women,25 - 64 years,30%,56100
1990,Women,25 - 74 years,30%,54900
1990,Women,55 - 74 years,30%,51900
1990,Women,67 years and older,30%,50900
1990,Women,75 years and older,30%,52600
1990,Women,Total,40%,58400
1990,Women,16 - 24 years,40%,35900
1990,Women,16 - 64 years,40%,58500
1990,Women,16 - 74 years,40%,58300
1990,Women,18 - 66 years,40%,61600
1990,Women,25 - 54 years,40%,67200
1990,Women,25 - 64 years,40%,66900
1990,Women,25 - 74 years,40%,65300
1990,Women,55 - 74 years,40%,61600
1990,Women,67 years and older,40%,58200
1990,Women,75 years and older,40%,58800
1990,Women,Total,50%,67600
1990,Women,16 - 24 years,50%,44000
1990,Women,16 - 64 years,50%,68900
1990,Women,16 - 74 years,50%,68400
1990,Women,18 - 66 years,50%,71300
1990,Women,25 - 54 years,50%,77700
1990,Women,25 - 64 years,50%,77100
1990,Women,25 - 74 years,50%,75100
1990,Women,55 - 74 years,50%,69800
1990,Women,67 years and older,50%,63700
1990,Women,75 years and older,50%,63300
1990,Women,Total,60%,77700
1990,Women,16 - 24 years,60%,52700
1990,Women,16 - 64 years,60%,79900
1990,Women,16 - 74 years,60%,79000
1990,Women,18 - 66 years,60%,82200
1990,Women,25 - 54 years,60%,89900
1990,Women,25 - 64 years,60%,89000
1990,Women,25 - 74 years,60%,86500
1990,Women,55 - 74 years,60%,79300
1990,Women,67 years and older,60%,69400
1990,Women,75 years and older,60%,67900
1990,Women,Total,70%,90200
1990,Women,16 - 24 years,70%,62900
1990,Women,16 - 64 years,70%,93400
1990,Women,16 - 74 years,70%,92100
1990,Women,18 - 66 years,70%,95600
1990,Women,25 - 54 years,70%,104000
1990,Women,25 - 64 years,70%,102800
1990,Women,25 - 74 years,70%,100100
1990,Women,55 - 74 years,70%,90400
1990,Women,67 years and older,70%,77500
1990,Women,75 years and older,70%,74200
1990,Women,Total,80%,107200
1990,Women,16 - 24 years,80%,73700
1990,Women,16 - 64 years,80%,111000
1990,Women,16 - 74 years,80%,109400
1990,Women,18 - 66 years,80%,113200
1990,Women,25 - 54 years,80%,122800
1990,Women,25 - 64 years,80%,121100
1990,Women,25 - 74 years,80%,118200
1990,Women,55 - 74 years,80%,105900
1990,Women,67 years and older,80%,87700
1990,Women,75 years and older,80%,84100
1990,Women,Total,90%,136000
1990,Women,16 - 24 years,90%,90100
1990,Women,16 - 64 years,90%,139600
1990,Women,16 - 74 years,90%,138200
1990,Women,18 - 66 years,90%,141600
1990,Women,25 - 54 years,90%,151400
1990,Women,25 - 64 years,90%,149600
1990,Women,25 - 74 years,90%,146800
1990,Women,55 - 74 years,90%,133200
1990,Women,67 years and older,90%,107400
1990,Women,75 years and older,90%,97100
1990,Women,Total,95%,163700
1990,Women,16 - 24 years,95%,105200
1990,Women,16 - 64 years,95%,167400
1990,Women,16 - 74 years,95%,165700
1990,Women,18 - 66 years,95%,169600
1990,Women,25 - 54 years,95%,179800
1990,Women,25 - 64 years,95%,177700
1990,Women,25 - 74 years,95%,175300
1990,Women,55 - 74 years,95%,161000
1990,Women,67 years and older,95%,133600
1990,Women,75 years and older,95%,118100
1990,Women,Total,99%,239700
1990,Women,16 - 24 years,99%,139300
1990,Women,16 - 64 years,99%,241600
1990,Women,16 - 74 years,99%,241400
1990,Women,18 - 66 years,99%,246600
1990,Women,25 - 54 years,99%,255800
1990,Women,25 - 64 years,99%,256300
1990,Women,25 - 74 years,99%,255700
1990,Women,55 - 74 years,99%,254300
1990,Women,67 years and older,99%,223600
1990,Women,75 years and older,99%,202100
1990,Women,Total,Mean - conditional,75300
1990,Women,16 - 24 years,Mean - conditional,49400
1990,Women,16 - 64 years,Mean - conditional,76300
1990,Women,16 - 74 years,Mean - conditional,76000
1990,Women,18 - 66 years,Mean - conditional,78800
1990,Women,25 - 54 years,Mean - conditional,85200
1990,Women,25 - 64 years,Mean - conditional,84700
1990,Women,25 - 74 years,Mean - conditional,83100
1990,Women,55 - 74 years,Mean - conditional,77900
1990,Women,67 years and older,Mean - conditional,69500
1990,Women,75 years and older,Mean - conditional,66700
1990,Women,Total,Number - conditional,86445
1990,Women,16 - 24 years,Number - conditional,16969
1990,Women,16 - 64 years,Number - conditional,71926
1990,Women,16 - 74 years,Number - conditional,79928
1990,Women,18 - 66 years,Number - conditional,69795
1990,Women,25 - 54 years,Number - conditional,45062
1990,Women,25 - 64 years,Number - conditional,54957
1990,Women,25 - 74 years,Number - conditional,62959
1990,Women,55 - 74 years,Number - conditional,17897
1990,Women,67 years and older,Number - conditional,12809
1990,Women,75 years and older,Number - conditional,6517
1991,Total,Total,10%,29000
1991,Total,16 - 24 years,10%,18400
1991,Total,16 - 64 years,10%,27500
1991,Total,16 - 74 years,10%,28600
1991,Total,18 - 66 years,10%,32500
1991,Total,25 - 54 years,10%,39300
1991,Total,25 - 64 years,10%,40300
1991,Total,25 - 74 years,10%,40700
1991,Total,55 - 74 years,10%,43000
1991,Total,67 years and older,10%,41300
1991,Total,75 years and older,10%,40900
1991,Total,Total,20%,50200
1991,Total,16 - 24 years,20%,27000
1991,Total,16 - 64 years,20%,48700
1991,Total,16 - 74 years,20%,49700
1991,Total,18 - 66 years,20%,54700
1991,Total,25 - 54 years,20%,65200
1991,Total,25 - 64 years,20%,65000
1991,Total,25 - 74 years,20%,63400
1991,Total,55 - 74 years,20%,60200
1991,Total,67 years and older,20%,54900
1991,Total,75 years and older,20%,53800
1991,Total,Total,30%,66300
1991,Total,16 - 24 years,30%,35500
1991,Total,16 - 64 years,30%,66800
1991,Total,16 - 74 years,30%,66900
1991,Total,18 - 66 years,30%,71500
1991,Total,25 - 54 years,30%,82300
1991,Total,25 - 64 years,30%,81800
1991,Total,25 - 74 years,30%,78900
1991,Total,55 - 74 years,30%,72800
1991,Total,67 years and older,30%,64100
1991,Total,75 years and older,30%,62000
1991,Total,Total,40%,79300
1991,Total,16 - 24 years,40%,45000
1991,Total,16 - 64 years,40%,82200
1991,Total,16 - 74 years,40%,81400
1991,Total,18 - 66 years,40%,87200
1991,Total,25 - 54 years,40%,101300
1991,Total,25 - 64 years,40%,100000
1991,Total,25 - 74 years,40%,95900
1991,Total,55 - 74 years,40%,85200
1991,Total,67 years and older,40%,71600
1991,Total,75 years and older,40%,68900
1991,Total,Total,50%,95700
1991,Total,16 - 24 years,50%,55600
1991,Total,16 - 64 years,50%,100700
1991,Total,16 - 74 years,50%,99100
1991,Total,18 - 66 years,50%,105800
1991,Total,25 - 54 years,50%,122500
1991,Total,25 - 64 years,50%,120400
1991,Total,25 - 74 years,50%,115400
1991,Total,55 - 74 years,50%,99900
1991,Total,67 years and older,50%,77800
1991,Total,75 years and older,50%,73700
1991,Total,Total,60%,116200
1991,Total,16 - 24 years,60%,67200
1991,Total,16 - 64 years,60%,122900
1991,Total,16 - 74 years,60%,120700
1991,Total,18 - 66 years,60%,128000
1991,Total,25 - 54 years,60%,146100
1991,Total,25 - 64 years,60%,143400
1991,Total,25 - 74 years,60%,138200
1991,Total,55 - 74 years,60%,118200
1991,Total,67 years and older,60%,87800
1991,Total,75 years and older,60%,79600
1991,Total,Total,70%,142600
1991,Total,16 - 24 years,70%,79700
1991,Total,16 - 64 years,70%,150200
1991,Total,16 - 74 years,70%,147400
1991,Total,18 - 66 years,70%,154800
1991,Total,25 - 54 years,70%,174600
1991,Total,25 - 64 years,70%,171200
1991,Total,25 - 74 years,70%,165500
1991,Total,55 - 74 years,70%,141700
1991,Total,67 years and older,70%,99800
1991,Total,75 years and older,70%,89300
1991,Total,Total,80%,178800
1991,Total,16 - 24 years,80%,97900
1991,Total,16 - 64 years,80%,186800
1991,Total,16 - 74 years,80%,183600
1991,Total,18 - 66 years,80%,191000
1991,Total,25 - 54 years,80%,210600
1991,Total,25 - 64 years,80%,207200
1991,Total,25 - 74 years,80%,201400
1991,Total,55 - 74 years,80%,173100
1991,Total,67 years and older,80%,120400
1991,Total,75 years and older,80%,101100
1991,Total,Total,90%,239400
1991,Total,16 - 24 years,90%,128200
1991,Total,16 - 64 years,90%,248100
1991,Total,16 - 74 years,90%,244300
1991,Total,18 - 66 years,90%,252400
1991,Total,25 - 54 years,90%,274000
1991,Total,25 - 64 years,90%,270600
1991,Total,25 - 74 years,90%,264000
1991,Total,55 - 74 years,90%,229200
1991,Total,67 years and older,90%,163700
1991,Total,75 years and older,90%,124800
1991,Total,Total,95%,306100
1991,Total,16 - 24 years,95%,161000
1991,Total,16 - 64 years,95%,315600
1991,Total,16 - 74 years,95%,311800
1991,Total,18 - 66 years,95%,320500
1991,Total,25 - 54 years,95%,341800
1991,Total,25 - 64 years,95%,339500
1991,Total,25 - 74 years,95%,333500
1991,Total,55 - 74 years,95%,303400
1991,Total,67 years and older,95%,214900
1991,Total,75 years and older,95%,159700
1991,Total,Total,99%,491600
1991,Total,16 - 24 years,99%,251600
1991,Total,16 - 64 years,99%,497000
1991,Total,16 - 74 years,99%,496600
1991,Total,18 - 66 years,99%,502600
1991,Total,25 - 54 years,99%,523400
1991,Total,25 - 64 years,99%,529100
1991,Total,25 - 74 years,99%,526500
1991,Total,55 - 74 years,99%,532700
1991,Total,67 years and older,99%,412300
1991,Total,75 years and older,99%,320800
1991,Total,Total,Mean - conditional,122300
1991,Total,16 - 24 years,Mean - conditional,66900
1991,Total,16 - 64 years,Mean - conditional,126200
1991,Total,16 - 74 years,Mean - conditional,125000
1991,Total,18 - 66 years,Mean - conditional,131000
1991,Total,25 - 54 years,Mean - conditional,145800
1991,Total,25 - 64 years,Mean - conditional,144400
1991,Total,25 - 74 years,Mean - conditional,140600
1991,Total,55 - 74 years,Mean - conditional,126800
1991,Total,67 years and older,Mean - conditional,97400
1991,Total,75 years and older,Mean - conditional,84400
1991,Total,Total,Number - conditional,174721
1991,Total,16 - 24 years,Number - conditional,34667
1991,Total,16 - 64 years,Number - conditional,147778
1991,Total,16 - 74 years,Number - conditional,163373
1991,Total,18 - 66 years,Number - conditional,143597
1991,Total,25 - 54 years,Number - conditional,93584
1991,Total,25 - 64 years,Number - conditional,113111
1991,Total,25 - 74 years,Number - conditional,128706
1991,Total,55 - 74 years,Number - conditional,35122
1991,Total,67 years and older,Number - conditional,23394
1991,Total,75 years and older,Number - conditional,11348
1991,Men,Total,10%,44700
1991,Men,16 - 24 years,10%,20600
1991,Men,16 - 64 years,10%,42000
1991,Men,16 - 74 years,10%,44000
1991,Men,18 - 66 years,10%,53500
1991,Men,25 - 54 years,10%,72900
1991,Men,25 - 64 years,10%,72500
1991,Men,25 - 74 years,10%,69700
1991,Men,55 - 74 years,10%,64100
1991,Men,67 years and older,10%,55500
1991,Men,75 years and older,10%,52300
1991,Men,Total,20%,69800
1991,Men,16 - 24 years,20%,30600
1991,Men,16 - 64 years,20%,70900
1991,Men,16 - 74 years,20%,71200
1991,Men,18 - 66 years,20%,80200
1991,Men,25 - 54 years,20%,105000
1991,Men,25 - 64 years,20%,103100
1991,Men,25 - 74 years,20%,96900
1991,Men,55 - 74 years,20%,81600
1991,Men,67 years and older,20%,65200
1991,Men,75 years and older,20%,61200
1991,Men,Total,30%,90600
1991,Men,16 - 24 years,30%,41200
1991,Men,16 - 64 years,30%,96900
1991,Men,16 - 74 years,30%,95300
1991,Men,18 - 66 years,30%,105800
1991,Men,25 - 54 years,30%,131300
1991,Men,25 - 64 years,30%,128500
1991,Men,25 - 74 years,30%,121900
1991,Men,55 - 74 years,30%,100900
1991,Men,67 years and older,30%,72900
1991,Men,75 years and older,30%,67600
1991,Men,Total,40%,114400
1991,Men,16 - 24 years,40%,53600
1991,Men,16 - 64 years,40%,122300
1991,Men,16 - 74 years,40%,120000
1991,Men,18 - 66 years,40%,129700
1991,Men,25 - 54 years,40%,153800
1991,Men,25 - 64 years,40%,150600
1991,Men,25 - 74 years,40%,144400
1991,Men,55 - 74 years,40%,120900
1991,Men,67 years and older,40%,81500
1991,Men,75 years and older,40%,73000
1991,Men,Total,50%,138800
1991,Men,16 - 24 years,50%,66500
1991,Men,16 - 64 years,50%,146500
1991,Men,16 - 74 years,50%,143800
1991,Men,18 - 66 years,50%,152900
1991,Men,25 - 54 years,50%,176300
1991,Men,25 - 64 years,50%,172700
1991,Men,25 - 74 years,50%,166500
1991,Men,55 - 74 years,50%,141200
1991,Men,67 years and older,50%,93500
1991,Men,75 years and older,50%,79600
1991,Men,Total,60%,164500
1991,Men,16 - 24 years,60%,79700
1991,Men,16 - 64 years,60%,172300
1991,Men,16 - 74 years,60%,168900
1991,Men,18 - 66 years,60%,177600
1991,Men,25 - 54 years,60%,199800
1991,Men,25 - 64 years,60%,196200
1991,Men,25 - 74 years,60%,189800
1991,Men,55 - 74 years,60%,161700
1991,Men,67 years and older,60%,107000
1991,Men,75 years and older,60%,88900
1991,Men,Total,70%,193300
1991,Men,16 - 24 years,70%,98200
1991,Men,16 - 64 years,70%,201300
1991,Men,16 - 74 years,70%,197800
1991,Men,18 - 66 years,70%,205600
1991,Men,25 - 54 years,70%,228100
1991,Men,25 - 64 years,70%,224100
1991,Men,25 - 74 years,70%,217900
1991,Men,55 - 74 years,70%,186500
1991,Men,67 years and older,70%,127600
1991,Men,75 years and older,70%,100300
1991,Men,Total,80%,231900
1991,Men,16 - 24 years,80%,121400
1991,Men,16 - 64 years,80%,240100
1991,Men,16 - 74 years,80%,236200
1991,Men,18 - 66 years,80%,244500
1991,Men,25 - 54 years,80%,267700
1991,Men,25 - 64 years,80%,263400
1991,Men,25 - 74 years,80%,257300
1991,Men,55 - 74 years,80%,221800
1991,Men,67 years and older,80%,157300
1991,Men,75 years and older,80%,115100
1991,Men,Total,90%,300800
1991,Men,16 - 24 years,90%,156700
1991,Men,16 - 64 years,90%,309000
1991,Men,16 - 74 years,90%,305300
1991,Men,18 - 66 years,90%,314400
1991,Men,25 - 54 years,90%,336200
1991,Men,25 - 64 years,90%,333800
1991,Men,25 - 74 years,90%,328400
1991,Men,55 - 74 years,90%,294900
1991,Men,67 years and older,90%,209400
1991,Men,75 years and older,90%,150100
1991,Men,Total,95%,373900
1991,Men,16 - 24 years,95%,193600
1991,Men,16 - 64 years,95%,381500
1991,Men,16 - 74 years,95%,378600
1991,Men,18 - 66 years,95%,387400
1991,Men,25 - 54 years,95%,411300
1991,Men,25 - 64 years,95%,411700
1991,Men,25 - 74 years,95%,405200
1991,Men,55 - 74 years,95%,384900
1991,Men,67 years and older,95%,277200
1991,Men,75 years and older,95%,202000
1991,Men,Total,99%,572100
1991,Men,16 - 24 years,99%,291700
1991,Men,16 - 64 years,99%,576200
1991,Men,16 - 74 years,99%,577500
1991,Men,18 - 66 years,99%,583200
1991,Men,25 - 54 years,99%,607300
1991,Men,25 - 64 years,99%,615800
1991,Men,25 - 74 years,99%,614000
1991,Men,55 - 74 years,99%,637100
1991,Men,67 years and older,99%,532000
1991,Men,75 years and older,99%,392400
1991,Men,Total,Mean - conditional,161900
1991,Men,16 - 24 years,Mean - conditional,80200
1991,Men,16 - 64 years,Mean - conditional,167200
1991,Men,16 - 74 years,Mean - conditional,165500
1991,Men,18 - 66 years,Mean - conditional,174100
1991,Men,25 - 54 years,Mean - conditional,196300
1991,Men,25 - 64 years,Mean - conditional,194300
1991,Men,25 - 74 years,Mean - conditional,188900
1991,Men,55 - 74 years,Mean - conditional,168500
1991,Men,67 years and older,Mean - conditional,122400
1991,Men,75 years and older,Mean - conditional,99200
