Year,Quarter,Region,Sex,Age,employment_description,Rate
2003,Q3,Outside Capital region,Total,25-54,employment,0.905
2003,Q3,Outside Capital region,Total,55-74,employment,0.678
2003,Q3,Outside Capital region,Total,16-64,employment,0.88
2003,Q3,Outside Capital region,Total,25-64,employment,0.891
2003,Q3,Outside Capital region,Males,16-74,employment,0.857
2003,Q3,Outside Capital region,Males,16-24,employment,0.813
2003,Q3,Outside Capital region,Males,25-54,employment,0.94
2003,Q3,Outside Capital region,Males,55-74,employment,0.711
2003,Q3,Outside Capital region,Males,16-64,employment,0.901
2003,Q3,Outside Capital region,Males,25-64,employment,0.924
2003,Q3,Outside Capital region,Females,16-74,employment,0.814
2003,Q3,Outside Capital region,Females,16-24,employment,0.864
2003,Q3,Outside Capital region,Females,25-54,employment,0.868
2003,Q3,Outside Capital region,Females,55-74,employment,0.638
2003,Q3,Outside Capital region,Females,16-64,employment,0.857
2003,Q3,Outside Capital region,Females,25-64,employment,0.856
2003,Q4,Total,Total,16-74,employment,0.777
2003,Q4,Total,Total,16-24,employment,0.613
2003,Q4,Total,Total,25-54,employment,0.885
2003,Q4,Total,Total,55-74,employment,0.622
2003,Q4,Total,Total,16-64,employment,0.823
2003,Q4,Total,Total,25-64,employment,0.876
2003,Q4,Total,Males,16-74,employment,0.811
2003,Q4,Total,Males,16-24,employment,0.632
2003,Q4,Total,Males,25-54,employment,0.911
2003,Q4,Total,Males,55-74,employment,0.696
2003,Q4,Total,Males,16-64,employment,0.851
2003,Q4,Total,Males,25-64,employment,0.909
2003,Q4,Total,Females,16-74,employment,0.742
2003,Q4,Total,Females,16-24,employment,0.594
2003,Q4,Total,Females,25-54,employment,0.86
2003,Q4,Total,Females,55-74,employment,0.549
2003,Q4,Total,Females,16-64,employment,0.794
2003,Q4,Total,Females,25-64,employment,0.843
2003,Q4,Capital region,Total,16-74,employment,0.768
2003,Q4,Capital region,Total,16-24,employment,0.609
2003,Q4,Capital region,Total,25-54,employment,0.885
2003,Q4,Capital region,Total,55-74,employment,0.595
2003,Q4,Capital region,Total,16-64,employment,0.816
2003,Q4,Capital region,Total,25-64,employment,0.875
2003,Q4,Capital region,Males,16-74,employment,0.799
2003,Q4,Capital region,Males,16-24,employment,0.637
2003,Q4,Capital region,Males,25-54,employment,0.897
2003,Q4,Capital region,Males,55-74,employment,0.669
2003,Q4,Capital region,Males,16-64,employment,0.84
2003,Q4,Capital region,Males,25-64,employment,0.895
2003,Q4,Capital region,Females,16-74,employment,0.737
2003,Q4,Capital region,Females,16-24,employment,0.583
2003,Q4,Capital region,Females,25-54,employment,0.872
2003,Q4,Capital region,Females,55-74,employment,0.527
2003,Q4,Capital region,Females,16-64,employment,0.793
2003,Q4,Capital region,Females,25-64,employment,0.854
2003,Q4,Outside Capital region,Total,16-74,employment,0.794
2003,Q4,Outside Capital region,Total,16-24,employment,0.624
2003,Q4,Outside Capital region,Total,25-54,employment,0.886
2003,Q4,Outside Capital region,Total,55-74,employment,0.666
2003,Q4,Outside Capital region,Total,16-64,employment,0.835
2003,Q4,Outside Capital region,Total,25-64,employment,0.879
2003,Q4,Outside Capital region,Males,16-74,employment,0.832
2003,Q4,Outside Capital region,Males,16-24,employment,0.623
2003,Q4,Outside Capital region,Males,25-54,employment,0.934
2003,Q4,Outside Capital region,Males,55-74,employment,0.737
2003,Q4,Outside Capital region,Males,16-64,employment,0.87
2003,Q4,Outside Capital region,Males,25-64,employment,0.931
2003,Q4,Outside Capital region,Females,16-74,employment,0.752
2003,Q4,Outside Capital region,Females,16-24,employment,0.626
2003,Q4,Outside Capital region,Females,25-54,employment,0.838
2003,Q4,Outside Capital region,Females,55-74,employment,0.588
2003,Q4,Outside Capital region,Females,16-64,employment,0.796
2003,Q4,Outside Capital region,Females,25-64,employment,0.825
2004,Q1,Total,Total,16-74,employment,0.766
2004,Q1,Total,Total,16-24,employment,0.581
2004,Q1,Total,Total,25-54,employment,0.877
2004,Q1,Total,Total,55-74,employment,0.62
2004,Q1,Total,Total,16-64,employment,0.809
2004,Q1,Total,Total,25-64,employment,0.867
2004,Q1,Total,Males,16-74,employment,0.796
2004,Q1,Total,Males,16-24,employment,0.572
2004,Q1,Total,Males,25-54,employment,0.908
2004,Q1,Total,Males,55-74,employment,0.677
2004,Q1,Total,Males,16-64,employment,0.832
2004,Q1,Total,Males,25-64,employment,0.898
2004,Q1,Total,Females,16-74,employment,0.736
2004,Q1,Total,Females,16-24,employment,0.591
2004,Q1,Total,Females,25-54,employment,0.845
2004,Q1,Total,Females,55-74,employment,0.563
2004,Q1,Total,Females,16-64,employment,0.786
2004,Q1,Total,Females,25-64,employment,0.835
2004,Q1,Capital region,Total,16-74,employment,0.759
2004,Q1,Capital region,Total,16-24,employment,0.591
2004,Q1,Capital region,Total,25-54,employment,0.867
2004,Q1,Capital region,Total,55-74,employment,0.608
2004,Q1,Capital region,Total,16-64,employment,0.802
2004,Q1,Capital region,Total,25-64,employment,0.86
2004,Q1,Capital region,Males,16-74,employment,0.783
2004,Q1,Capital region,Males,16-24,employment,0.569
2004,Q1,Capital region,Males,25-54,employment,0.899
2004,Q1,Capital region,Males,55-74,employment,0.642
2004,Q1,Capital region,Males,16-64,employment,0.819
2004,Q1,Capital region,Males,25-64,employment,0.887
2004,Q1,Capital region,Females,16-74,employment,0.736
2004,Q1,Capital region,Females,16-24,employment,0.612
2004,Q1,Capital region,Females,25-54,employment,0.836
2004,Q1,Capital region,Females,55-74,employment,0.576
2004,Q1,Capital region,Females,16-64,employment,0.784
2004,Q1,Capital region,Females,25-64,employment,0.834
2004,Q1,Outside Capital region,Total,16-74,employment,0.779
2004,Q1,Outside Capital region,Total,16-24,employment,0.559
2004,Q1,Outside Capital region,Total,25-54,employment,0.895
2004,Q1,Outside Capital region,Total,55-74,employment,0.637
2004,Q1,Outside Capital region,Total,16-64,employment,0.824
2004,Q1,Outside Capital region,Total,25-64,employment,0.879
2004,Q1,Outside Capital region,Males,16-74,employment,0.819
2004,Q1,Outside Capital region,Males,16-24,employment,0.579
2004,Q1,Outside Capital region,Males,25-54,employment,0.925
2004,Q1,Outside Capital region,Males,55-74,employment,0.728
2004,Q1,Outside Capital region,Males,16-64,employment,0.856
2004,Q1,Outside Capital region,Males,25-64,employment,0.918
2004,Q1,Outside Capital region,Females,16-74,employment,0.736
2004,Q1,Outside Capital region,Females,16-24,employment,0.533
2004,Q1,Outside Capital region,Females,25-54,employment,0.863
2004,Q1,Outside Capital region,Females,55-74,employment,0.543
2004,Q1,Outside Capital region,Females,16-64,employment,0.79
2004,Q1,Outside Capital region,Females,25-64,employment,0.839
2004,Q2,Total,Total,16-74,employment,0.795
2004,Q2,Total,Total,16-24,employment,0.711
2004,Q2,Total,Total,25-54,employment,0.893
2004,Q2,Total,Total,55-74,employment,0.6
2004,Q2,Total,Total,16-64,employment,0.843
2004,Q2,Total,Total,25-64,employment,0.876
2004,Q2,Total,Males,16-74,employment,0.831
2004,Q2,Total,Males,16-24,employment,0.697
2004,Q2,Total,Males,25-54,employment,0.932
2004,Q2,Total,Males,55-74,employment,0.664
2004,Q2,Total,Males,16-64,employment,0.872
2004,Q2,Total,Males,25-64,employment,0.916
2004,Q2,Total,Females,16-74,employment,0.758
2004,Q2,Total,Females,16-24,employment,0.725
2004,Q2,Total,Females,25-54,employment,0.853
2004,Q2,Total,Females,55-74,employment,0.536
2004,Q2,Total,Females,16-64,employment,0.812
2004,Q2,Total,Females,25-64,employment,0.834
2004,Q2,Capital region,Total,16-74,employment,0.802
2004,Q2,Capital region,Total,16-24,employment,0.72
2004,Q2,Capital region,Total,25-54,employment,0.892
2004,Q2,Capital region,Total,55-74,employment,0.617
2004,Q2,Capital region,Total,16-64,employment,0.845
2004,Q2,Capital region,Total,25-64,employment,0.879
2004,Q2,Capital region,Males,16-74,employment,0.836
2004,Q2,Capital region,Males,16-24,employment,0.698
2004,Q2,Capital region,Males,25-54,employment,0.933
2004,Q2,Capital region,Males,55-74,employment,0.666
2004,Q2,Capital region,Males,16-64,employment,0.873
2004,Q2,Capital region,Males,25-64,employment,0.92
2004,Q2,Capital region,Females,16-74,employment,0.77
2004,Q2,Capital region,Females,16-24,employment,0.741
2004,Q2,Capital region,Females,25-54,employment,0.852
2004,Q2,Capital region,Females,55-74,employment,0.576
2004,Q2,Capital region,Females,16-64,employment,0.818
2004,Q2,Capital region,Females,25-64,employment,0.838
2004,Q2,Outside Capital region,Total,16-74,employment,0.782
2004,Q2,Outside Capital region,Total,16-24,employment,0.691
2004,Q2,Outside Capital region,Total,25-54,employment,0.894
2004,Q2,Outside Capital region,Total,55-74,employment,0.575
2004,Q2,Outside Capital region,Total,16-64,employment,0.839
2004,Q2,Outside Capital region,Total,25-64,employment,0.87
2004,Q2,Outside Capital region,Males,16-74,employment,0.823
2004,Q2,Outside Capital region,Males,16-24,employment,0.695
2004,Q2,Outside Capital region,Males,25-54,employment,0.93
2004,Q2,Outside Capital region,Males,55-74,employment,0.663
2004,Q2,Outside Capital region,Males,16-64,employment,0.872
2004,Q2,Outside Capital region,Males,25-64,employment,0.91
2004,Q2,Outside Capital region,Females,16-74,employment,0.735
2004,Q2,Outside Capital region,Females,16-24,employment,0.685
2004,Q2,Outside Capital region,Females,25-54,employment,0.855
2004,Q2,Outside Capital region,Females,55-74,employment,0.467
2004,Q2,Outside Capital region,Females,16-64,employment,0.801
2004,Q2,Outside Capital region,Females,25-64,employment,0.825
2004,Q3,Total,Total,16-74,employment,0.795
2004,Q3,Total,Total,16-24,employment,0.742
2004,Q3,Total,Total,25-54,employment,0.883
2004,Q3,Total,Total,55-74,employment,0.605
2004,Q3,Total,Total,16-64,employment,0.844
2004,Q3,Total,Total,25-64,employment,0.869
2004,Q3,Total,Males,16-74,employment,0.844
2004,Q3,Total,Males,16-24,employment,0.738
2004,Q3,Total,Males,25-54,employment,0.934
2004,Q3,Total,Males,55-74,employment,0.691
2004,Q3,Total,Males,16-64,employment,0.885
2004,Q3,Total,Males,25-64,employment,0.921
2004,Q3,Total,Females,16-74,employment,0.746
2004,Q3,Total,Females,16-24,employment,0.746
2004,Q3,Total,Females,25-54,employment,0.833
2004,Q3,Total,Females,55-74,employment,0.519
2004,Q3,Total,Females,16-64,employment,0.802
2004,Q3,Total,Females,25-64,employment,0.817
2004,Q3,Capital region,Total,16-74,employment,0.794
2004,Q3,Capital region,Total,16-24,employment,0.733
2004,Q3,Capital region,Total,25-54,employment,0.877
2004,Q3,Capital region,Total,55-74,employment,0.615
2004,Q3,Capital region,Total,16-64,employment,0.836
2004,Q3,Capital region,Total,25-64,employment,0.864
2004,Q3,Capital region,Males,16-74,employment,0.838
2004,Q3,Capital region,Males,16-24,employment,0.711
2004,Q3,Capital region,Males,25-54,employment,0.928
2004,Q3,Capital region,Males,55-74,employment,0.688
2004,Q3,Capital region,Males,16-64,employment,0.873
2004,Q3,Capital region,Males,25-64,employment,0.917
2004,Q3,Capital region,Females,16-74,employment,0.752
2004,Q3,Capital region,Females,16-24,employment,0.753
2004,Q3,Capital region,Females,25-54,employment,0.826
2004,Q3,Capital region,Females,55-74,employment,0.55
2004,Q3,Capital region,Females,16-64,employment,0.8
2004,Q3,Capital region,Females,25-64,employment,0.813
2004,Q3,Outside Capital region,Total,16-74,employment,0.798
2004,Q3,Outside Capital region,Total,16-24,employment,0.763
2004,Q3,Outside Capital region,Total,25-54,employment,0.895
2004,Q3,Outside Capital region,Total,55-74,employment,0.589
2004,Q3,Outside Capital region,Total,16-64,employment,0.858
2004,Q3,Outside Capital region,Total,25-64,employment,0.878
2004,Q3,Outside Capital region,Males,16-74,employment,0.856
2004,Q3,Outside Capital region,Males,16-24,employment,0.794
2004,Q3,Outside Capital region,Males,25-54,employment,0.943
2004,Q3,Outside Capital region,Males,55-74,employment,0.696
2004,Q3,Outside Capital region,Males,16-64,employment,0.904
2004,Q3,Outside Capital region,Males,25-64,employment,0.928
2004,Q3,Outside Capital region,Females,16-74,employment,0.734
2004,Q3,Outside Capital region,Females,16-24,employment,0.726
2004,Q3,Outside Capital region,Females,25-54,employment,0.845
2004,Q3,Outside Capital region,Females,55-74,employment,0.468
2004,Q3,Outside Capital region,Females,16-64,employment,0.807
2004,Q3,Outside Capital region,Females,25-64,employment,0.823
2004,Q4,Total,Total,16-74,employment,0.779
2004,Q4,Total,Total,16-24,employment,0.623
2004,Q4,Total,Total,25-54,employment,0.877
2004,Q4,Total,Total,55-74,employment,0.643
2004,Q4,Total,Total,16-64,employment,0.823
2004,Q4,Total,Total,25-64,employment,0.873
2004,Q4,Total,Males,16-74,employment,0.826
2004,Q4,Total,Males,16-24,employment,0.597
2004,Q4,Total,Males,25-54,employment,0.929
2004,Q4,Total,Males,55-74,employment,0.741
2004,Q4,Total,Males,16-64,employment,0.861
2004,Q4,Total,Males,25-64,employment,0.928
2004,Q4,Total,Females,16-74,employment,0.731
2004,Q4,Total,Females,16-24,employment,0.65
2004,Q4,Total,Females,25-54,employment,0.825
2004,Q4,Total,Females,55-74,employment,0.545
2004,Q4,Total,Females,16-64,employment,0.785
2004,Q4,Total,Females,25-64,employment,0.818
2004,Q4,Capital region,Total,16-74,employment,0.773
2004,Q4,Capital region,Total,16-24,employment,0.624
2004,Q4,Capital region,Total,25-54,employment,0.873
2004,Q4,Capital region,Total,55-74,employment,0.629
2004,Q4,Capital region,Total,16-64,employment,0.816
2004,Q4,Capital region,Total,25-64,employment,0.87
2004,Q4,Capital region,Males,16-74,employment,0.812
2004,Q4,Capital region,Males,16-24,employment,0.588
2004,Q4,Capital region,Males,25-54,employment,0.93
2004,Q4,Capital region,Males,55-74,employment,0.692
2004,Q4,Capital region,Males,16-64,employment,0.851
2004,Q4,Capital region,Males,25-64,employment,0.926
2004,Q4,Capital region,Females,16-74,employment,0.735
2004,Q4,Capital region,Females,16-24,employment,0.66
2004,Q4,Capital region,Females,25-54,employment,0.818
2004,Q4,Capital region,Females,55-74,employment,0.568
2004,Q4,Capital region,Females,16-64,employment,0.782
2004,Q4,Capital region,Females,25-64,employment,0.815
2004,Q4,Outside Capital region,Total,16-74,employment,0.79
2004,Q4,Outside Capital region,Total,16-24,employment,0.62
2004,Q4,Outside Capital region,Total,25-54,employment,0.884
2004,Q4,Outside Capital region,Total,55-74,employment,0.663
2004,Q4,Outside Capital region,Total,16-64,employment,0.838
2004,Q4,Outside Capital region,Total,25-64,employment,0.88
2004,Q4,Outside Capital region,Males,16-74,employment,0.851
2004,Q4,Outside Capital region,Males,16-24,employment,0.617
2004,Q4,Outside Capital region,Males,25-54,employment,0.928
2004,Q4,Outside Capital region,Males,55-74,employment,0.809
2004,Q4,Outside Capital region,Males,16-64,employment,0.878
2004,Q4,Outside Capital region,Males,25-64,employment,0.93
2004,Q4,Outside Capital region,Females,16-74,employment,0.723
2004,Q4,Outside Capital region,Females,16-24,employment,0.624
2004,Q4,Outside Capital region,Females,25-54,employment,0.836
2004,Q4,Outside Capital region,Females,55-74,employment,0.51
2004,Q4,Outside Capital region,Females,16-64,employment,0.793
2004,Q4,Outside Capital region,Females,25-64,employment,0.825
2005,Q1,Total,Total,16-74,employment,0.778
2005,Q1,Total,Total,16-24,employment,0.626
2005,Q1,Total,Total,25-54,employment,0.877
2005,Q1,Total,Total,55-74,employment,0.637
2005,Q1,Total,Total,16-64,employment,0.822
2005,Q1,Total,Total,25-64,employment,0.871
2005,Q1,Total,Males,16-74,employment,0.803
2005,Q1,Total,Males,16-24,employment,0.554
2005,Q1,Total,Males,25-54,employment,0.914
2005,Q1,Total,Males,55-74,employment,0.714
2005,Q1,Total,Males,16-64,employment,0.838
2005,Q1,Total,Males,25-64,employment,0.911
2005,Q1,Total,Females,16-74,employment,0.752
2005,Q1,Total,Females,16-24,employment,0.703
2005,Q1,Total,Females,25-54,employment,0.84
2005,Q1,Total,Females,55-74,employment,0.561
2005,Q1,Total,Females,16-64,employment,0.805
2005,Q1,Total,Females,25-64,employment,0.83
2005,Q1,Capital region,Total,16-74,employment,0.771
2005,Q1,Capital region,Total,16-24,employment,0.634
2005,Q1,Capital region,Total,25-54,employment,0.869
2005,Q1,Capital region,Total,55-74,employment,0.637
2005,Q1,Capital region,Total,16-64,employment,0.812
2005,Q1,Capital region,Total,25-64,employment,0.863
2005,Q1,Capital region,Males,16-74,employment,0.79
2005,Q1,Capital region,Males,16-24,employment,0.564
2005,Q1,Capital region,Males,25-54,employment,0.908
2005,Q1,Capital region,Males,55-74,employment,0.69
2005,Q1,Capital region,Males,16-64,employment,0.827
2005,Q1,Capital region,Males,25-64,employment,0.904
2005,Q1,Capital region,Females,16-74,employment,0.752
2005,Q1,Capital region,Females,16-24,employment,0.705
2005,Q1,Capital region,Females,25-54,employment,0.83
2005,Q1,Capital region,Females,55-74,employment,0.583
2005,Q1,Capital region,Females,16-64,employment,0.796
2005,Q1,Capital region,Females,25-64,employment,0.822
2005,Q1,Outside Capital region,Total,16-74,employment,0.79
2005,Q1,Outside Capital region,Total,16-24,employment,0.607
2005,Q1,Outside Capital region,Total,25-54,employment,0.892
2005,Q1,Outside Capital region,Total,55-74,employment,0.637
2005,Q1,Outside Capital region,Total,16-64,employment,0.841
2005,Q1,Outside Capital region,Total,25-64,employment,0.885
2005,Q1,Outside Capital region,Males,16-74,employment,0.826
2005,Q1,Outside Capital region,Males,16-24,employment,0.53
2005,Q1,Outside Capital region,Males,25-54,employment,0.923
2005,Q1,Outside Capital region,Males,55-74,employment,0.754
2005,Q1,Outside Capital region,Males,16-64,employment,0.857
2005,Q1,Outside Capital region,Males,25-64,employment,0.922
2005,Q1,Outside Capital region,Females,16-74,employment,0.752
2005,Q1,Outside Capital region,Females,16-24,employment,0.697
2005,Q1,Outside Capital region,Females,25-54,employment,0.858
2005,Q1,Outside Capital region,Females,55-74,employment,0.527
2005,Q1,Outside Capital region,Females,16-64,employment,0.823
2005,Q1,Outside Capital region,Females,25-64,employment,0.846
2005,Q2,Total,Total,16-74,employment,0.81
2005,Q2,Total,Total,16-24,employment,0.771
2005,Q2,Total,Total,25-54,employment,0.889
2005,Q2,Total,Total,55-74,employment,0.635
2005,Q2,Total,Total,16-64,employment,0.856
2005,Q2,Total,Total,25-64,employment,0.878
2005,Q2,Total,Males,16-74,employment,0.855
2005,Q2,Total,Males,16-24,employment,0.758
2005,Q2,Total,Males,25-54,employment,0.933
2005,Q2,Total,Males,55-74,employment,0.729
2005,Q2,Total,Males,16-64,employment,0.889
2005,Q2,Total,Males,25-64,employment,0.922
2005,Q2,Total,Females,16-74,employment,0.764
2005,Q2,Total,Females,16-24,employment,0.784
2005,Q2,Total,Females,25-54,employment,0.844
2005,Q2,Total,Females,55-74,employment,0.542
2005,Q2,Total,Females,16-64,employment,0.823
2005,Q2,Total,Females,25-64,employment,0.832
2005,Q2,Capital region,Total,16-74,employment,0.811
2005,Q2,Capital region,Total,16-24,employment,0.764
2005,Q2,Capital region,Total,25-54,employment,0.892
2005,Q2,Capital region,Total,55-74,employment,0.639
2005,Q2,Capital region,Total,16-64,employment,0.853
2005,Q2,Capital region,Total,25-64,employment,0.879
2005,Q2,Capital region,Males,16-74,employment,0.839
2005,Q2,Capital region,Males,16-24,employment,0.738
2005,Q2,Capital region,Males,25-54,employment,0.921
2005,Q2,Capital region,Males,55-74,employment,0.71
2005,Q2,Capital region,Males,16-64,employment,0.87
2005,Q2,Capital region,Males,25-64,employment,0.909
2005,Q2,Capital region,Females,16-74,employment,0.784
2005,Q2,Capital region,Females,16-24,employment,0.789
2005,Q2,Capital region,Females,25-54,employment,0.863
2005,Q2,Capital region,Females,55-74,employment,0.573
2005,Q2,Capital region,Females,16-64,employment,0.835
2005,Q2,Capital region,Females,25-64,employment,0.849
2005,Q2,Outside Capital region,Total,16-74,employment,0.808
2005,Q2,Outside Capital region,Total,16-24,employment,0.79
2005,Q2,Outside Capital region,Total,25-54,employment,0.884
2005,Q2,Outside Capital region,Total,55-74,employment,0.628
2005,Q2,Outside Capital region,Total,16-64,employment,0.863
2005,Q2,Outside Capital region,Total,25-64,employment,0.876
2005,Q2,Outside Capital region,Males,16-74,employment,0.883
2005,Q2,Outside Capital region,Males,16-24,employment,0.807
