Year,Quarter,Duration,Count,Percent
2006,Q4,Unemployed,4300,1.0
2006,Q4,Already found work,900,0.198
2006,Q4,Less than one month,1900,0.447
2006,Q4,1-2 months,700,0.15
2006,Q4,3-5 months,200,0.056
2006,Q4,6 to 11 months,100,0.03
2006,Q4,12 months or more,500,0.12
2007,Q1,Unemployed,3500,1.0
2007,Q1,Already found work,500,0.154
2007,Q1,Less than one month,1400,0.403
2007,Q1,1-2 months,700,0.209
2007,Q1,3-5 months,200,0.053
2007,Q1,6 to 11 months,100,0.017
2007,Q1,12 months or more,600,0.164
2007,Q2,Unemployed,5800,1.0
2007,Q2,Already found work,1900,0.331
2007,Q2,Less than one month,1900,0.323
2007,Q2,1-2 months,900,0.154
2007,Q2,3-5 months,500,0.093
2007,Q2,6 to 11 months,100,0.023
2007,Q2,12 months or more,400,0.076
2007,Q3,Unemployed,3800,1.0
2007,Q3,Already found work,1000,0.253
2007,Q3,Less than one month,1600,0.436
2007,Q3,1-2 months,700,0.195
2007,Q3,3-5 months,200,0.052
2007,Q3,6 to 11 months,100,0.031
2007,Q3,12 months or more,100,0.033
2007,Q4,Unemployed,3500,1.0
2007,Q4,Already found work,500,0.135
2007,Q4,Less than one month,1800,0.52
2007,Q4,1-2 months,600,0.163
2007,Q4,3-5 months,300,0.096
2007,Q4,6 to 11 months,100,0.016
2007,Q4,12 months or more,200,0.069
2008,Q1,Unemployed,4200,1.0
2008,Q1,Already found work,700,0.175
2008,Q1,Less than one month,1700,0.4
2008,Q1,1-2 months,1000,0.241
2008,Q1,3-5 months,300,0.084
2008,Q1,6 to 11 months,300,0.065
2008,Q1,12 months or more,100,0.035
2008,Q2,Unemployed,5700,1.0
2008,Q2,Already found work,1700,0.296
2008,Q2,Less than one month,2100,0.369
2008,Q2,1-2 months,1300,0.228
2008,Q2,3-5 months,300,0.049
2008,Q2,6 to 11 months,100,0.023
2008,Q2,12 months or more,200,0.035
2008,Q3,Unemployed,4800,1.0
2008,Q3,Already found work,1000,0.203
2008,Q3,Less than one month,1600,0.335
2008,Q3,1-2 months,1600,0.329
2008,Q3,3-5 months,400,0.076
2008,Q3,6 to 11 months,100,0.014
2008,Q3,12 months or more,200,0.042
2008,Q4,Unemployed,7400,1.0
2008,Q4,Already found work,400,0.059
2008,Q4,Less than one month,2500,0.341
2008,Q4,1-2 months,3100,0.415
2008,Q4,3-5 months,1000,0.14
2008,Q4,6 to 11 months,100,0.019
2008,Q4,12 months or more,200,0.025
2009,Q1,Unemployed,12700,1.0
2009,Q1,Already found work,400,0.035
2009,Q1,Less than one month,2400,0.192
2009,Q1,1-2 months,5700,0.446
2009,Q1,3-5 months,3100,0.241
2009,Q1,6 to 11 months,500,0.039
2009,Q1,12 months or more,600,0.048
2009,Q2,Unemployed,16700,1.0
2009,Q2,Already found work,1500,0.093
2009,Q2,Less than one month,3300,0.199
2009,Q2,1-2 months,4200,0.251
2009,Q2,3-5 months,4700,0.283
2009,Q2,6 to 11 months,2500,0.149
2009,Q2,12 months or more,400,0.025
2009,Q3,Unemployed,10900,1.0
2009,Q3,Already found work,800,0.074
2009,Q3,Less than one month,1500,0.14
2009,Q3,1-2 months,1800,0.169
2009,Q3,3-5 months,2800,0.252
2009,Q3,6 to 11 months,3200,0.293
2009,Q3,12 months or more,800,0.071
2009,Q4,Unemployed,12000,1.0
2009,Q4,Already found work,300,0.022
2009,Q4,Less than one month,2300,0.191
2009,Q4,1-2 months,3100,0.261
2009,Q4,3-5 months,2100,0.179
2009,Q4,6 to 11 months,2500,0.206
2009,Q4,12 months or more,1700,0.14
2010,Q1,Unemployed,13500,1.0
2010,Q1,Already found work,400,0.029
2010,Q1,Less than one month,1600,0.121
2010,Q1,1-2 months,3700,0.273
2010,Q1,3-5 months,2400,0.179
2010,Q1,6 to 11 months,2900,0.217
2010,Q1,12 months or more,2500,0.181
2010,Q2,Unemployed,16200,1.0
2010,Q2,Already found work,2800,0.174
2010,Q2,Less than one month,2600,0.162
2010,Q2,1-2 months,2900,0.182
2010,Q2,3-5 months,2300,0.141
2010,Q2,6 to 11 months,2800,0.172
2010,Q2,12 months or more,2700,0.169
2010,Q3,Unemployed,11700,1.0
2010,Q3,Already found work,600,0.047
2010,Q3,Less than one month,1900,0.164
2010,Q3,1-2 months,2000,0.168
2010,Q3,3-5 months,1900,0.165
2010,Q3,6 to 11 months,2600,0.226
2010,Q3,12 months or more,2700,0.231
2010,Q4,Unemployed,13200,1.0
2010,Q4,Already found work,800,0.058
2010,Q4,Less than one month,1800,0.138
2010,Q4,1-2 months,2800,0.211
2010,Q4,3-5 months,2500,0.188
2010,Q4,6 to 11 months,2200,0.164
2010,Q4,12 months or more,3200,0.242
2011,Q1,Unemployed,13700,1.0
2011,Q1,Already found work,200,0.016
2011,Q1,Less than one month,2500,0.182
2011,Q1,1-2 months,2400,0.177
2011,Q1,3-5 months,2300,0.167
2011,Q1,6 to 11 months,2500,0.18
2011,Q1,12 months or more,3800,0.278
2011,Q2,Unemployed,15800,1.0
2011,Q2,Already found work,3200,0.205
2011,Q2,Less than one month,2100,0.134
2011,Q2,1-2 months,2800,0.18
2011,Q2,3-5 months,2400,0.152
2011,Q2,6 to 11 months,1300,0.085
2011,Q2,12 months or more,3800,0.244
2011,Q3,Unemployed,10600,1.0
2011,Q3,Already found work,400,0.039
2011,Q3,Less than one month,1900,0.183
2011,Q3,1-2 months,1600,0.151
2011,Q3,3-5 months,2200,0.208
2011,Q3,6 to 11 months,1400,0.136
2011,Q3,12 months or more,3000,0.283
2011,Q4,Unemployed,10600,1.0
2011,Q4,Already found work,300,0.03
2011,Q4,Less than one month,2000,0.191
2011,Q4,1-2 months,2900,0.274
2011,Q4,3-5 months,1800,0.172
2011,Q4,6 to 11 months,900,0.084
2011,Q4,12 months or more,2600,0.25
2012,Q1,Unemployed,12600,1.0
2012,Q1,Already found work,700,0.053
2012,Q1,Less than one month,3000,0.234
2012,Q1,1-2 months,2100,0.17
2012,Q1,3-5 months,2700,0.21
2012,Q1,6 to 11 months,1400,0.115
2012,Q1,12 months or more,2800,0.218
2012,Q2,Unemployed,13300,1.0
2012,Q2,Already found work,2100,0.158
2012,Q2,Less than one month,2200,0.164
2012,Q2,1-2 months,2600,0.198
2012,Q2,3-5 months,2400,0.182
2012,Q2,6 to 11 months,1100,0.086
2012,Q2,12 months or more,2800,0.212
2012,Q3,Unemployed,9100,1.0
2012,Q3,Already found work,600,0.061
2012,Q3,Less than one month,1700,0.191
2012,Q3,1-2 months,1200,0.132
2012,Q3,3-5 months,1300,0.146
2012,Q3,6 to 11 months,1000,0.115
2012,Q3,12 months or more,3200,0.356
2012,Q4,Unemployed,8400,1.0
2012,Q4,Already found work,400,0.042
2012,Q4,Less than one month,1400,0.168
2012,Q4,1-2 months,2000,0.233
2012,Q4,3-5 months,800,0.091
2012,Q4,6 to 11 months,1500,0.173
2012,Q4,12 months or more,2500,0.293
2013,Q1,Unemployed,10300,1.0
2013,Q1,Already found work,100,0.006
2013,Q1,Less than one month,1700,0.169
2013,Q1,1-2 months,2800,0.273
2013,Q1,3-5 months,2100,0.203
2013,Q1,6 to 11 months,1000,0.098
2013,Q1,12 months or more,2600,0.25
2013,Q2,Unemployed,12800,1.0
2013,Q2,Already found work,1900,0.152
2013,Q2,Less than one month,2700,0.213
2013,Q2,1-2 months,2700,0.211
2013,Q2,3-5 months,2100,0.167
2013,Q2,6 to 11 months,1300,0.105
2013,Q2,12 months or more,2000,0.153
2013,Q3,Unemployed,8200,1.0
2013,Q3,Already found work,500,0.061
2013,Q3,Less than one month,1800,0.222
2013,Q3,1-2 months,1900,0.232
2013,Q3,3-5 months,900,0.105
2013,Q3,6 to 11 months,1300,0.162
2013,Q3,12 months or more,1800,0.218
2013,Q4,Unemployed,8300,1.0
2013,Q4,Already found work,200,0.025
2013,Q4,Less than one month,1700,0.2
2013,Q4,1-2 months,2400,0.283
2013,Q4,3-5 months,1400,0.164
2013,Q4,6 to 11 months,800,0.098
2013,Q4,12 months or more,1900,0.229
2014,Q1,Unemployed,10400,1.0
2014,Q1,Already found work,500,0.043
2014,Q1,Less than one month,2900,0.281
2014,Q1,1-2 months,2400,0.228
2014,Q1,3-5 months,1700,0.161
2014,Q1,6 to 11 months,1400,0.135
2014,Q1,12 months or more,1600,0.152
2014,Q2,Unemployed,11200,1.0
2014,Q2,Already found work,1800,0.163
2014,Q2,Less than one month,2300,0.203
2014,Q2,1-2 months,2100,0.186
2014,Q2,3-5 months,1800,0.16
2014,Q2,6 to 11 months,1500,0.136
2014,Q2,12 months or more,1700,0.151
2014,Q3,Unemployed,7600,1.0
2014,Q3,Already found work,300,0.041
2014,Q3,Less than one month,2500,0.334
2014,Q3,1-2 months,1500,0.204
2014,Q3,3-5 months,900,0.123
2014,Q3,6 to 11 months,1400,0.188
2014,Q3,12 months or more,800,0.11
2014,Q4,Unemployed,7700,1.0
2014,Q4,Already found work,400,0.048
2014,Q4,Less than one month,2100,0.276
2014,Q4,1-2 months,2000,0.26
2014,Q4,3-5 months,1200,0.158
2014,Q4,6 to 11 months,1000,0.133
2014,Q4,12 months or more,1000,0.125
2015,Q1,Unemployed,8000,1.0
2015,Q1,Already found work,500,0.068
2015,Q1,Less than one month,2300,0.287
2015,Q1,1-2 months,2000,0.249
2015,Q1,3-5 months,900,0.11
2015,Q1,6 to 11 months,800,0.102
2015,Q1,12 months or more,1500,0.184
2015,Q2,Unemployed,9900,1.0
2015,Q2,Already found work,1900,0.195
2015,Q2,Less than one month,2600,0.261
2015,Q2,1-2 months,2300,0.23
2015,Q2,3-5 months,1200,0.12
2015,Q2,6 to 11 months,1000,0.105
2015,Q2,12 months or more,900,0.089
2015,Q3,Unemployed,6700,1.0
2015,Q3,Already found work,500,0.07
2015,Q3,Less than one month,1900,0.279
2015,Q3,1-2 months,1000,0.155
2015,Q3,3-5 months,1100,0.156
2015,Q3,6 to 11 months,900,0.132
2015,Q3,12 months or more,1400,0.208
2015,Q4,Unemployed,5900,1.0
2015,Q4,Already found work,200,0.026
2015,Q4,Less than one month,1700,0.292
2015,Q4,1-2 months,1400,0.231
2015,Q4,3-5 months,1300,0.215
2015,Q4,6 to 11 months,500,0.08
2015,Q4,12 months or more,900,0.155
2016,Q1,Unemployed,6100,1.0
2016,Q1,Already found work,100,0.015
2016,Q1,Less than one month,2700,0.436
2016,Q1,1-2 months,1600,0.256
2016,Q1,3-5 months,1100,0.179
2016,Q1,6 to 11 months,300,0.051
2016,Q1,12 months or more,400,0.062
2016,Q2,Unemployed,7200,1.0
2016,Q2,Already found work,2000,0.271
2016,Q2,Less than one month,1300,0.183
2016,Q2,1-2 months,1800,0.243
2016,Q2,3-5 months,900,0.123
2016,Q2,6 to 11 months,500,0.071
2016,Q2,12 months or more,800,0.11
2016,Q3,Unemployed,5200,1.0
2016,Q3,Already found work,400,0.072
2016,Q3,Less than one month,1500,0.292
2016,Q3,1-2 months,1600,0.298
2016,Q3,3-5 months,700,0.134
2016,Q3,6 to 11 months,400,0.085
2016,Q3,12 months or more,600,0.119
2016,Q4,Unemployed,5000,1.0
2016,Q4,Already found work,400,0.085
2016,Q4,Less than one month,1900,0.387
2016,Q4,1-2 months,1500,0.297
2016,Q4,3-5 months,400,0.09
2016,Q4,6 to 11 months,400,0.071
2016,Q4,12 months or more,300,0.07
2017,Q1,Unemployed,5600,1.0
2017,Q1,Already found work,100,0.013
2017,Q1,Less than one month,2400,0.421
2017,Q1,1-2 months,1600,0.277
2017,Q1,3-5 months,600,0.098
2017,Q1,6 to 11 months,400,0.079
2017,Q1,12 months or more,600,0.112
2017,Q2,Unemployed,7000,1.0
2017,Q2,Already found work,1700,0.238
2017,Q2,Less than one month,2900,0.412
2017,Q2,1-2 months,1300,0.188
2017,Q2,3-5 months,400,0.056
2017,Q2,6 to 11 months,400,0.052
2017,Q2,12 months or more,400,0.055
2017,Q3,Unemployed,4300,1.0
2017,Q3,Already found work,300,0.064
2017,Q3,Less than one month,1600,0.378
2017,Q3,1-2 months,1000,0.245
2017,Q3,3-5 months,400,0.103
2017,Q3,6 to 11 months,500,0.107
2017,Q3,12 months or more,400,0.103
2017,Q4,Unemployed,5200,1.0
2017,Q4,Already found work,200,0.038
2017,Q4,Less than one month,1800,0.348
2017,Q4,1-2 months,1500,0.288
2017,Q4,3-5 months,800,0.155
2017,Q4,6 to 11 months,300,0.062
2017,Q4,12 months or more,600,0.109
2018,Q1,Unemployed,5700,1.0
2018,Q1,Already found work,400,0.066
2018,Q1,Less than one month,1600,0.28
2018,Q1,1-2 months,1800,0.316
2018,Q1,3-5 months,1000,0.169
2018,Q1,6 to 11 months,400,0.078
2018,Q1,12 months or more,500,0.091
2018,Q2,Unemployed,7300,1.0
2018,Q2,Already found work,1600,0.213
2018,Q2,Less than one month,2100,0.293
2018,Q2,1-2 months,1600,0.223
2018,Q2,3-5 months,500,0.074
2018,Q2,6 to 11 months,600,0.08
2018,Q2,12 months or more,900,0.117
2018,Q3,Unemployed,4500,1.0
2018,Q3,Already found work,500,0.111
2018,Q3,Less than one month,1200,0.277
2018,Q3,1-2 months,700,0.162
2018,Q3,3-5 months,700,0.163
2018,Q3,6 to 11 months,600,0.127
2018,Q3,12 months or more,700,0.16
2018,Q4,Unemployed,4900,1.0
2018,Q4,Already found work,300,0.062
2018,Q4,Less than one month,1900,0.389
2018,Q4,1-2 months,1500,0.304
2018,Q4,3-5 months,300,0.055
2018,Q4,6 to 11 months,300,0.064
2018,Q4,12 months or more,600,0.126
2019,Q1,Unemployed,6200,1.0
2019,Q1,Already found work,200,0.033
2019,Q1,Less than one month,2700,0.441
2019,Q1,1-2 months,2000,0.322
2019,Q1,3-5 months,600,0.091
2019,Q1,6 to 11 months,400,0.06
2019,Q1,12 months or more,300,0.055
2019,Q2,Unemployed,9400,1.0
2019,Q2,Already found work,1800,0.194
2019,Q2,Less than one month,2200,0.238
2019,Q2,1-2 months,2600,0.282
2019,Q2,3-5 months,1700,0.18
2019,Q2,6 to 11 months,600,0.061
2019,Q2,12 months or more,400,0.045
2019,Q3,Unemployed,7200,1.0
2019,Q3,Already found work,700,0.09
2019,Q3,Less than one month,1800,0.253
2019,Q3,1-2 months,1700,0.23
2019,Q3,3-5 months,1200,0.165
2019,Q3,6 to 11 months,1400,0.187
2019,Q3,12 months or more,500,0.075
2019,Q4,Unemployed,6800,1.0
2019,Q4,Already found work,500,0.076
2019,Q4,Less than one month,1500,0.224
2019,Q4,1-2 months,2100,0.303
2019,Q4,3-5 months,1200,0.179
2019,Q4,6 to 11 months,800,0.113
2019,Q4,12 months or more,700,0.105
2020,Q1,Unemployed,7500,1.0
2020,Q1,Already found work,500,0.072
2020,Q1,Less than one month,1700,0.225
2020,Q1,1-2 months,1700,0.231
2020,Q1,3-5 months,1100,0.143
2020,Q1,6 to 11 months,700,0.093
2020,Q1,12 months or more,1800,0.236
2020,Q2,Unemployed,14300,1.0
2020,Q2,Already found work,1100,0.078
2020,Q2,Less than one month,4000,0.278
2020,Q2,1-2 months,4700,0.33
2020,Q2,3-5 months,2000,0.139
2020,Q2,6 to 11 months,1500,0.108
2020,Q2,12 months or more,1000,0.066
