Year,Quarter,Sector,Employment,Value unit,value
2008,Q1,Manufacturing,Self employed,Jobs,500
2008,Q1,Construction,Self employed,Jobs,1900
2008,Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Self employed,Jobs,2000
2008,Q1,Information and communication,Self employed,Jobs,700
2008,Q1,Financial and insurance activities,Self employed,Jobs,100
2008,Q1,"Professional, scientific and technical activities; administrative and support service activities",Self employed,Jobs,2400
2008,Q1,Public administration and defence; compulsory social security; education; human health and social work activities,Self employed,Jobs,3100
2008,Q1,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Self employed,Jobs,2700
2008,Q1,Total - All activities,Self employed,Jobs,16400
2008,Q2,"Agriculture, forestry and fishing",Total employment,Hours worked,3316900
2008,Q2,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Total employment,Hours worked,10175200
2008,Q2,Manufacturing,Total employment,Hours worked,8955000
2008,Q2,Construction,Total employment,Hours worked,7748400
2008,Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Total employment,Hours worked,16439700
2008,Q2,Information and communication,Total employment,Hours worked,3182400
2008,Q2,Financial and insurance activities,Total employment,Hours worked,3717100
2008,Q2,"Professional, scientific and technical activities; administrative and support service activities",Total employment,Hours worked,5641700
2008,Q2,Public administration and defence; compulsory social security; education; human health and social work activities,Total employment,Hours worked,20937200
2008,Q2,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Total employment,Hours worked,2860300
2008,Q2,Total - All activities,Total employment,Hours worked,74551100
2008,Q2,"Agriculture, forestry and fishing",Employees,Hours worked,2807500
2008,Q2,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Employees,Hours worked,10064100
2008,Q2,Manufacturing,Employees,Hours worked,8844100
2008,Q2,Construction,Employees,Hours worked,7247900
2008,Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Employees,Hours worked,15999700
2008,Q2,Information and communication,Employees,Hours worked,3083700
2008,Q2,Financial and insurance activities,Employees,Hours worked,3699400
2008,Q2,"Professional, scientific and technical activities; administrative and support service activities",Employees,Hours worked,5264500
2008,Q2,Public administration and defence; compulsory social security; education; human health and social work activities,Employees,Hours worked,20435800
2008,Q2,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Employees,Hours worked,2519600
2008,Q2,Total - All activities,Employees,Hours worked,71633900
2008,Q2,"Agriculture, forestry and fishing",Self employed,Hours worked,509300
2008,Q2,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Self employed,Hours worked,111100
2008,Q2,Manufacturing,Self employed,Hours worked,110900
2008,Q2,Construction,Self employed,Hours worked,500500
2008,Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Self employed,Hours worked,440000
2008,Q2,Information and communication,Self employed,Hours worked,98700
2008,Q2,Financial and insurance activities,Self employed,Hours worked,17800
2008,Q2,"Professional, scientific and technical activities; administrative and support service activities",Self employed,Hours worked,377200
2008,Q2,Public administration and defence; compulsory social security; education; human health and social work activities,Self employed,Hours worked,501400
2008,Q2,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Self employed,Hours worked,340700
2008,Q2,Total - All activities,Self employed,Hours worked,2917200
2008,Q2,"Agriculture, forestry and fishing",Total employment,Persons,7900
2008,Q2,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Total employment,Persons,24300
2008,Q2,Manufacturing,Total employment,Persons,21700
2008,Q2,Construction,Total employment,Persons,17600
2008,Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Total employment,Persons,43200
2008,Q2,Information and communication,Total employment,Persons,7900
2008,Q2,Financial and insurance activities,Total employment,Persons,8300
2008,Q2,"Professional, scientific and technical activities; administrative and support service activities",Total employment,Persons,13800
2008,Q2,Public administration and defence; compulsory social security; education; human health and social work activities,Total employment,Persons,51700
2008,Q2,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Total employment,Persons,8300
2008,Q2,Total - All activities,Total employment,Persons,184100
2008,Q2,"Agriculture, forestry and fishing",Employees,Persons,5700
2008,Q2,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Employees,Persons,23900
2008,Q2,Manufacturing,Employees,Persons,21300
2008,Q2,Construction,Employees,Persons,16100
2008,Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Employees,Persons,41800
2008,Q2,Information and communication,Employees,Persons,7600
2008,Q2,Financial and insurance activities,Employees,Persons,8200
2008,Q2,"Professional, scientific and technical activities; administrative and support service activities",Employees,Persons,12700
2008,Q2,Public administration and defence; compulsory social security; education; human health and social work activities,Employees,Persons,50200
2008,Q2,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Employees,Persons,6900
2008,Q2,Total - All activities,Employees,Persons,174400
2008,Q2,"Agriculture, forestry and fishing",Self employed,Persons,2200
2008,Q2,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Self employed,Persons,400
2008,Q2,Manufacturing,Self employed,Persons,400
2008,Q2,Construction,Self employed,Persons,1500
2008,Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Self employed,Persons,1400
2008,Q2,Information and communication,Self employed,Persons,300
2008,Q2,Financial and insurance activities,Self employed,Persons,100
2008,Q2,"Professional, scientific and technical activities; administrative and support service activities",Self employed,Persons,1100
2008,Q2,Public administration and defence; compulsory social security; education; human health and social work activities,Self employed,Persons,1400
2008,Q2,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Self employed,Persons,1400
2008,Q2,Total - All activities,Self employed,Persons,9700
2008,Q2,"Agriculture, forestry and fishing",Total employment,Jobs,9000
2008,Q2,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Total employment,Jobs,25900
2008,Q2,Manufacturing,Total employment,Jobs,23000
2008,Q2,Construction,Total employment,Jobs,18700
2008,Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Total employment,Jobs,49100
2008,Q2,Information and communication,Total employment,Jobs,9100
2008,Q2,Financial and insurance activities,Total employment,Jobs,9000
2008,Q2,"Professional, scientific and technical activities; administrative and support service activities",Total employment,Jobs,16800
2008,Q2,Public administration and defence; compulsory social security; education; human health and social work activities,Total employment,Jobs,61800
2008,Q2,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Total employment,Jobs,11500
2008,Q2,Total - All activities,Total employment,Jobs,212600
2008,Q2,"Agriculture, forestry and fishing",Employees,Jobs,6100
2008,Q2,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Employees,Jobs,25300
2008,Q2,Manufacturing,Employees,Jobs,22500
2008,Q2,Construction,Employees,Jobs,16700
2008,Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Employees,Jobs,47000
2008,Q2,Information and communication,Employees,Jobs,8400
2008,Q2,Financial and insurance activities,Employees,Jobs,8900
2008,Q2,"Professional, scientific and technical activities; administrative and support service activities",Employees,Jobs,14400
2008,Q2,Public administration and defence; compulsory social security; education; human health and social work activities,Employees,Jobs,58700
2008,Q2,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Employees,Jobs,8800
2008,Q2,Total - All activities,Employees,Jobs,195900
2008,Q2,"Agriculture, forestry and fishing",Self employed,Jobs,2900
2008,Q2,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Self employed,Jobs,600
2008,Q2,Manufacturing,Self employed,Jobs,600
2008,Q2,Construction,Self employed,Jobs,2000
2008,Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Self employed,Jobs,2100
2008,Q2,Information and communication,Self employed,Jobs,700
2008,Q2,Financial and insurance activities,Self employed,Jobs,100
2008,Q2,"Professional, scientific and technical activities; administrative and support service activities",Self employed,Jobs,2500
2008,Q2,Public administration and defence; compulsory social security; education; human health and social work activities,Self employed,Jobs,3100
2008,Q2,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Self employed,Jobs,2700
2008,Q2,Total - All activities,Self employed,Jobs,16700
2008,Q3,"Agriculture, forestry and fishing",Total employment,Hours worked,2920400
2008,Q3,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Total employment,Hours worked,9142500
2008,Q3,Manufacturing,Total employment,Hours worked,7862300
2008,Q3,Construction,Total employment,Hours worked,6902700
2008,Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Total employment,Hours worked,15464500
2008,Q3,Information and communication,Total employment,Hours worked,3003700
2008,Q3,Financial and insurance activities,Total employment,Hours worked,3473900
2008,Q3,"Professional, scientific and technical activities; administrative and support service activities",Total employment,Hours worked,5566200
2008,Q3,Public administration and defence; compulsory social security; education; human health and social work activities,Total employment,Hours worked,19985000
2008,Q3,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Total employment,Hours worked,2774200
2008,Q3,Total - All activities,Total employment,Hours worked,69713600
2008,Q3,"Agriculture, forestry and fishing",Employees,Hours worked,2450700
2008,Q3,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Employees,Hours worked,9038800
2008,Q3,Manufacturing,Employees,Hours worked,7758800
2008,Q3,Construction,Employees,Hours worked,6441400
2008,Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Employees,Hours worked,15089500
2008,Q3,Information and communication,Employees,Hours worked,2905700
2008,Q3,Financial and insurance activities,Employees,Hours worked,3456400
2008,Q3,"Professional, scientific and technical activities; administrative and support service activities",Employees,Hours worked,5214400
2008,Q3,Public administration and defence; compulsory social security; education; human health and social work activities,Employees,Hours worked,19520900
2008,Q3,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Employees,Hours worked,2455000
2008,Q3,Total - All activities,Employees,Hours worked,67034100
2008,Q3,"Agriculture, forestry and fishing",Self employed,Hours worked,469700
2008,Q3,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Self employed,Hours worked,103700
2008,Q3,Manufacturing,Self employed,Hours worked,103500
2008,Q3,Construction,Self employed,Hours worked,461300
2008,Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Self employed,Hours worked,375000
2008,Q3,Information and communication,Self employed,Hours worked,98100
2008,Q3,Financial and insurance activities,Self employed,Hours worked,17500
2008,Q3,"Professional, scientific and technical activities; administrative and support service activities",Self employed,Hours worked,351800
2008,Q3,Public administration and defence; compulsory social security; education; human health and social work activities,Self employed,Hours worked,464100
2008,Q3,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Self employed,Hours worked,319200
2008,Q3,Total - All activities,Self employed,Hours worked,2679500
2008,Q3,"Agriculture, forestry and fishing",Total employment,Persons,7600
2008,Q3,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Total employment,Persons,24000
2008,Q3,Manufacturing,Total employment,Persons,21100
2008,Q3,Construction,Total employment,Persons,17100
2008,Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Total employment,Persons,43200
2008,Q3,Information and communication,Total employment,Persons,7800
2008,Q3,Financial and insurance activities,Total employment,Persons,8200
2008,Q3,"Professional, scientific and technical activities; administrative and support service activities",Total employment,Persons,14100
2008,Q3,Public administration and defence; compulsory social security; education; human health and social work activities,Total employment,Persons,54800
2008,Q3,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Total employment,Persons,8400
2008,Q3,Total - All activities,Total employment,Persons,186500
2008,Q3,"Agriculture, forestry and fishing",Employees,Persons,5400
2008,Q3,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Employees,Persons,23600
2008,Q3,Manufacturing,Employees,Persons,20800
2008,Q3,Construction,Employees,Persons,15600
2008,Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Employees,Persons,41800
2008,Q3,Information and communication,Employees,Persons,7400
2008,Q3,Financial and insurance activities,Employees,Persons,8200
2008,Q3,"Professional, scientific and technical activities; administrative and support service activities",Employees,Persons,13000
2008,Q3,Public administration and defence; compulsory social security; education; human health and social work activities,Employees,Persons,53400
2008,Q3,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Employees,Persons,7000
2008,Q3,Total - All activities,Employees,Persons,176700
2008,Q3,"Agriculture, forestry and fishing",Self employed,Persons,2200
2008,Q3,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Self employed,Persons,300
2008,Q3,Manufacturing,Self employed,Persons,300
2008,Q3,Construction,Self employed,Persons,1500
2008,Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Self employed,Persons,1400
2008,Q3,Information and communication,Self employed,Persons,300
2008,Q3,Financial and insurance activities,Self employed,Persons,100
2008,Q3,"Professional, scientific and technical activities; administrative and support service activities",Self employed,Persons,1100
2008,Q3,Public administration and defence; compulsory social security; education; human health and social work activities,Self employed,Persons,1400
2008,Q3,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Self employed,Persons,1400
2008,Q3,Total - All activities,Self employed,Persons,9800
2008,Q3,"Agriculture, forestry and fishing",Total employment,Jobs,8600
2008,Q3,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Total employment,Jobs,25600
2008,Q3,Manufacturing,Total employment,Jobs,22500
2008,Q3,Construction,Total employment,Jobs,18200
2008,Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Total employment,Jobs,48900
2008,Q3,Information and communication,Total employment,Jobs,9000
2008,Q3,Financial and insurance activities,Total employment,Jobs,8900
2008,Q3,"Professional, scientific and technical activities; administrative and support service activities",Total employment,Jobs,17100
2008,Q3,Public administration and defence; compulsory social security; education; human health and social work activities,Total employment,Jobs,63700
2008,Q3,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Total employment,Jobs,11300
2008,Q3,Total - All activities,Total employment,Jobs,212800
2008,Q3,"Agriculture, forestry and fishing",Employees,Jobs,5700
2008,Q3,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Employees,Jobs,25000
2008,Q3,Manufacturing,Employees,Jobs,21900
2008,Q3,Construction,Employees,Jobs,16200
2008,Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Employees,Jobs,46900
2008,Q3,Information and communication,Employees,Jobs,8300
2008,Q3,Financial and insurance activities,Employees,Jobs,8800
2008,Q3,"Professional, scientific and technical activities; administrative and support service activities",Employees,Jobs,14700
2008,Q3,Public administration and defence; compulsory social security; education; human health and social work activities,Employees,Jobs,60600
2008,Q3,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Employees,Jobs,8600
2008,Q3,Total - All activities,Employees,Jobs,196400
2008,Q3,"Agriculture, forestry and fishing",Self employed,Jobs,2900
2008,Q3,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Self employed,Jobs,600
2008,Q3,Manufacturing,Self employed,Jobs,500
2008,Q3,Construction,Self employed,Jobs,1900
2008,Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Self employed,Jobs,2000
2008,Q3,Information and communication,Self employed,Jobs,700
2008,Q3,Financial and insurance activities,Self employed,Jobs,100
2008,Q3,"Professional, scientific and technical activities; administrative and support service activities",Self employed,Jobs,2400
2008,Q3,Public administration and defence; compulsory social security; education; human health and social work activities,Self employed,Jobs,3000
2008,Q3,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Self employed,Jobs,2600
2008,Q3,Total - All activities,Self employed,Jobs,16400
2008,Q4,"Agriculture, forestry and fishing",Total employment,Hours worked,3533200
2008,Q4,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Total employment,Hours worked,10191500
2008,Q4,Manufacturing,Total employment,Hours worked,8943100
2008,Q4,Construction,Total employment,Hours worked,6332900
2008,Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Total employment,Hours worked,14918800
2008,Q4,Information and communication,Total employment,Hours worked,3186300
2008,Q4,Financial and insurance activities,Total employment,Hours worked,3563700
2008,Q4,"Professional, scientific and technical activities; administrative and support service activities",Total employment,Hours worked,5398700
2008,Q4,Public administration and defence; compulsory social security; education; human health and social work activities,Total employment,Hours worked,22208800
2008,Q4,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Total employment,Hours worked,2935300
2008,Q4,Total - All activities,Total employment,Hours worked,72726900
2008,Q4,"Agriculture, forestry and fishing",Employees,Hours worked,3014600
2008,Q4,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Employees,Hours worked,10079800
2008,Q4,Manufacturing,Employees,Hours worked,8831700
2008,Q4,Construction,Employees,Hours worked,5761900
2008,Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Employees,Hours worked,14459200
2008,Q4,Information and communication,Employees,Hours worked,3074200
2008,Q4,Financial and insurance activities,Employees,Hours worked,3545000
2008,Q4,"Professional, scientific and technical activities; administrative and support service activities",Employees,Hours worked,5008400
2008,Q4,Public administration and defence; compulsory social security; education; human health and social work activities,Employees,Hours worked,21685600
2008,Q4,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Employees,Hours worked,2541200
2008,Q4,Total - All activities,Employees,Hours worked,69605700
2008,Q4,"Agriculture, forestry and fishing",Self employed,Hours worked,518600
2008,Q4,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Self employed,Hours worked,111700
2008,Q4,Manufacturing,Self employed,Hours worked,111500
2008,Q4,Construction,Self employed,Hours worked,571000
2008,Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Self employed,Hours worked,459600
2008,Q4,Information and communication,Self employed,Hours worked,112100
2008,Q4,Financial and insurance activities,Self employed,Hours worked,18600
2008,Q4,"Professional, scientific and technical activities; administrative and support service activities",Self employed,Hours worked,390200
2008,Q4,Public administration and defence; compulsory social security; education; human health and social work activities,Self employed,Hours worked,523200
2008,Q4,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Self employed,Hours worked,394000
2008,Q4,Total - All activities,Self employed,Hours worked,3121100
2008,Q4,"Agriculture, forestry and fishing",Total employment,Persons,7800
2008,Q4,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Total employment,Persons,23000
2008,Q4,Manufacturing,Total employment,Persons,20600
2008,Q4,Construction,Total employment,Persons,14500
2008,Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Total employment,Persons,40100
2008,Q4,Information and communication,Total employment,Persons,7600
2008,Q4,Financial and insurance activities,Total employment,Persons,7600
2008,Q4,"Professional, scientific and technical activities; administrative and support service activities",Total employment,Persons,12700
2008,Q4,Public administration and defence; compulsory social security; education; human health and social work activities,Total employment,Persons,50300
