Year,Region,Sex,Age,work_description,n_hours
2013,Outside Capital region,Total,55-74,Total actual working hours,42.8
2013,Outside Capital region,Males,16-24,Total actual working hours,37.7
2013,Outside Capital region,Males,25-54,Total actual working hours,50.2
2013,Outside Capital region,Males,55-74,Total actual working hours,48.2
2013,Outside Capital region,Females,16-24,Total actual working hours,29.3
2013,Outside Capital region,Females,25-54,Total actual working hours,37.5
2013,Outside Capital region,Females,55-74,Total actual working hours,34.9
2014,Total,Total,16-24,Total actual working hours,30.9
2014,Total,Total,25-54,Total actual working hours,42.1
2014,Total,Total,55-74,Total actual working hours,40.1
2014,Total,Males,16-24,Total actual working hours,34.0
2014,Total,Males,25-54,Total actual working hours,46.2
2014,Total,Males,55-74,Total actual working hours,44.3
2014,Total,Females,16-24,Total actual working hours,28.0
2014,Total,Females,25-54,Total actual working hours,37.3
2014,Total,Females,55-74,Total actual working hours,35.0
2014,Capital region,Total,16-24,Total actual working hours,29.0
2014,Capital region,Total,25-54,Total actual working hours,41.0
2014,Capital region,Total,55-74,Total actual working hours,39.6
2014,Capital region,Males,16-24,Total actual working hours,31.0
2014,Capital region,Males,25-54,Total actual working hours,44.2
2014,Capital region,Males,55-74,Total actual working hours,43.5
2014,Capital region,Females,16-24,Total actual working hours,27.3
2014,Capital region,Females,25-54,Total actual working hours,37.3
2014,Capital region,Females,55-74,Total actual working hours,35.1
2014,Outside Capital region,Total,16-24,Total actual working hours,35.1
2014,Outside Capital region,Total,25-54,Total actual working hours,44.1
2014,Outside Capital region,Total,55-74,Total actual working hours,41.0
2014,Outside Capital region,Males,16-24,Total actual working hours,39.9
2014,Outside Capital region,Males,25-54,Total actual working hours,49.7
2014,Outside Capital region,Males,55-74,Total actual working hours,45.5
2014,Outside Capital region,Females,16-24,Total actual working hours,29.7
2014,Outside Capital region,Females,25-54,Total actual working hours,37.3
2014,Outside Capital region,Females,55-74,Total actual working hours,34.9
2015,Total,Total,16-24,Total actual working hours,30.8
2015,Total,Total,25-54,Total actual working hours,42.3
2015,Total,Total,55-74,Total actual working hours,40.8
2015,Total,Males,16-24,Total actual working hours,33.9
2015,Total,Males,25-54,Total actual working hours,46.4
2015,Total,Males,55-74,Total actual working hours,44.5
2015,Total,Females,16-24,Total actual working hours,27.8
2015,Total,Females,25-54,Total actual working hours,37.5
2015,Total,Females,55-74,Total actual working hours,36.1
2015,Capital region,Total,16-24,Total actual working hours,29.0
2015,Capital region,Total,25-54,Total actual working hours,41.3
2015,Capital region,Total,55-74,Total actual working hours,39.7
2015,Capital region,Males,16-24,Total actual working hours,31.6
2015,Capital region,Males,25-54,Total actual working hours,44.7
2015,Capital region,Males,55-74,Total actual working hours,43.0
2015,Capital region,Females,16-24,Total actual working hours,26.7
2015,Capital region,Females,25-54,Total actual working hours,37.6
2015,Capital region,Females,55-74,Total actual working hours,36.1
2015,Outside Capital region,Total,16-24,Total actual working hours,34.9
2015,Outside Capital region,Total,25-54,Total actual working hours,44.1
2015,Outside Capital region,Total,55-74,Total actual working hours,42.4
2015,Outside Capital region,Males,16-24,Total actual working hours,38.4
2015,Outside Capital region,Males,25-54,Total actual working hours,49.6
2015,Outside Capital region,Males,55-74,Total actual working hours,46.5
2015,Outside Capital region,Females,16-24,Total actual working hours,30.8
2015,Outside Capital region,Females,25-54,Total actual working hours,37.4
2015,Outside Capital region,Females,55-74,Total actual working hours,36.1
2016,Total,Total,16-24,Total actual working hours,31.3
2016,Total,Total,25-54,Total actual working hours,42.4
2016,Total,Total,55-74,Total actual working hours,40.4
2016,Total,Males,16-24,Total actual working hours,34.2
2016,Total,Males,25-54,Total actual working hours,46.1
2016,Total,Males,55-74,Total actual working hours,44.6
2016,Total,Females,16-24,Total actual working hours,28.1
2016,Total,Females,25-54,Total actual working hours,38.0
2016,Total,Females,55-74,Total actual working hours,34.8
2016,Capital region,Total,16-24,Total actual working hours,29.7
2016,Capital region,Total,25-54,Total actual working hours,41.5
2016,Capital region,Total,55-74,Total actual working hours,39.6
2016,Capital region,Males,16-24,Total actual working hours,32.2
2016,Capital region,Males,25-54,Total actual working hours,44.1
2016,Capital region,Males,55-74,Total actual working hours,43.3
2016,Capital region,Females,16-24,Total actual working hours,27.1
2016,Capital region,Females,25-54,Total actual working hours,38.5
2016,Capital region,Females,55-74,Total actual working hours,34.9
2016,Outside Capital region,Total,16-24,Total actual working hours,35.1
2016,Outside Capital region,Total,25-54,Total actual working hours,43.9
2016,Outside Capital region,Total,55-74,Total actual working hours,41.5
2016,Outside Capital region,Males,16-24,Total actual working hours,38.8
2016,Outside Capital region,Males,25-54,Total actual working hours,50.0
2016,Outside Capital region,Males,55-74,Total actual working hours,46.3
2016,Outside Capital region,Females,16-24,Total actual working hours,30.7
2016,Outside Capital region,Females,25-54,Total actual working hours,37.1
2016,Outside Capital region,Females,55-74,Total actual working hours,34.5
2017,Total,Total,16-24,Total actual working hours,31.7
2017,Total,Total,25-54,Total actual working hours,42.0
2017,Total,Total,55-74,Total actual working hours,39.8
2017,Total,Males,16-24,Total actual working hours,34.8
2017,Total,Males,25-54,Total actual working hours,45.4
2017,Total,Males,55-74,Total actual working hours,43.2
2017,Total,Females,16-24,Total actual working hours,28.0
2017,Total,Females,25-54,Total actual working hours,37.8
2017,Total,Females,55-74,Total actual working hours,35.2
2017,Capital region,Total,16-24,Total actual working hours,30.4
2017,Capital region,Total,25-54,Total actual working hours,41.0
2017,Capital region,Total,55-74,Total actual working hours,39.2
2017,Capital region,Males,16-24,Total actual working hours,33.1
2017,Capital region,Males,25-54,Total actual working hours,43.6
2017,Capital region,Males,55-74,Total actual working hours,42.2
2017,Capital region,Females,16-24,Total actual working hours,27.2
2017,Capital region,Females,25-54,Total actual working hours,37.6
2017,Capital region,Females,55-74,Total actual working hours,35.5
2017,Outside Capital region,Total,16-24,Total actual working hours,34.8
2017,Outside Capital region,Total,25-54,Total actual working hours,43.7
2017,Outside Capital region,Total,55-74,Total actual working hours,40.6
2017,Outside Capital region,Males,16-24,Total actual working hours,38.6
2017,Outside Capital region,Males,25-54,Total actual working hours,49.0
2017,Outside Capital region,Males,55-74,Total actual working hours,44.7
2017,Outside Capital region,Females,16-24,Total actual working hours,29.9
2017,Outside Capital region,Females,25-54,Total actual working hours,38.0
2017,Outside Capital region,Females,55-74,Total actual working hours,34.7
2018,Total,Total,16-24,Total actual working hours,31.9
2018,Total,Total,25-54,Total actual working hours,41.3
2018,Total,Total,55-74,Total actual working hours,40.1
2018,Total,Males,16-24,Total actual working hours,35.3
2018,Total,Males,25-54,Total actual working hours,44.6
2018,Total,Males,55-74,Total actual working hours,43.9
2018,Total,Females,16-24,Total actual working hours,28.0
2018,Total,Females,25-54,Total actual working hours,37.2
2018,Total,Females,55-74,Total actual working hours,35.0
2018,Capital region,Total,16-24,Total actual working hours,30.8
2018,Capital region,Total,25-54,Total actual working hours,40.4
2018,Capital region,Total,55-74,Total actual working hours,39.2
2018,Capital region,Males,16-24,Total actual working hours,34.1
2018,Capital region,Males,25-54,Total actual working hours,43.2
2018,Capital region,Males,55-74,Total actual working hours,42.4
2018,Capital region,Females,16-24,Total actual working hours,27.2
2018,Capital region,Females,25-54,Total actual working hours,37.0
2018,Capital region,Females,55-74,Total actual working hours,35.4
2018,Outside Capital region,Total,16-24,Total actual working hours,34.3
2018,Outside Capital region,Total,25-54,Total actual working hours,42.9
2018,Outside Capital region,Total,55-74,Total actual working hours,41.5
2018,Outside Capital region,Males,16-24,Total actual working hours,37.7
2018,Outside Capital region,Males,25-54,Total actual working hours,47.4
2018,Outside Capital region,Males,55-74,Total actual working hours,45.9
2018,Outside Capital region,Females,16-24,Total actual working hours,29.9
2018,Outside Capital region,Females,25-54,Total actual working hours,37.4
2018,Outside Capital region,Females,55-74,Total actual working hours,34.1
2019,Total,Total,16-24,Total actual working hours,31.0
2019,Total,Total,25-54,Total actual working hours,41.4
2019,Total,Total,55-74,Total actual working hours,40.0
2019,Total,Males,16-24,Total actual working hours,33.2
2019,Total,Males,25-54,Total actual working hours,44.5
2019,Total,Males,55-74,Total actual working hours,43.9
2019,Total,Females,16-24,Total actual working hours,28.9
2019,Total,Females,25-54,Total actual working hours,37.5
2019,Total,Females,55-74,Total actual working hours,34.9
2019,Capital region,Total,16-24,Total actual working hours,28.8
2019,Capital region,Total,25-54,Total actual working hours,40.2
2019,Capital region,Total,55-74,Total actual working hours,39.1
2019,Capital region,Males,16-24,Total actual working hours,30.4
2019,Capital region,Males,25-54,Total actual working hours,42.6
2019,Capital region,Males,55-74,Total actual working hours,42.5
2019,Capital region,Females,16-24,Total actual working hours,27.4
2019,Capital region,Females,25-54,Total actual working hours,37.4
2019,Capital region,Females,55-74,Total actual working hours,34.9
2019,Outside Capital region,Total,16-24,Total actual working hours,35.2
2019,Outside Capital region,Total,25-54,Total actual working hours,43.5
2019,Outside Capital region,Total,55-74,Total actual working hours,41.6
2019,Outside Capital region,Males,16-24,Total actual working hours,37.7
2019,Outside Capital region,Males,25-54,Total actual working hours,47.8
2019,Outside Capital region,Males,55-74,Total actual working hours,45.9
2019,Outside Capital region,Females,16-24,Total actual working hours,32.1
2019,Outside Capital region,Females,25-54,Total actual working hours,37.9
2019,Outside Capital region,Females,55-74,Total actual working hours,35.0
2003,Total,Total,16-24,Actual working hours full-time,45.3
2003,Total,Total,25-54,Actual working hours full-time,47.4
2003,Total,Total,55-74,Actual working hours full-time,46.7
2003,Total,Males,16-24,Actual working hours full-time,46.4
2003,Total,Males,25-54,Actual working hours full-time,50.4
2003,Total,Males,55-74,Actual working hours full-time,48.8
2003,Total,Females,16-24,Actual working hours full-time,43.7
2003,Total,Females,25-54,Actual working hours full-time,42.6
2003,Total,Females,55-74,Actual working hours full-time,42.4
2003,Capital region,Total,16-24,Actual working hours full-time,45.2
2003,Capital region,Total,25-54,Actual working hours full-time,45.9
2003,Capital region,Total,55-74,Actual working hours full-time,44.8
2003,Capital region,Males,16-24,Actual working hours full-time,46.5
2003,Capital region,Males,25-54,Actual working hours full-time,48.4
2003,Capital region,Males,55-74,Actual working hours full-time,46.3
2003,Capital region,Females,16-24,Actual working hours full-time,43.7
2003,Capital region,Females,25-54,Actual working hours full-time,42.0
2003,Capital region,Females,55-74,Actual working hours full-time,42.3
2003,Outside Capital region,Total,16-24,Actual working hours full-time,45.4
2003,Outside Capital region,Total,25-54,Actual working hours full-time,50.5
2003,Outside Capital region,Total,55-74,Actual working hours full-time,49.2
2003,Outside Capital region,Males,16-24,Actual working hours full-time,46.3
2003,Outside Capital region,Males,25-54,Actual working hours full-time,54.1
2003,Outside Capital region,Males,55-74,Actual working hours full-time,51.6
2003,Outside Capital region,Females,16-24,Actual working hours full-time,43.8
2003,Outside Capital region,Females,25-54,Actual working hours full-time,43.8
2003,Outside Capital region,Females,55-74,Actual working hours full-time,42.7
2004,Total,Total,16-24,Actual working hours full-time,46.1
2004,Total,Total,25-54,Actual working hours full-time,47.6
2004,Total,Total,55-74,Actual working hours full-time,45.8
2004,Total,Males,16-24,Actual working hours full-time,47.7
2004,Total,Males,25-54,Actual working hours full-time,50.7
2004,Total,Males,55-74,Actual working hours full-time,47.7
2004,Total,Females,16-24,Actual working hours full-time,43.9
2004,Total,Females,25-54,Actual working hours full-time,42.5
2004,Total,Females,55-74,Actual working hours full-time,41.9
2004,Capital region,Total,16-24,Actual working hours full-time,45.6
2004,Capital region,Total,25-54,Actual working hours full-time,46.4
2004,Capital region,Total,55-74,Actual working hours full-time,44.5
2004,Capital region,Males,16-24,Actual working hours full-time,47.1
2004,Capital region,Males,25-54,Actual working hours full-time,49.3
2004,Capital region,Males,55-74,Actual working hours full-time,46.0
2004,Capital region,Females,16-24,Actual working hours full-time,43.6
2004,Capital region,Females,25-54,Actual working hours full-time,42.0
2004,Capital region,Females,55-74,Actual working hours full-time,42.1
2004,Outside Capital region,Total,16-24,Actual working hours full-time,47.3
2004,Outside Capital region,Total,25-54,Actual working hours full-time,49.9
2004,Outside Capital region,Total,55-74,Actual working hours full-time,47.6
